指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2021/2/15取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention-venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-3-7,35.688767,139.76227,日経ホール＆カンファレンスルーム,http://www.nikkei-hall.com/
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2-6-1 朝日生命大手町ﾋﾞﾙ24･27階,35.684409,139.76907,大手町サンスカイルーム,http://www.sunskyroom.jp
千代田区,大手町２丁目,大丸有,東京都 千代田区大手町2-6-1 朝日生命大手町ﾋﾞﾙ 5.6階,35.684409,139.76907,フクラシア　東京ステーション,https://www.fukuracia.jp
千代田区,大手町２丁目,大丸有,東京都 千代田区大手町2-3-2,35.687083,139.76814,大手町プレイスカンファレンスセンター,http://conference.otemachi-place.jp
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1,35.672274,139.75836,帝国ホテル東京,http://www.imperialhotel.co.jp
千代田区,内幸町２丁目,-,東京都千代田区内幸町2-1-1,35.670872,139.75254,イイノホール&カンファレンスセンター,http://www.iino.co.jp/hall/
千代田区,内幸町２丁目,-,東京都 千代田区内幸町2丁目2-3 日比谷国際ﾋﾞﾙ8階,35.670326,139.75431,日比谷国際ビル コンファレンス スクエア,https://hibikoku.tokyo/
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-3,35.671385,139.75551,日比谷公会堂,http://www.hibiya-kokaido.com
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-4,35.671850,139.75445,千代田区立日比谷図書文化館 日比谷コンベンションホール,http://www.hibiyal.jp
千代田区,隼町,-,東京都千代田区隼町1-1,35.682923,139.74349,ホテルグランドアーク半蔵門,http://www.grandarc.com
千代田区,飯田橋１丁目,-,東京都千代田区飯田橋1-1-1,35.697357,139.75013,ホテルグランドパレス,http://www.grandpalace.co.jp
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3-10-3,35.700238,139.74993,東京しごとセンター,http://www.shigotozaidan.or.jp
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3-10-8,35.700845,139.74913,ホテルメトロポリタン エドモント,http://www.edmont.co.jp
千代田区,平河町２丁目,-,東京都千代田区平河町2-4-1,35.681145,139.73889,都市センターホテル,http://www.toshicenter.co.jp
千代田区,平河町２丁目,-,東京都千代田区平河町2-7-5,35.679508,139.74040,砂防会館別館(シェーンバッハ・サボー),http://www.sabo.or.jp
千代田区,平河町２丁目,-,東京都千代田区平河町2-6-4 海運ﾋﾞﾙ,35.679274,139.73963,海運クラブ,http://kaiunclub.org/
千代田区,平河町２丁目,-,東京都千代田区平河町2-4-3,35.681769,139.73873,ホテル ルポール麹町,http://www.leport.jp
千代田区,北の丸公園,-,東京都千代田区北の丸公園2-1,35.691544,139.75310,科学技術館,http://www.event-jsf.jp
千代田区,北の丸公園,-,東京都千代田区北の丸公園2-3,35.693380,139.74985,日本武道館,http://www.nipponbudokan.or.jp
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-11-1 読売会館7階,35.675360,139.76290,よみうりホール,http://www.yomiuri-fudousan.co.jp/yomiuri-hall/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-8-1,35.674549,139.76073,ザ・ペニンシュラ東京,http://www.peninsula.com/tokyo/jp
千代田区,有楽町１丁目,大丸有,東京都 千代田区有楽町1丁目1−2,35.673577,139.75918,日比谷三井カンファレンス,https://www.hibiya.tokyo-midtown.com/jp/conference/top/
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-10-1,35.674890,139.76433,東京交通会館,http://www.kotsukaikan.co.jp/
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-5-1 ﾏﾘｵﾝ11階,35.673618,139.76273,有楽町朝日ホール,http://www.asahi-hall.jp
新宿区,市谷砂土原町１丁目,-,東京都新宿区市谷砂土原町1-1,35.694147,139.73641,ルーテル市ケ谷センター,http://www.l-i-c.com
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-7-12,35.685317,139.69082,パークハイアット東京,http://tokyo.park.hyatt.jp
新宿区,霞ヶ丘町,-,東京都新宿区霞ヶ丘町3-1,35.674476,139.71809,明治神宮野球場,http://www.jingu-stadium.com
新宿区,霞ヶ丘町,-,東京都 新宿区霞ヶ丘町4-1,35.674185,139.71542,日本青年館ホール,http://nippon-seinenkan.or.jp/dai-hall/index.html
新宿区,霞ヶ丘町,-,東京都 新宿区霞ヶ丘町4-1,35.674185,139.71542,日本青年館ホテル,http://nippon-seinenkan.or.jp/
新宿区,戸塚町,-,東京都新宿区戸塚町1-104-19,35.710269,139.72259,リーガロイヤルホテル東京,http://www.rihga-tokyo.co.jp
新宿区,市谷本村町,-,東京都新宿区市谷本村町4-1,35.691950,139.73314,ホテル グランドヒル市ヶ谷,http://www.ghi.gr.jp
新宿区,新宿６丁目,-,東京都新宿区新宿6-14-1,35.695374,139.70936,新宿文化センター,http://www.regasu-shinjuku.or.jp/?p=355
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-6-1 新宿ｴﾙﾀﾜｰ1･30階,35.692281,139.69742,新宿エルタワーサンスカイルーム,http://www.sunskyroom.jp
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-26-2 新宿野村ﾋﾞﾙ48階,35.692968,139.69532,野村コンファレンスプラザ新宿,http://www.nc-plaza.com/index.html
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-4-1 新宿NSﾋﾞﾙ,35.688089,139.69345,新宿NSビル,http://www.shinjuku-ns.co.jp
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-6-1 新宿住友ﾋﾞﾙ,35.691213,139.69236,新宿住友ホール・スカイルーム,http://www.bellesalle.co.jp/sankaku/room/
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-2-1,35.690087,139.69435,京王プラザホテル,http://www.keioplaza.co.jp
