指標名,コンビニ,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2021/2/3取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2019年度：1,758件、2020年度：2,130件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,,区,軒数,セブン,ローソン,ファミリーマート,その他
品川区,東中延２丁目,-,東京都品川区東中延2-4-6,35.608997,139.71411,セブンイレブン 品川東中延2丁目店,,,,,,,
品川区,西五反田３丁目,-,東京都品川区西五反田3-13-11,35.627611,139.71411,COMMUNITY STORE(コミュニティ・ストア) かむろ坂下すずき店,,,,,,,
品川区,戸越６丁目,-,東京都品川区戸越6-23-22,35.606362,139.71431,ファミリーマート 中延第二京浜店,,,,,,,
品川区,上大崎４丁目,-,東京都品川区上大崎4丁目5-10アルコスクエア内,35.631323,139.71468,ファミリーマート アルコスクエア店,,,,,,,
品川区,西五反田５丁目,-,東京都品川区西五反田5-1-14,35.625787,139.71482,セブンイレブン 不動前駅東店,,,,,,,
品川区,荏原１丁目,-,東京都品川区荏原1ー21ー6,35.618536,139.71491,セブンイレブン 品川荏原店,,,,,,,
品川区,平塚１丁目,-,東京都品川区平塚1-5-8,35.615739,139.71510,セブンイレブン 戸越銀座駅前店,,,,,,,
品川区,上大崎２丁目,-,東京都品川区上大崎2-17-2,35.635067,139.71513,ファミリーマート 目黒駅北店,,,,,,,
品川区,平塚１丁目,-,東京都品川区平塚1丁目21-4,35.612610,139.71540,ファミリーマート 品川平塚一丁目店,,,,,,,
品川区,戸越６丁目,-,東京都品川区戸越6-22-9,35.606035,139.71553,ファミリーマート 戸越六丁目店,,,,,,,
品川区,平塚１丁目,-,東京都品川区平塚1丁目6-20キャピタル808,35.615604,139.71585,ファミリーマート 戸越銀座店,,,,,,,
品川区,平塚１丁目,-,東京都品川区平塚1-7-6グランド・ル-戸越1F,35.615141,139.71627,ミニストップ 戸越駅前店,,,,,,,
品川区,戸越３丁目,-,東京都品川区戸越3-11-16,35.611431,139.71633,セブンイレブン 品川戸越3丁目店,,,,,,,
