指標名,大学キャンパス,,,,,,,
出典,教育ソリューション株式会社「全国学校データ」,,,,,,,
年次,JPC2021,,,,,,,
URL,https://kyouikusolution.co.jp/,,,,,,,
備考,JPC2021データ,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,大学,キャンパス,運営者区分
千代田区,神田三崎町２丁目,-,東京都千代田区三崎町２－９－１８,35.701422,139.754828,東京歯科大学,水道橋キャンパス,私立
港区,西新橋３丁目,虎ノ門,東京都港区西新橋３－２５－８,35.663081,139.750449,東京慈恵会医科大学,西新橋キャンパス,私立
新宿区,河田町,-,東京都新宿区河田町８－１,35.697020,139.719905,東京女子医科大学,河田町キャンパス,私立
新宿区,西新宿１丁目,-,東京都新宿区西新宿１－７－３,35.691664,139.696947,東京通信大学,新宿駅前キャンパス,私立
新宿区,高田馬場３丁目,-,東京都新宿区高田馬場３－８－１,35.714764,139.701059,東京富士大学,-,私立
江東区,有明２丁目,-,東京都江東区有明２－９－１,35.641682,139.796631,東京有明医療大学,-,私立
新宿区,神楽坂１丁目,-,東京都新宿区神楽坂１－３,35.699452,139.741369,東京理科大学,神楽坂キャンパス,私立
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２－２－１新大手町ビル１Ｆ,35.684863,139.767045,東洋大学,大手町サテライト,私立
千代田区,三番町,-,東京都千代田区三番町６－１６,35.692211,139.745750,二松學舎大学,九段キャンパス,私立
千代田区,富士見１丁目,-,東京都千代田区富士見１－９－２０,35.697812,139.745785,日本歯科大学,東京キャンパス,私立
渋谷区,広尾４丁目,-,東京都渋谷区広尾４－１－３,35.653689,139.719238,日本赤十字看護大学,広尾キャンパス,私立
千代田区,九段南４丁目,-,東京都千代田区九段南４－８－２４,35.690917,139.737551,日本大学,日本大学会館,私立
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台１－８－１４,35.697587,139.763601,日本大学,駿河台キャンパス,私立
千代田区,神田三崎町２丁目,-,東京都千代田区三崎町２－３－１,35.699624,139.754295,日本大学,三崎町キャンパス,私立
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台１－８－１３,35.698311,139.763461,日本大学,駿河台キャンパス,私立
