指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,
出典,The Tabelog Award 2021,,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,
備考,（2020年：275件、2021年度：208件）,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,施設名（EN）,ジャンル,アワード,初選出,星数,夜予算,昼予算,URL
中央区,銀座７丁目,-,東京都中央区銀座5-4-8 カリオカビル 4F,35.67013,139.76110,銀座 小十, Kojyu, 日本料理 / 東京,BRONZE,-,4.04,"\30,000～\39,999","\30,000～\39,999",https://tabelog.com/tokyo/A1301/A130101/13005683/
中央区,銀座５丁目,-,東京都中央区銀座5-4-6 ロイヤルクリスタル銀座 9Ｆ,35.67171,139.76330,エスキス, ESqUISSE, フレンチ / 東京,SILVER,-,4.33,"\20,000～\29,999","\15,000～\19,999",https://tabelog.com/tokyo/A1301/A130101/13142530/
中央区,銀座５丁目,-,東京都中央区銀座5-11-13 幸田ビル 3Ｆ,35.66959,139.76560,ふぐ 福治, FUKUJI, 魚介料理・海鮮料理 / 東京,BRONZE,-,4.13,"\30,000～\39,999",-,https://tabelog.com/tokyo/A1301/A130101/13004009/
中央区,銀座４丁目,-,東京都中央区銀座4-5-5 ミキモトビル Ｂ１Ｆ,35.67187,139.76541,銀座 レカン, L'馗rin, フレンチ / 東京,BRONZE,-,3.97,"\20,000～\29,999","\10,000～\14,999",https://tabelog.com/tokyo/A1301/A130101/13002444/
中央区,銀座４丁目,-,東京都中央区銀座4-2-15 塚本ビル　Ｂ１Ｆ,35.67258,139.76408,すきやばし 次郎, Sukiyabashi Jiro, 寿司 / 東京,BRONZE,-,4.11,"\40,000～\49,999","\40,000～\49,999",https://tabelog.com/tokyo/A1301/A130101/13002260/
中央区,銀座３丁目,-,東京都中央区銀座3-3-6 銀座モリタビル 7F,35.67312,139.76552,銀座ふじやま, FUJIYAMA, 日本料理 / 東京,BRONZE,-,4.24,"\40,000～\49,999","\40,000～\49,999",https://tabelog.com/tokyo/A1301/A130101/13232735/
中央区,銀座２丁目,-,東京都中央区銀座2-8-17 ハビウル銀座2 B1,35.67297,139.76787,銀座 しのはら, Shinohara, 日本料理 / 東京,GOLD,-,4.59,"\30,000～\39,999",-,https://tabelog.com/tokyo/A1301/A130101/13200949/
中央区,銀座２丁目,-,東京都中央区銀座2-10-11 マロニエ通り銀座館 2F,35.67999,135.10026,銀座 大石, Oishi, フレンチ / 東京,SILVER, BEST NEW ENTRY,4.26,"\15,000～\19,999","\8,000～\9,999",https://tabelog.com/tokyo/A1301/A130101/13238352/
中央区,銀座１丁目,-,東京都中央区銀座1-8-7 VORT銀座 B1F,35.67406,139.76860,神戸牛炉釜ステーキ GINZA KOKO炉, KOKORO, ステーキ・鉄板焼き / 東京,BRONZE,-,4.19,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1301/A130101/13224979/
中央区,銀座１丁目,-,東京都中央区銀座1-5-14 銀座コシミオンビル 1階,35.67487,139.76702,すし家 一柳, Ichiyanagi, 寿司 / 東京,BRONZE,-,3.91,"\20,000～\29,999","\15,000～\19,999",https://tabelog.com/tokyo/A1301/A130101/13156961/
中央区,銀座１丁目,-,東京都中央区銀座1-22-12 マドリガル銀座 1F,35.67193,139.77075,CHIUnE, CHIUnE, イノベーティブ・フュージョン / 東京,GOLD,-,4.59,"\50,000～\59,999",-,https://tabelog.com/tokyo/A1301/A130101/13203796/
中央区,銀座１丁目,-,東京都中央区銀座1-21-14,35.67255,139.77076,フルタ, Furuta, 中華料理 / 東京,SILVER,-,4.55,"\30,000～\39,999",-,https://tabelog.com/tokyo/A1313/A131301/13176780/
