指標名,バス停,,,,,注：NAVITIMEの検索区分ではなく、緯度経度情報をもとに位置情報を掲載。,,,,,,,,
出典,NAVITIME,,,,,例：『東京駅〔八重洲南口〕』は中央区の一覧に掲載されているが、バス停の位置は千代田区。,,,,,,,,
年次,2021/2/2取得,,,,,　　『角筈二丁目バス停』は新宿区の一覧に掲載されているが、バス停の位置は渋谷区。,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,　　『駒場リサーチキャンパス』は渋谷区駒場４丁目と掲載されているが誤りで、目黒区。,,,,,,,,
備考,路線ごとに1データあるので、単純な駅数が知りたい場合は「1÷路線数」を合計,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,路線数,1÷路線数,事業者,路線名,方面①,方面①/URL,方面②,方面②/URL
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-茨城/みと号,[高速バス],石岡〔高速バス〕/水戸駅南口方面,https://www.navitime.co.jp/diagram/bus/00025521/00008972/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-茨城/はさき号,[高速バス],波崎方面,https://www.navitime.co.jp/diagram/bus/00025521/00008977/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-茨城/かしま号,[高速バス],鹿島神宮駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00008978/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-愛知/知多シーガル号,[高速バス],知多半田駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00008989/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-島根/スサノオ号,[高速バス],松江駅/出雲大社方面,https://www.navitime.co.jp/diagram/bus/00025521/00009001/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-広島/ニューブリーズ号,[高速バス],広島駅新幹線口方面,https://www.navitime.co.jp/diagram/bus/00025521/00009005/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京・神奈川-岡山/グランドリーム岡山号,[高速バス],岡山駅〔西口〕/倉敷駅北口方面,https://www.navitime.co.jp/diagram/bus/00025521/00009007/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-高知・徳島/ドリーム高知・徳島号,[高速バス],高知駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00009011/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-徳島/ドリーム阿南・徳島号,[高速バス],徳島駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00009013/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-富山・石川/青春ドリーム金沢号,[高速バス],富山駅前/金沢駅前〔東口〕方面,https://www.navitime.co.jp/diagram/bus/00025521/00009037/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-茨城/ミッドナイトみと号,[高速バス],水戸駅南口方面,https://www.navitime.co.jp/diagram/bus/00025521/00009044/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-茨城/ミッドナイトかしま号,[高速バス],鹿島神宮駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00009076/1/,,
