指標名,薬局,,,,,,
出典,病院なび,,,,,,
年次,2021/2/15取得,,,,,,
URL,https://byoinnavi.jp/,,,,,,
備考,"（2019年度：889件、2020年度：1,315件）",,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
新宿区,山吹町,-,"東京都新宿区山吹町348

",35.708442,139.730621,(株)ハスミ薬品,https://byoinnavi.jp/pharm/205673
新宿区,赤城下町,-,"東京都新宿区赤城下町14

",35.704878,139.734208,あかぎ薬局,https://byoinnavi.jp/pharm/205670
新宿区,神楽坂６丁目,-,"東京都新宿区神楽坂6-24

",35.703519,139.736465,ミキファーマシー神楽坂店,https://byoinnavi.jp/pharm/205669
新宿区,神楽坂５丁目,-,"東京都新宿区神楽坂5-28

",35.701930,139.738339,薬ヒグチ神楽坂店,https://byoinnavi.jp/pharm/205668
新宿区,神楽坂５丁目,-,"東京都新宿区神楽坂5-24

",35.702211,139.737933,くすりセイジョー神楽坂上店,https://byoinnavi.jp/pharm/205667
新宿区,神楽坂３丁目,-,"東京都新宿区神楽坂3-6

",35.700960,139.740204,アイセイ薬局神楽坂店,https://byoinnavi.jp/pharm/205665
新宿区,神楽坂１丁目,-,"東京都新宿区神楽坂1-12

",35.700721,139.742540,薬ヒグチ飯田橋店,https://byoinnavi.jp/pharm/205663
新宿区,改代町,-,"東京都新宿区改代町33

",35.707744,139.735035,カラサワ薬局,https://byoinnavi.jp/pharm/205647
新宿区,歌舞伎町１丁目,-,"東京都新宿区歌舞伎町1

",35.694741,139.700710,龍生堂薬局サブナード店,https://byoinnavi.jp/pharm/205648
新宿区,中里町,-,"東京都新宿区中里町10

",35.705488,139.731894,中里薬局,https://byoinnavi.jp/pharm/205643
新宿区,納戸町,-,"東京都新宿区納戸町5

",35.697785,139.734286,萱沼薬局,https://byoinnavi.jp/pharm/205625
新宿区,市谷柳町,-,"東京都新宿区市谷柳町37

",35.698708,139.725691,くすりの福太郎市谷柳町店,https://byoinnavi.jp/pharm/205604
新宿区,市谷田町１丁目,-,"東京都新宿区市谷田町1-19

",35.693917,139.736607,ニュードラッグ市ヶ谷店,https://byoinnavi.jp/pharm/205599
新宿区,市谷田町１丁目,-,"東京都新宿区市谷田町1-2

",35.692550,139.735369,ニュードラッグ 本部,https://byoinnavi.jp/pharm/205600
