指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2021/3/2取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間・備考
港区,浜松町２丁目,-,東京都港区浜松町２丁目３,35.655755,139.755465,C1-45.浜松町クレアタワー  / NIPPON LIFE HAMAMATSUCHO CREA TOWER,-,営業時間 24時間 / Open for 24 hours
港区,新橋４丁目,虎ノ門広域,東京都港区新橋4-21,35.663995,139.757941,C1-51.環二新橋四丁目 / Kam-2 Shimbashi 4-chome,-,営業時間 24時間 / Open for 24 hours
港区,海岸１丁目,-,東京都港区海岸1-13,35.654298,139.761854,C1-56.鈴与竹芝ビル / Suzuyo Takeshiba Building,-,営業時間 24時間 / Open for 24 hours
港区,海岸１丁目,-,東京都港区海岸1-10,35.656881,139.761854,C1-58.ウォーターズ竹芝 / WATERS Takeshiba,-,営業時間 24時間 / Open for 24 hours
港区,海岸１丁目,-,東京都港区海岸1-5,35.653305,139.758659,C1-61.環三浜松町駅南 / Kam-3 Hamamatsucho Station South,-,営業時間 24時間 / Open for 24 hours
港区,芝公園２丁目,-,東京都港区芝公園2-12,35.653707,139.750355,C1-63.芝公園二丁目 / Shiba Park 2-Chome,-,営業時間 24時間 / Open for 24 hours
港区,海岸１丁目,-,東京都港区海岸1-7-1,35.655062,139.760895,C1-65.東京ポートシティ竹芝 / TOKYO PORTCITY TAKESHIBA,-,営業時間 24時間 / Open for 24 hours
港区,新橋３丁目,虎ノ門広域,東京都港区新橋3-16-15,35.665032,139.756865,C1-68.桜田公園 / Sakurada Park,-,営業時間 24時間 / Open for 24 hours
港区,元麻布３丁目,-,東京都港区元麻布3-9,35.656225,139.730875,C2-10.元麻布三丁目 / Motoazabu 3-Chome,-,営業時間 24時間 / Open for 24 hours
港区,西麻布２丁目,-,東京都港区西麻布2-9-16,35.661789,139.721061,C2-08.ファミリーマート西麻布霞町店 / Familly Mart Nishi-Azabu Kasumicho Store,-,営業時間 24時間 / Open for 24 hours
港区,東麻布１丁目,-,東京都港区東麻布1-15-11,35.656605,139.743089,C2-18.ブランシェ東麻布 / Branche Higashiazabu,-,営業時間 24時間 / Open for 24 hours
港区,南麻布４丁目,-,東京都港区南麻布4-57-25,35.648772,139.726246,C2-19.広尾駅 / Hiroo Station,-,営業時間 24時間 / Open for 24 hours
港区,六本木３丁目,六本木,東京都港区六本木3-15-17,35.662530,139.735505,C2-20.三井ガーデンホテル六本木プレミア /  Mitsui Garden Hotel Roppongi Tokyo Premier,-,営業時間 24時間 / Open for 24 hours
港区,赤坂４丁目,赤坂,東京都港区赤坂4-15-1,35.673948,139.731474,C3-16.赤坂ガーデンシティ / Akasaka Garden City,-,営業時間 24時間 / Open for 24 hours
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-4-41,35.670249,139.743927,C3-17.セブン-イレブン 港区溜池山王店 / Seven-Eleven Minatoku Tameikesanno store,-,営業時間 24時間 / Open for 24 hours
港区,南青山１丁目,-,東京都港区南青山1-12-32,35.668292,139.724257,C3-23.LIFORK 南青山 北エントランス / LIFORK MINAMI AOYAMA North entrance,-,営業時間 24時間 / Open for 24 hours
港区,南青山１丁目,-,東京都港区南青山1-12-32,35.668292,139.724257,C3-24.SHARE GREEN 南青山 西エントランス / SHARE GREEN MINAMI AOYAMA West entrance,-,営業時間 24時間 / Open for 24 hours
港区,北青山２丁目,-,東京都港区北青山2-14-4,35.669608,139.715791,C3-27.the ARGYLE aoyama,-,営業時間 24時間 / Open for 24 hours
港区,高輪３丁目,-,東京都港区高輪3-9,35.632319,139.731913,C4-04.ショパン高輪 / Chopin Takanawa,-,営業時間 24時間 / Open for 24 hours
港区,芝浦４丁目,-,東京都港区芝浦4-19,35.637681,139.750834,C5-13.区立芝浦西運河沿緑地 / Green Zone along the Shibaura-nishi Canal,-,営業時間 24時間 / Open for 24 hours
港区,海岸３丁目,-,東京都港区海岸3-3-20,35.640497,139.753620,C5-14.セブン-イレブン 港区汐彩橋店 / Sevev-Eleven Minato Shiosaibashi store,-,営業時間 24時間 / Open for 24 hours
港区,海岸３丁目,-,東京都港区海岸3-12-7,35.640177,139.755992,C5-15.セブン-イレブン 港区芝浦ふ頭店 / Sevev-Eleven Minato Shibautafuto store,-,営業時間 24時間 / Open for 24 hours
港区,芝浦２丁目,-,東京都港区芝浦2-1-39,35.645556,139.754887,C5-19.グランドメゾン田町 / GRANDE　MAISON TAMACHI,-,営業時間 24時間 / Open for 24 hours
