,指標名,スタートアップ企業,,,,,,,,,,
,品川区,上大崎２丁目,-,東京都品川区上大崎2-14-5 3F,35.6340775,139.7170928,NIPPON Passport株式会社,コンピューター - ITサービス,旅マエ・旅ナカの訪日外国人へクーポンを配布し、店舗へ誘客・送...,2018/1/4,https://nippon-passport.com/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-13-28,35.634621,139.7187333,株式会社プロメディック,消費者向けサービス・販売,"・Webサイト運営事業
ペットの飼い主向け会員サイト「ニャン...",2005/6/17,http://www.promedic.co.jp/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-13-30 oak meguro 3階,35.6346322,139.7182508,株式会社スマートソーシング,ビジネスサービス,"●クラウドソーシング
クラウドソーシングは、近年国内外で注目...",2012/5/9,https://smartsourcing.co.jp,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-13-32-802,35.634408,139.7179868,コグニティ株式会社,コンピューター - ソフトウェア,認知バイアスを取り除くためのエンジンを開発。独自AI（知識表...,2013/3/28,http://www.cognitee.com/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-13-17 目黒東急ﾋﾞﾙ5階,35.6351186,139.718504,株式会社Viibar,ビジネスサービス,コンテンツ制作を効率化するクラウド制作管理ツール「Vync」...,2013/4/24,https://viibar.com/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-13-35 KIﾋﾞﾙ5F,35.6342442,139.7176661,株式会社122,消費者向けサービス・販売,胸の大きな女性向けのファッションブランド「Heart Clo...,2015/12/2,https://heart-closet.com/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-13-35 KIﾋﾞﾙ402,35.6342442,139.7176661,株式会社SEESEW,ビジネスサービス,"グラフィック制作
WEB制作アプリのUI/UX制作
動画制作...",2016/3/1,https://seesaw.jp.net/,未評価(会社登録のみ)
,品川区,上大崎２丁目,-,東京都品川区上大崎2-12-1 野田ﾋﾞﾙ3F,35.6349057,139.7164092,コムソル株式会社,コンピューター - ソフトウェア,情報セキュリティシステム、多機能クラウドコールセンターシステ...,2014/11/14,http://www.comradesol.com/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-11-10 藤原ﾋﾞﾙ5F,35.6351744,139.7162296,株式会社Pooka.,ビジネスサービス,VR技術を用いた最先端の教育ソリューションサービス「eVR（...,2015/4/10,http://pooka-inc.com/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2丁目15-19 MG目黒駅前ﾋﾞﾙ,35.6345645,139.716592,株式会社amplified ai,コンピューター - ITサービス,発明者・弁理士・知財部のためのAI搭載の特許調査プラットフォ...,2016/2/1,https://www.amplified.ai/,未評価(会社登録のみ)
,品川区,上大崎３丁目,-,東京都品川区上大崎3-7-5 ｴｽﾃｰﾄﾀﾅｶ6F,35.6328235,139.72016,株式会社プロモーションプラス,ビジネスサービス,ロゴマーク制作サイト『LOGO市』、ロゴマークの新規作成・リ...,2010/2/22,http://prpl.co.jp/,調査継続
,品川区,上大崎３丁目,-,東京都品川区上大崎3-5-11 MEGURO VILLA GARDEN 6階,35.633845,139.7196213,株式会社CaSy,消費者向けサービス・販売,インターネット上から24時間365日いつでも申込みや変更がで...,2014/1/30,https://casy.co.jp,調査継続
