指標名,大使館・領事館,,,,,,,
出典,外務省,,,,,,,
年次,2021/3/1取得,,,,,,,
URL,https://www.mofa.go.jp/mofaj/link/emblist/,,,,,,,
備考,（2019年度：144件、2020年度：159件）,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,英語名,エリア
渋谷区,東４丁目,-,東京都渋谷区東4-12-1,35.654772,139.713519,在東京サントメ・プリンシペ民主共和国名誉領事館,Honorary Consulate of the Democratic Republic of Sao Tome and Principe in Tokyo,アフリカ
品川区,東五反田１丁目,-,東京都品川区東五反田1丁目13-12 COI五反田ビル2階・3階,35.626755,139.724574,在東京ブラジル連邦共和国総領事館,Consulate-General of the Federative Republic of Brazil in Tokyo,中南米
品川区,東五反田１丁目,-,東京都品川区東五反田1丁目13-12 COI五反田ビル6階,35.626755,139.724574,在東京ペルー共和国総領事館,Consulate-General of the Republic of Peru in Tokyo,中南米
品川区,東五反田５丁目,-,東京都品川区東五反田5-6-32,35.630599,139.722834,ベラルーシ共和国大使館,Embassy of the Republic of Belarus in Japan,欧州
品川区,東五反田５丁目,-,東京都品川区東五反田5丁目2-9,35.631375,139.721394,インドネシア共和国大使館,Embassy of the Republic of Indonesia in Japan,アジア
品川区,東五反田５丁目,-,東京都品川区東五反田5丁目16-17 パティオ池田山イースト,35.628886,139.722542,北マケドニア共和国大使館,Embassy of the Republic of North Macedonia,欧州
港区,東麻布１丁目,-,東京都港区東麻布1丁目28-4,35.655427,139.743949,キューバ共和国大使館,Embassy of the Republic of Cuba in Japan,中南米
港区,東麻布２丁目,-,東京都港区東麻布2-21-11,35.656572,139.741397,パラオ共和国大使館,Embassy of the Republic of Palau in Japan,大洋州
港区,東麻布２丁目,-,東京都港区東麻布2丁目21-7 Samon Building2階,35.656314,139.741665,パナマ共和国大使館,Embassy of the Republic of Panama in Japan,中南米
港区,東麻布２丁目,-,東京都港区東麻布2丁目21-7 Samon Building1階,35.656314,139.741665,在東京パナマ共和国総領事館,Consulate-General of the Republic of Panama in Tokyo,中南米
港区,南青山２丁目,-,東京都港区南青山2-9-21,35.670066,139.721798,コンゴ民主共和国大使館,Embassy of the Democratic Republic of the Congo in Japan,アフリカ
港区,南青山５丁目,-,東京都港区南青山5-4-30,35.662472,139.714342,モロッコ王国大使館,Embassy of the Kingdom of Morocco in Japan,アフリカ
港区,南青山５丁目,-,東京都港区南青山5丁目9-15 青山OHMOTOビル3F,35.663085,139.711349,在東京コモロ連合名誉領事館,Honorary Consulate of the Union of Comoros in Tokyo,アフリカ
港区,南青山７丁目,-,東京都港区南青山7-14-12,35.656734,139.717319,スロベニア共和国大使館,Embassy of the Republic of Slovenia in Japan,欧州
渋谷区,南平台町,-,東京都渋谷区南平台町20-16,35.652351,139.695390,マレーシア大使館,Embassy of Malaysia in Japan,アジア
渋谷区,南平台町,-,東京都渋谷区南平台町9丁目10,35.653877,139.696532,アラブ首長国連邦大使館,Embassy of the United Arab Emirates in Japan,中東
港区,南麻布１丁目,-,東京都港区南麻布1-25-20,35.650502,139.731820,在東京アイスランド共和国名誉総領事館,Honorary Consulate-General of the Republic of Iceland in Tokyo,欧州
港区,南麻布１丁目,-,東京都港区南麻布1-2-5,35.651835,139.732871,大韓民国大使館,Embassy of the Republic of Korea in Japan,アジア
港区,南麻布３丁目,-,東京都港区南麻布3丁目5-39,35.650331,139.728415,フィンランド大使館,Embassy of Finland in Japan,欧州
港区,南麻布３丁目,-,東京都港区南麻布3丁目13-9,35.648321,139.731234,イラン・イスラム共和国大使館,Embassy of the Islamic Republic of Iran in Japan,中東
港区,南麻布４丁目,-,東京都港区南麻布4丁目11-44,35.647791,139.725373,フランス大使館,Embassy of France in Japan,欧州
港区,南麻布４丁目,-,東京都港区南麻布4丁目5-10,35.650527,139.724708,ドイツ連邦共和国大使館,Embassy of the Federal Republic of Germany in Japan,欧州
港区,南麻布４丁目,-,東京都港区南麻布4-6-17,35.650163,139.728121,パキスタン・イスラム共和国大使館,Embassy of the Islamic Republic of Pakistan in Japan,アジア
港区,南麻布４丁目,-,東京都港区南麻布4－6－28 ヨーロッパハウス4階,35.649859,139.727095,キプロス共和国大使館,Embassy of the Republic of Cyprus in Japan,欧州
港区,南麻布４丁目,-,東京都港区南麻布4丁目6番28号 ヨーロッパ・ハウス,35.649859,139.727095,欧州連合代表部,Delegation of the European Union,欧州
港区,南麻布５丁目,-,東京都港区南麻布5丁目9-12,35.653700,139.723642,スイス大使館,Embassy of Switzerland in Japan,欧州
港区,南麻布５丁目,-,東京都港区南麻布5丁目12-2,35.652921,139.723729,ノルウェー王国大使館,Royal Norwegian Embassy in Japan,欧州
港区,南麻布５丁目,-,東京都港区南麻布5丁目3番29号 ガーデニアビルディング2階、3階,35.653558,139.724515,ボスニア・ヘルツェゴビナ大使館,Embassy of Bosnia and Herzegovina in Japan,欧州
千代田区,二番町,-,東京都千代田区二番町5-4,35.685081,139.735897,ベルギー王国大使館,Embassy of the Kingdom of Belgium in Japan,欧州
千代田区,二番町,-,東京都千代田区二番町5-4,35.685081,139.735897,在東京ベルギー王国総領事館,Consulate-General of the Kingdom of Belgium in Tokyo,欧州
