指標名,スーパー,,,,,
出典,NAVITIME,,,,,
年次,2021/2/3取得,,,,,
URL,https://www.navitime.co.jp/,,,,,
備考,（2019年度：327件、2020年度：458件）,,,,,
,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名
品川区,西五反田５丁目,-,東京都品川区西五反田5-1-28,35.626681,139.714794,不動前 東急ストア
品川区,東五反田１丁目,-,東京都品川区東五反田1-13-12 COI五反田ビル6F-601,35.626755,139.724574,キョウダイ マーケット
品川区,西五反田３丁目,-,東京都品川区西五反田3-6-20 西五反田アクセス,35.627874,139.71918,まいばすけっと 西五反田3丁目店
品川区,上大崎３丁目,-,東京都品川区上大崎3-1-1,35.633414,139.716676,プレッセ 目黒店
品川区,上大崎２丁目,-,東京都品川区上大崎2-16-9 アトレ目黒1 2F,35.634092,139.715766,ザ・ガーデン自由が丘 アトレ目黒店
品川区,上大崎２丁目,-,東京都品川区上大崎2-24-13,35.635228,139.714599,目黒 東急ストア
中央区,豊海町,-,東京都中央区豊海町12-12,35.6521724,139.77016,株式会社ホウスイ 豊海第一冷蔵庫
中央区,銀座８丁目,-,東京都中央区銀座8-10 銀座ナイン3号館,35.667122,139.7618936,肉のハナマサ 銀座店
中央区,豊海町,-,東京都中央区豊海町3-16,35.653095,139.770932,クイーンズ伊勢丹お客さま相談担当
中央区,晴海３丁目,-,東京都中央区晴海3-13-2,35.654591,139.777209,maruetsu(マルエツ) 晴海3丁目店
中央区,勝どき６丁目,-,東京都中央区勝どき6-3-2,35.655662,139.773567,maruetsu(マルエツ) 勝どき六丁目店
中央区,晴海１丁目,-,東京都中央区晴海1-8-16 晴海トリトン 1-1,35.657351,139.782246,maruetsu(マルエツ) プチ 晴海店
中央区,勝どき３丁目,-,東京都中央区勝どき3-5-5,35.6587,139.776036,東武ストア 勝どき店
中央区,勝どき１丁目,-,東京都中央区勝どき1-8-1,35.65962,139.776884,SUPER MARKET FUJI(スーパーマーケットフジ) デリド勝どき駅前店
中央区,勝どき１丁目,-,東京都中央区勝どき1-7-1,35.659784,139.777665,文化堂勝どき店
中央区,月島１丁目,-,東京都中央区月島1-27-9,35.662974,139.782352,フジマート 月島店
中央区,月島３丁目,-,東京都中央区月島3-4-5-101,35.663478,139.781083,ダイエー月島店
中央区,月島２丁目,-,東京都中央区月島2-10-2,35.66362,139.784318,文化堂月島店
中央区,築地４丁目,-,東京都中央区築地4-13-3 築地場外市場,35.665332,139.771082,まる一 浜田商店
中央区,築地４丁目,-,東京都中央区築地4-10-15,35.665511,139.770208,株式会社北島商店
中央区,築地７丁目,-,東京都中央区築地7-6-5,35.665637,139.773939,ニューみ乃り屋
中央区,築地２丁目,-,東京都中央区築地2-11-9 築地MTビル内,35.66849,139.772668,まいばすけっと 築地2丁目店
中央区,佃２丁目,-,東京都中央区佃2-2-8 リバーシティ21 G棟,35.66897,139.785542,maruetsu(マルエツ) 佃店
中央区,佃１丁目,-,東京都中央区佃1-11-8 リバーシティー21 ピアウェスト,35.669706,139.784422,リンコス リバーシティ店
中央区,入船３丁目,-,東京都中央区入船3-2-6,35.67057,139.775765,まいばすけっと 新富町駅前店
中央区,入船３丁目,-,東京都中央区入船3丁目5-10,35.670848,139.776292,miniピアゴ入船3丁目店
中央区,湊２丁目,-,東京都中央区湊2-15-14 パークシティ中央湊ザタワー 1F,35.671244,139.780685,デリド湊店
中央区,入船１丁目,-,東京都中央区入船1-4-10,35.672549,139.777038,miniピアゴ 入船1丁目店
中央区,新川２丁目,-,東京都中央区新川2-21-10,35.67342,139.7822,mini(ミニ)ピアゴ 新川2丁目店
