指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2021/2/3取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2019年度：430件、2020年度：423件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,種類
中央区,銀座１丁目,-,東京都中央区銀座1-8-19 3F,35.674202,139.768671,Face Lift Lesson(フェイス レフト レッスン) スタジオ,スポーツクラブ/フィットネスクラブ
中央区,銀座１丁目,-,東京都中央区銀座1-6-2 山口興産銀座Aビル B1,35.674831,139.767926,jump one Ginza.1 (ジャンプワン 銀座),スポーツ施設/運動公園
中央区,銀座１丁目,-,東京都中央区銀座1丁目2-1,35.67521,139.767748,ゴールドジム銀座東京店,スポーツクラブ/フィットネスクラブ
中央区,銀座２丁目,-,東京都中央区銀座2-11-14 銀座SLCビル,35.672094,139.768672,FiNC Fit(フィンクフィット) 銀座店,スポーツクラブ/フィットネスクラブ
中央区,銀座２丁目,-,東京都中央区銀座2-11-8 デュープレックス銀座タワー2/11 5F.6F,35.672162,139.768982,ライザップ  銀座店,スポーツクラブ/フィットネスクラブ
中央区,銀座２丁目,-,東京都中央区銀座2-8-12 ユニデン銀座ビル 9F・10F,35.672502,139.767681,b-monster GINZA studio(ビーモンスター ギンザ スタジオ),スポーツクラブ/フィットネスクラブ
中央区,銀座２丁目,-,東京都中央区銀座2-9-13 GINZA-2ビル7F,35.672615,139.768165,APFCLUB 銀座 (エーピーエフクラブ),スポーツクラブ/フィットネスクラブ
中央区,銀座２丁目,-,東京都中央区銀座2-6-5 銀座トレシャス8F,35.673648,139.76715,サーフフィットスタジオ,スポーツクラブ/フィットネスクラブ
中央区,銀座３丁目,-,東京都中央区銀座3-12-5 宏和ビル 3F,35.670781,139.769263,パーソナルトレーニングジム JOHNNY STYLE(ジョニー スタイル) 銀座店,スポーツクラブ/フィットネスクラブ
中央区,銀座３丁目,-,東京都中央区銀座3-9-2,35.671922,139.768118,ヨガ教室ノア 銀座校,スポーツクラブ/フィットネスクラブ
中央区,銀座３丁目,-,東京都中央区銀座3丁目4-12 文祥堂銀座ビルB1・2F,35.672634,139.765421,ゴールドジム銀座中央,スポーツクラブ/フィットネスクラブ
中央区,銀座３丁目,-,東京都中央区銀座3-2-1 マロニエゲート銀座2 RF,35.673702,139.765167,The 銀座 de フットサル マロニゲート銀座2屋上,スポーツ施設/運動公園
中央区,銀座４丁目,-,東京都中央区銀座4-14-6 ウイント銀座8ヒル4F,35.669158,139.768906,RDC GYM(アールディーシージム),スポーツクラブ/フィットネスクラブ
中央区,銀座４丁目,-,東京都中央区銀座4-9-5 銀昭ビル B1F,35.670627,139.76705,EXPA(エクスパ) 銀座店,スポーツクラブ/フィットネスクラブ
中央区,銀座４丁目,-,東京都中央区銀座4-4-1 八光ビルB1F,35.672229,139.76494,PLAYGROUND(プレイグラウンド) 銀座,スポーツクラブ/フィットネスクラブ
中央区,銀座４丁目,-,東京都中央区銀座4-3-1 並木館銀座8F,35.672594,139.764697,ミットネス 銀座店,スポーツクラブ/フィットネスクラブ
中央区,銀座４丁目,-,東京都中央区銀座4-3-1 並木館10F,35.672594,139.764697,LOIVE-plus-(ロイブプラス) 銀座店,スポーツクラブ/フィットネスクラブ
中央区,銀座５丁目,-,東京都中央区銀座5-8-9 BINO銀座B2F,35.670166,139.764644,FEELCYCLE Ginza,スポーツクラブ/フィットネスクラブ
中央区,銀座５丁目,-,東京都中央区銀座5-6-12 みゆきビル B2F,35.670897,139.763531,FEELCYCLE Ginza 5th(フィールサイクル 銀座フィフス),スポーツクラブ/フィットネスクラブ
中央区,銀座５丁目,-,東京都中央区銀座5-4-9 ニューギンザ5ビル 5F,35.671327,139.762832,Luxool(ラグール)銀座,スポーツクラブ/フィットネスクラブ
中央区,銀座５丁目,-,東京都中央区銀座5-4-7 銀座サワモトビル B2F,35.671616,139.763123,スクリーン ヨガ,スポーツクラブ/フィットネスクラブ
中央区,銀座６丁目,-,東京都中央区銀座6-13-7 同郷会館ビルB1階,35.668867,139.764871,ハートワン 銀座,スポーツクラブ/フィットネスクラブ
中央区,銀座６丁目,-,東京都中央区銀座6-10-1 GINZA SIX B1F,35.669732,139.763942,BEAUTY TERRACE GINZA -DRESS CIRCLE-(ビューティーテラス ギンザ ドレスサークル) GINZA SIX店,スポーツクラブ/フィットネスクラブ
中央区,銀座７丁目,-,東京都中央区銀座7-16-21 木挽ビル B1,35.667015,139.765668,エニタイムフィットネス 東銀座店,スポーツクラブ/フィットネスクラブ
中央区,銀座７丁目,-,東京都中央区銀座7-10-5 The ORB Luminous5F,35.668639,139.763378,HOT STEP(ホットステップ)銀座店,スポーツクラブ/フィットネスクラブ
中央区,月島１丁目,-,東京都中央区月島1-9-2,35.66514,139.782981,月島スポーツプラザ,スポーツ施設/運動公園
中央区,新川２丁目,-,東京都中央区新川2-6-8 YHビル B1F,35.676102,139.781276,登處 八丁堀 (ボルダリングジム),スポーツ施設/運動公園
中央区,晴海１丁目,-,東京都中央区晴海1丁目3-29,35.659151,139.786334,月島運動場,スポーツ施設/運動公園
中央区,築地３丁目,-,東京都中央区築地3-9-10 築地ビルディング2階,35.668064,139.773025,FASTGYM24(ファストジム トゥエンティフォー)  築地店,スポーツクラブ/フィットネスクラブ
中央区,佃２丁目,-,東京都中央区佃2-2-9,35.66914,139.786386,フィットネス&スパNAS リバーシティ21,スポーツクラブ/フィットネスクラブ
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-6-8 森田ビル 2F,35.683828,139.786009,BODY CONTROL(ボディ コントロール) 水天宮スタジオ,スポーツクラブ/フィットネスクラブ
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町3-10 上嘉ビル 3F,35.690637,139.777944,筋錬処ジクブレブ,スポーツクラブ/フィットネスクラブ
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町5-1,35.69094,139.776983,十思スクエア,スポーツ施設/運動公園
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-4-10 人形町センタービル2階,35.685795,139.781789,FASTGYM24(ファストジム トゥエンティフォー)  人形町店,スポーツクラブ/フィットネスクラブ
