指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2021/2/2取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2019年度：685件。2020年度：609件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-1 お茶の水クリスチャンセンタービル404号,35.6992816,139.7627191,東京プレヤーセンター,教会
千代田区,神田須田町２丁目,-,東京都千代田区神田須田町2-25,35.6966714,139.7746916,柳森神社,神社
千代田区,三崎町２丁目,#N/A,東京都千代田区三崎町2-9-12,35.701699,139.7543371,三崎稲荷神社,神社
千代田区,永田町２丁目,赤坂,東京都千代田区永田町2-10,35.6746528,139.7399753,山王稲荷神社,神社
千代田区,神田司町２丁目,#N/A,東京都千代田区神田司町2-6,35.6937645,139.767883,真徳稲荷神社,神社
新宿区,四谷１丁目,-,東京都新宿区四谷1-14,35.6853727,139.7287997,四谷新生教会,教会
新宿区,市谷砂土原町１丁目,-,東京都新宿区市谷砂土原町1-1 保健会館別館 1F,35.6937807,139.7359822,日本福音ルーテル市ヶ谷教会,教会
新宿区,払方町,-,東京都新宿区払方町24,35.6969276,139.7357365,牛込払方町教会,教会
新宿区,喜久井町,-,東京都新宿区喜久井町20,35.7031397,139.7222392,金光教 早稲田教会,教会
新宿区,西落合４丁目,-,東京都新宿区西落合4-15-21,35.72758,139.67887,日本ホーリネス教団西落合キリスト教会,教会
新宿区,西落合４丁目,-,東京都新宿区西落合4丁目15-18,35.72758,139.67887,天理教多摩崎分教会,教会
新宿区,西落合２丁目,-,東京都新宿区西落合2丁目23-17,35.72112,139.67671,天理教南本所分教会,教会
新宿区,下落合３丁目,-,東京都新宿区下落合3-19-4,35.72109,139.70187,日本聖公会東京教区 目白聖公会,教会
新宿区,下落合３丁目,-,東京都新宿区下落合3丁目14-25,35.72109,139.70187,日本基督教団 目白教会,教会
新宿区,西落合１丁目,-,東京都新宿区西落合1-9-1,35.72076,139.68218,天理教本理世大教会,教会
新宿区,中落合４丁目,-,東京都新宿区中落合4-32-5,35.71891,139.68341,天理教 分教会 創祥,教会
新宿区,下落合２丁目,-,東京都新宿区下落合2丁目15-11,35.71817,139.70242,日本バプテストキリスト教目白ヶ丘教会,教会
新宿区,下落合２丁目,-,東京都新宿区下落合2-13-3,35.71817,139.70242,東京シティチャーチ,教会
新宿区,下落合１丁目,-,東京都新宿区下落合1-3-3,35.71571,139.69962,国際福音キリスト教会中央チャペル,教会
新宿区,上落合２丁目,-,東京都新宿区上落合2丁目13-23,35.71336,139.68799,天理教 分教会 陽東,教会
新宿区,高田馬場４丁目,-,東京都新宿区高田馬場4-29-30,35.71116,139.69963,日之教教団本部,教会
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2丁目3-18,35.70882,139.71297,在日韓国人問題研究所,教会
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2丁目3-18,35.70882,139.71297,日本基督教団,教会
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2丁目3-18,35.70882,139.71297,宗教法人日本バプテスト同盟,教会
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2丁目3-18,35.70882,139.71297,日本バプテスト同盟・東京平和教会,教会
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2丁目3-1,35.70882,139.71297,日本基督教団 早稲田教会,教会
新宿区,北新宿４丁目,-,東京都新宿区北新宿4丁目29-6,35.70658,139.69125,天理教 分教会 日江,教会
新宿区,北新宿４丁目,-,東京都新宿区北新宿4-20-12,35.70658,139.69125,天理教 分教会 本常一,教会
新宿区,北新宿３丁目,-,東京都新宿区北新宿3丁目5-19,35.70377,139.69087,大久保キリスト教会,教会
新宿区,北新宿３丁目,-,東京都新宿区北新宿3丁目1-18,35.70377,139.69087,日本キリスト教会柏木教会,教会
