指標名,観光地,,,,,,,,
出典,Tripadvisor,,,,,,,,
年次,2021/2/17 取得,,,,,,,,
URL,https://www.tripadvisor.jp/,,,,,,,,
備考,"（2019年度：2,042件、2020年度：2,985件）",,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,星,レビュー数
品川区,南品川１丁目,-,東京都品川区南品川１－１０－１７,35.615227,139.742249,本栄寺,名所・有名スポット,3,5件
品川区,南品川１丁目,-,東京都品川区南品川１－１０－１８,35.615148,139.741950,蓮長寺,名所・有名スポット,3,4件
品川区,南品川１丁目,-,東京都品川区南品川１－１０－１１,35.615196,139.742691,本覚寺,名所・有名スポット,2.5,4件
品川区,南品川１丁目,-,東京都品川区南品川１－１－１,35.615758,139.744127,妙蓮寺,名所・有名スポット,3,4件
品川区,南品川２丁目,-,東京都品川区南品川２－８－２３,35.612171,139.743393,天妙国寺,,3.5,14件
品川区,南品川２丁目,-,東京都品川区南品川２－８－１６,35.613177,139.743220,長徳寺,名所・有名スポット,3.5,10件
品川区,南品川２丁目,-,東京都品川区南品川２－１－１２,35.614022,139.741700,願行寺,名所・有名スポット,3.5,3件
品川区,南品川２丁目,-,東京都品川区南品川２－９－５,35.614540,139.742798,心海寺,名所・有名スポット,3,4件
品川区,南品川２丁目,-,東京都品川区南品川２－７－２５,35.611465,139.743698,城南ペット霊園,名所・有名スポット,3,3件
品川区,南品川２丁目,-,東京都品川区南品川２－１２－１１,35.614414,139.743652,御嶽稲荷神社,名所・有名スポット,3,5件
品川区,南品川２丁目,-,東京都品川区南品川２－７－７,35.611244,139.743561,南品川諏訪神社,名所・有名スポット,3,5件
品川区,南品川２丁目,-,東京都品川区南品川２－９－１８,35.613834,139.742813,常行寺,名所・有名スポット,3,3件
品川区,南品川２丁目,-,東京都品川区南品川２－７－２５,35.611511,139.743668,真了寺,名所・有名スポット,2.5,5件
品川区,南品川３丁目,-,東京都品川区南品川３－５－１７,35.609721,139.743524,品川寺,,4,55件
品川区,南品川３丁目,-,東京都品川区南品川３－５－２１,35.608925,139.743881,海雲寺,,3.5,28件
品川区,南品川４丁目,-,東京都品川区南品川４－２－８,35.615101,139.740555,本光寺,名所・有名スポット,3.5,7件
品川区,南品川４丁目,-,東京都品川区南品川４－１－１５,35.614483,139.736588,日本ペイント 明治記念館,美術館・博物館,3.5,2件
品川区,南品川４丁目,-,東京都品川区南品川４－２－３５,35.615246,139.738953,清光院,名所・有名スポット,3,4件
品川区,南品川４丁目,-,東京都品川区南品川４－２－８,35.615101,139.740555,清光寺,名所・有名スポット,3,8件
品川区,南品川５丁目,-,東京都品川区南品川５－１６－２２,35.607738,139.742386,海晏寺,名所・有名スポット,3.5,15件
品川区,南品川６丁目,-,東京都品川区南品川６－７,35.610878,139.738678,レモン哀歌の碑,名所・有名スポット,3.5,3件
品川区,二葉１丁目,-,東京都品川区二葉１丁目３－２４,35.606731,139.726314,下神明天祖神社,名所・有名スポット,4,6件
品川区,二葉１丁目,-,東京都品川区二葉１－１４－１６,35.605541,139.726700,不動院 東光寺,名所・有名スポット,3,8件
品川区,二葉４丁目,-,東京都品川区二葉４－４－１２,35.602585,139.715179,上神明天祖神社,,4,21件
品川区,八潮１丁目,-,東京都品川区八潮１－３－１,35.612704,139.754128,八潮北公園,自然・公園,2.5,2件
品川区,八潮３丁目,-,東京都品川区八潮３－１－１１,35.599136,139.762070,みなとが丘ふ頭公園,自然・公園,2.5,4件
品川区,八潮３丁目,-,東京都品川区八潮３丁目,35.593981,139.755545,大井パーキングエリア 西行き,,4,2件
品川区,八潮３丁目,-,東京都品川区八潮３丁目,35.592316,139.754944,大井パーキングエリア 東行き,,5,1件
品川区,八潮４丁目,-,東京都品川区八潮４－１－１９,35.592628,139.752274,大井ふ頭中央海浜公園,自然・公園,4,46件
品川区,八潮４丁目,-,東京都品川区八潮４丁目１－１９大井ふ頭中央海浜公園,35.592613,139.753442,大井ホッケー競技場,名所・有名スポット,,
品川区,豊町１丁目,-,東京都品川区豊町１－１６－２３,35.612274,139.720566,文庫の森,自然・公園,3.5,24件
品川区,豊町２丁目,-,東京都品川区豊町２－１－３０,35.610458,139.722137,戸越公園,,4,53件
品川区,北品川１丁目,-,東京都品川区北品川,35.619987,139.742126,北品川商店街,,4,101件
品川区,北品川１丁目,-,東京都品川区北品川１－３０－９,35.620184,139.742366,品海公園,自然・公園,3,16件
品川区,北品川１丁目,-,東京都品川区港南２－８－８,35.624686,139.743584,東八ツ山公園,自然・公園,2.5,7件
品川区,北品川１丁目,-,東京都品川区北品川１－２２－１７,35.621861,139.740256,土蔵相模跡,名所・有名スポット,2,5件
品川区,北品川１丁目,-,東京都品川区北品川１－２８－９,35.620387,139.740575,善福寺,名所・有名スポット,4,27件
品川区,北品川２丁目,-,東京都品川区北品川２－３０－２８,35.616898,139.743713,荏原神社,,4,64件
品川区,北品川２丁目,-,東京都品川区北品川２－２８－１５,35.616989,139.744476,品川橋,名所・有名スポット,3,21件
品川区,北品川２丁目,-,東京都品川区北品川２－４－１８,35.619263,139.742935,一心寺,名所・有名スポット,3.5,24件
品川区,北品川２丁目,-,東京都品川区北品川２－７－２１,35.618809,139.743958,聖蹟公園,自然・公園,3,21件
品川区,北品川２丁目,-,東京都品川区北品川２－２－１４,35.619617,139.741277,法禅寺,,3.5,15件
品川区,北品川２丁目,-,東京都品川区北品川２－９－２６,35.618443,139.742752,正徳寺,名所・有名スポット,3,15件
品川区,北品川２丁目,-,東京都品川区北品川２－３－１２,35.619137,139.742477,養願寺,,3.5,25件
品川区,北品川２丁目,-,東京都品川区北品川２－２８－１９,35.617661,139.744720,品川宿交流館 本宿お休み処,,3,13件
品川区,北品川２丁目,-,東京都品川区北品川２－３２－３,35.616768,139.742783,稼穡稲荷社,名所・有名スポット,3.5,15件
品川区,北品川２丁目,-,東京都品川区北品川２－２０－２５,35.617474,139.741852,本照寺,名所・有名スポット,3.5,6件
品川区,北品川２丁目,-,東京都品川区北品川２－３２－３,35.616852,139.742355,六行会 ホール,シアター,4,1件
品川区,北品川３丁目,-,東京都品川区北品川３－７－１５,35.618469,139.739624,品川神社,,4,219件
品川区,北品川３丁目,-,東京都品川区北品川３－１０－１３,35.616539,139.737894,子供の森公園,自然・公園,3.5,18件
品川区,北品川３丁目,-,東京都品川区北品川３－９－５,35.618500,139.737747,権現山公園,自然・公園,3.5,12件
品川区,北品川３丁目,-,東京都品川区北品川３－１１－９,35.616161,139.739029,東海寺,名所・有名スポット,3.5,10件
品川区,北品川３丁目,-,東京都品川区北品川３－７－１５品川神社,35.618450,139.739609,阿那稲荷神社,名所・有名スポット,3.5,5件
品川区,北品川３丁目,-,東京都品川区北品川３－７－１５品川神社,35.618450,139.739609,浅間神社,名所・有名スポット,3,5件
品川区,北品川３丁目,-,東京都品川区北品川３－７－２２,35.617744,139.740219,清徳寺,名所・有名スポット,2.5,3件
品川区,北品川４丁目,-,東京都品川区北品川４－７－２５,35.620934,139.736099,原美術館,美術館・博物館,4,135件
品川区,北品川４丁目,-,東京都品川区北品川４－７－３６,35.620831,139.737151,御殿山庭園,自然・公園,4,38件
品川区,北品川４丁目,-,東京都品川区北品川４丁目７,35.624593,139.738159,八ツ山橋,,3.5,29件
品川区,北品川４丁目,-,東京都品川区北品川４－２５,35.623123,139.738251,新八ツ山橋,名所・有名スポット,3,10件
品川区,北品川４丁目,-,東京都品川区北品川４－１１－８,35.617092,139.735733,東海寺大山墓地,名所・有名スポット,3.5,4件
品川区,北品川４丁目,-,東京都品川区北品川４－１１－５,35.616333,139.736374,官営品川硝子製造所跡,名所・有名スポット,3,9件
品川区,北品川４丁目,-,東京都品川区北品川４－５－１２,35.620429,139.735325,翡翠原石館,美術館・博物館,4.5,2件
品川区,北品川６丁目,-,東京都品川区北品川５－２０～北品川４－１,35.625270,139.731963,御殿山の坂,名所・有名スポット,3,10件
中央区,築地１丁目,-,東京都中央区築地１,35.434780,139.629701,三吉橋,名所・有名スポット,3.5,8件
中央区,築地１丁目,-,東京都中央区築地１－６,35.578080,139.504500,亀井橋,名所・有名スポット,3,5件
中央区,京橋１丁目,日八京,東京都中央区京橋１‐１０‐１,35.678805,139.771895,アーティゾン美術館,美術館・博物館,4,195件
中央区,京橋１丁目,日八京,東京都中央区京橋１－１－１,35.679507,139.770245,尾台榕堂之碑,名所・有名スポット,3,13件
