指標名,駅,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,
年次,2021/2/25取得,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,
備考,新幹線駅除く。乗降客数データは昨年から更新無し。,,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,乗降客数（2018年度）,駅コード（路線別）,駅コード（路線不問）
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目9-1,35.681391,139.766103,東京,JR山手線,東日本旅客鉄道株式会社,"879,108",1130224,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681391,139.766103,東京,JR横須賀線,東日本旅客鉄道株式会社,データ無し（横須賀線）,1130801,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681391,139.766103,東京,JR中央本線(東京～塩尻),東日本旅客鉄道株式会社,データ無し（中央線）,1131101,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681391,139.766103,東京,JR中央線(快速),東日本旅客鉄道株式会社,データ無し（中央線）,1131201,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681391,139.766103,東京,JR総武本線,東日本旅客鉄道株式会社,データ無し,1131401,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681391,139.766103,東京,JR京葉線,東日本旅客鉄道株式会社,データ無し,1132601,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681391,139.766103,東京,JR成田エクスプレス,東日本旅客鉄道株式会社,データ無し（成田エクスプレス）,1132809,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681391,139.766103,東京,JR京浜東北線,東日本旅客鉄道株式会社,データ無し（京浜東北線）,1133222,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目9-1,35.681391,139.766103,東京,上野東京ライン,東日本旅客鉄道株式会社,データ無し（上野東京ライン）,1134301,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681753,139.764708,東京,東京メトロ丸ノ内線,東京地下鉄株式会社,"211,558",2800209,1130101
千代田区,一ツ橋１丁目,-,東京都千代田区一ツ橋１-１-１,35.690662,139.756817,竹橋,東京メトロ東西線,東京地下鉄株式会社,"48,453",2800408,2800408
千代田区,神田須田町１丁目,-,東京都千代田区神田淡路町１-２,35.695434,139.767575,淡路町,東京メトロ丸ノ内線,東京地下鉄株式会社,"59,445",2800207,2800207
千代田区,大手町２丁目,大丸有,東京都千代田区大手町１丁目,35.686564,139.766200,大手町,東京メトロ丸ノ内線,東京地下鉄株式会社,"338,955",2800208,2800208
千代田区,大手町２丁目,大丸有,東京都千代田区大手町１丁目,35.684801,139.766086,大手町,東京メトロ東西線,東京地下鉄株式会社,データ無し,2800409,2800208
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目,35.686154,139.763399,大手町,東京メトロ千代田線,東京地下鉄株式会社,データ無し,2800510,2800208
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目,35.686860,139.764107,大手町,東京メトロ半蔵門線,東京地下鉄株式会社,データ無し,2800808,2800208
千代田区,丸の内１丁目,大丸有,東京都千代田区大手町１丁目,35.684856,139.762959,大手町,都営三田線,東京都交通局,"104,455",9930309,2800208
千代田区,神田三崎町２丁目,-,東京都千代田区三崎町２丁目,35.702039,139.754312,水道橋,JR中央・総武緩行線,東日本旅客鉄道株式会社,"166,702",1131317,1131317
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町２-２,35.695966,139.757606,神保町,東京メトロ半蔵門線,東京地下鉄株式会社,"96,811",2800807,2800807
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町２-２,35.695492,139.758120,神保町,都営三田線,東京都交通局,"279,576",9930310,2800807
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町２-２,35.695966,139.757606,神保町,都営新宿線,東京都交通局,データ無し,9930406,2800807
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町二丁目13-1,35.691173,139.770641,神田,JR山手線,東日本旅客鉄道株式会社,データ無し（山手線）,1130223,1130223
