指標名,ミシュラン掲載レストラン,,,,,,,,,,,,
出典,ミシュランガイド東京 2021,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,
URL,https://japanguide.michelin.co.jp/restaurant/tokyo/,,,,,,,,,,,,
備考,,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,店舗名,星数,カテゴリ,エリア,URL,価格帯,電話番号,その他
中央区,銀座５丁目,-,東京都中央区銀座 5-4-8 カリオカビル B1F,35.671435,139.76302,銀座 奥田,★,日本料理 ,銀座,https://www.ginzaokuda.com/,"昼＝18,000-20,000円　夜＝30,000円",要予約,カウンター席が主体
中央区,銀座５丁目,-,東京都中央区銀座 5-6-13 西五番街ビル 6F,35.671001,139.76364,寿こう,★,日本料理 ,銀座,https://jyu-kou.jp/,"昼＝5,500-17,000円　夜＝19,000-25,000円",要予約,カウンター席が主体
中央区,銀座５丁目,-,東京都中央区銀座 5-9-19 MCビル 3F,35.670458,139.76528,さわ田,★★,寿司 ,銀座,https://omakase.in/r/gv412216,"昼＝28,000円　夜＝38,000円",要予約,カウンター席が主体
中央区,銀座５丁目,-,東京都中央区銀座 5-6-10 ミヤコビル 4F,35.670762,139.76365,喰善 あべ,★,日本料理 ,銀座,http://syokuzen-abe.jp/,"夜＝22,000円",要予約,カウンター席が主体
中央区,銀座６丁目,-,東京都中央区銀座 6-5-15 銀座能楽堂ビル 4F,35.671021,139.76204,茂松,★,日本料理 ,銀座,http://ginza-shigematsu.jp/,"夜＝25,000-33,000円",要予約,カウンター席が主体
中央区,銀座６丁目,-,東京都中央区銀座 6-7-6 ラペビル 9F,35.670496,139.76267,銀座 やまの辺 江戸中華,★,中国料理 ,銀座,http://ginza-yamanobe.com/,"昼＝34,000-40,000円　夜＝34,000-40,000円",要予約,-
中央区,銀座６丁目,-,東京都中央区銀座 6-8-7 交詢ビル 4F,35.670112,139.76281,スリオラ,★★,スペイン料理 ,銀座,http://zurriola.jp/,"昼＝7,000-10,000円　夜＝18,000-23,000円",要予約,-
中央区,銀座７丁目,-,東京都中央区銀座 7-5-4 La Vialle 銀座ビル 2F,35.670224,139.76165,銀座 とよだ,★,日本料理 ,銀座,https://ginza-toyoda.com/,"昼＝6,500-25,000円　夜＝13,000-25,000円",要予約,カウンター席が主体
中央区,銀座７丁目,-,東京都中央区銀座 7-6-5 石井紀州屋ビル 2F,35.669744,139.76194,安達直人,★,日本料理 ,銀座,http://ginza-adachi.jp/,"夜＝16,000-21,000円",要予約,-
中央区,銀座７丁目,-,東京都中央区銀座 7-3-13 ニューギンザビル B1F,35.670132,139.76018,蓮 三四七,★,日本料理 ,銀座,https://ginza-ren.jp/,"昼＝30,000円　夜＝30,000円",要予約,カウンター席が主体
