指標名,コワーキング施設,,,参考情報,「TOKYOテレワークアプリ」に掲載されているサテライトオフィス一覧も公開されている。,,
出典,コワーキングスペース検索,,,,https://catalog.data.metro.tokyo.lg.jp/dataset/t000012d0000000019/resource/26213e3e-9275-4208-b7e7-be71a6d35a60,,
年次,2021/1/15取得,,,,,,
URL,https://coworking-search.jp/zenkoku/,,,,,,
備考,より掲載数の多い出典に変更。,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-6-3 日比谷頴川エイセンビル 6F〜11F,35.6739033,139.7606645,Vision Works 有楽町,https://coworking-search.jp/space/1328/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-12-1 新有楽町ビル11階,35.6755604,139.7620932,PORTAL POINT YURAKUCHO,https://coworking-search.jp/space/1977/
千代田区,平河町２丁目,,東京都千代田区平河町2-5-3 Nagatacho GRID 5F,35.679827,139.739605,みどり荘 永田町,https://coworking-search.jp/space/1169/
千代田区,平河町１丁目,,"東京都千代田区平河町一丁目3番6号 BIZMARKS 麹町2,3,5,6F",35.6828625,139.7397461,BIZMARKS 麹町,https://coworking-search.jp/space/1864/
千代田区,飯田橋４丁目,,東京都千代田区飯田橋4-8-13 山商ビル5F,35.7011239,139.7463823,ジェネラボ 飯田橋,https://coworking-search.jp/space/1302/
千代田区,飯田橋４丁目,,東京都千代田区飯田橋4-4-6 SJビル2F,35.7003666,139.746624,勉強カフェ 飯田橋スタジオ,https://coworking-search.jp/space/1579/
千代田区,飯田橋３丁目,,東京都千代田区飯田橋3-11-13 飯田橋i-MARK ANNEX 9F,35.7027194,139.7482684,NewWork 飯田橋,https://coworking-search.jp/space/2158/
千代田区,二番町９丁目,,東京都千代田区二番町9-3 THE BASE 麹町1F,35.6850478,139.7367218,コワーキングスペース「THE HUB 麹町」,https://coworking-search.jp/space/1470/
千代田区,二番町,,東京都千代田区二番町2番 平田ビル1階,35.6869664,139.7381275,社会起業家コワーキングスペース,https://coworking-search.jp/space/1610/
千代田区,内神田２丁目,,東京都千代田区内神田2−2−5 光正ビル5F,35.6897674,139.7671377,SPACE BRiDD 大手町,https://coworking-search.jp/space/1398/
千代田区,内神田１丁目,,東京都千代田区内神田1-15-10,35.6921793,139.7656291,the C,https://coworking-search.jp/space/711/
千代田区,内幸町２丁目,,東京都千代田区内幸町2-1-1 飯野ビルディング9階,35.6709214,139.7526701,クロスオフィス日比谷注目物件,https://coworking-search.jp/space/2133/
千代田区,内幸町１丁目,,東京都千代田区内幸町1丁目3-1 幸ビルディング,35.669827,139.756024,EXPERT OFFICE GRAND新橋／内幸町,https://coworking-search.jp/space/592/
千代田区,東神田１丁目,,"東京都千代田区東神田1-15-9 2F,3F",35.6949895,139.782697,クロックカフェ,https://coworking-search.jp/space/1773/
千代田区,鍛冶町２丁目,,東京都千代田区鍛冶町２－２－２,35.6913423,139.7715405,ビジョンオフィス神田,https://coworking-search.jp/space/331/
千代田区,鍛冶町２丁目,,東京都千代田区鍛冶町2-7-1,35.692274,139.7717653,ビジョンオフィス神田ＡＮＮＥＸ,https://coworking-search.jp/space/332/
千代田区,鍛治町２丁目,,東京都千代田区鍛治町2-12-12 2階,35.6929032,139.77157,KANDA LOUNGE,https://coworking-search.jp/space/1084/
千代田区,神田多町２丁目,,東京都千代田区神田多町2-11 カツミビル601,35.694504,139.768916,ソフトオフィス神田,https://coworking-search.jp/space/404/
千代田区,神田多町２丁目,,東京都千代田区神田多町2-1 神田東山ビル7F/8F,35.692978,139.7695467,Connect-Lounge神田,https://coworking-search.jp/space/1894/
千代田区,神田須田町２丁目,,東京都千代田区神田須田町2-19-23 野村第3ビル4階,35.6965498,139.7718174,コワーキングスペース 秋葉原 Weeyble,https://coworking-search.jp/space/1631/
千代田区,神田須田町１丁目,,東京都千代田区神田須田町1-16-5 ヒューリック神田ビル 1F,35.6952071,139.7706971,アクセア 神田店,https://coworking-search.jp/space/1952/
千代田区,神田須田町１丁目,,東京都千代田区神田須田町1-2-7 淡路町駅前ビル3階,35.695243,139.7677362,プレミアムオフィス神田,https://coworking-search.jp/space/389/
千代田区,神田神保町３丁目,,東京都千代田区神田神保町3-11-1 安田神保町マンション,35.6953748,139.7544868,BIZcomfort 神保町,https://coworking-search.jp/space/1882/
