指標名,ホール・劇場,,,,,,,,,,,,,,,,,
出典,東京都生活文化局,,,,,,,,,,,,,,,,,
年次,平成31年3月,,,,,,,,,,,,,,,,,
URL,https://www.seikatubunka.metro.tokyo.lg.jp/bunka/bunka_seisaku/0000001271.html,,,,,,,,,,,,,,,,,
備考,野外会場も含む,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,電話番号,URL,客席数,収容人数,舞台形式,全体形式,客席形式,これまでの利用実績ジャンル,施設に適しているもしくは利用して欲しいジャンル,利用対象,利用条件を設定している場合の条件,利用可能時間帯
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-31-1,35.687817,139.7870145,明治座,03-3660-3939,http://www.meijiza.co.jp/,1448,1448,プロセニアム形式,シューボックス形式,固定席,,,,,
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-1-17　8F,35.684685,139.78161,日本橋社会教育会館〔ホール〕,03-3669-2102,http://chuo-shakyo.shopro.co.jp/nihonbashi,,,,,,,,,,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-2-1　COREDO室町1 5F,35.686674,139.774203,日本橋三井ホール,03-5200-3210,http://www.nihonbashi-hall.jp/,,,,,,,,,,
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町1-4-1　日本橋三越本店本館６階,35.685603,139.773492,三越劇場,0120-03-9354,http://mitsukoshi.mistore.jp/bunka/theater/index.html;jsessionid=HLxjWwZLN4L0nbS3h5Z3MhmDkyGLMypYqLfrmBFRGwBhn2DWvH40!-1361413285,514,514,プロセニアム形式,その他,固定席,ポップス、クラシック、演歌・歌謡曲、ジャズ、演劇、ミュージカル、歌舞伎、能・狂言、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、バレエ、オペラ、ダンス・パフォーマンス、合唱、映像上映会（試写会など）、講演会、展示会,ポップス、クラシック、演歌・歌謡曲、ジャズ、演劇、ミュージカル、歌舞伎、能・狂言、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、バレエ、オペラ、ダンス・パフォーマンス、合唱、映像上映会（試写会など）、講演会、展示会、その他1（太鼓などの打楽器は不可）,一般に貸出している,,10:00～19:00
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1-5-8,35.680599,139.77936,東京証券会館,03-3667-9210,http://www.ts-kaikan.co.jp/,342,342,オープン形式,シューボックス形式,固定席,演劇、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、講演会、その他1（ファンイベント）,日本の伝統音楽（邦楽等）、講演会、その他1（ファンイベント）,一般に貸出している,,-
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-31-1,35.682462,139.7842605,中央区立日本橋公会堂（日本橋劇場）〔ホール（日本橋劇場）〕,03-3666-4255,http://www.nihonbasikokaido.com/,424,440,プロセニアム形式,シューボックス形式,固定席,クラシック、演歌・歌謡曲、演劇、ミュージカル、歌舞伎、能・狂言、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、バレエ、ダンス・パフォーマンス、合唱、映像上映会（試写会など）、講演会,演劇、歌舞伎、能・狂言、日本の伝統音楽（邦楽等）、お笑い・寄席・演芸、講演会,一般に貸出している,,09:00～21:30
中央区,日本橋３丁目,日八京,東京都中央区日本橋3-2-17 　日伸ビルB1F,35.680671,139.771098,ＨＩＴ ＳＴＵＤＩＯ ＴＯＫＹＯ,03-5205-3800,http://big-echo.jp/hst/,,,,,,,,,,
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-4,35.671941,139.7546415,千代田区立日比谷図書文化館〔日比谷コンベンションホール（大ホール）〕,03-3502-3345,http://hibiyal.jp/hibiya/room_01.html,207,207,プロセニアム形式,その他,固定席,,映像上映会（試写会など）、講演会,一般に貸出している,,10:00～22:00
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-4,35.671941,139.7546415,千代田区立日比谷図書文化館〔スタジオプラス（小ホール）〕,03-3502-3345,http://hibiyal.jp/hibiya/room_01.html,60,60,オープン形式,アリーナ・平土間形式、扇形形式,可動席（スタッキングチェア）、可動席（スタッキングチェア）（スクール形式）,,講演会、展示会,一般に貸出している,,10:00～22:00
千代田区,日比谷公園,-,東京都千代田区日比谷公園 ,35.67263366,139.755226,【野外】日比谷公園〔にれの木広場〕,03-3501-6428,https://www.tokyo-park.or.jp/park/format/index037.html,,,,,,,,,,
