指標名,大使館・領事館,,,,,,,,
出典,外務省,,,,,,,,
年次,2020/3/9取得,,,,,,,,
URL,https://www.mofa.go.jp/mofaj/link/emblist/,,,,,,,,
備考,,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,エリア,国・地域,備考
渋谷区,広尾３丁目,-,東京都渋谷区広尾三丁目3-10,35.655345,139.714956,駐日クロアチア共和国大使館,欧州,クロアチア共和国,
渋谷区,広尾２丁目,-,東京都渋谷区広尾二丁目16-14,35.651988,139.717008,駐日チェコ共和国大使館,欧州,チェコ共和国,
渋谷区,広尾２丁目,-,東京都渋谷区広尾二丁目3-1,35.652537,139.714047,駐日ペルー共和国大使館,中南米,ペルー共和国,都内に大使館も領事館もある（住所は別）
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門三丁目6-1,35.666613,139.745376,駐日ナイジェリア連邦共和国大使館,アフリカ,ナイジェリア連邦共和国,
港区,元麻布３丁目,-,東京都港区元麻布三丁目4-33,35.656209,139.727322,駐日中華人民共和国大使館,アジア,中華人民共和国,
港区,元麻布３丁目,-,東京都港区元麻布三丁目5-1,35.65683,139.7283165,駐日サンマリノ共和国大使館,欧州,サンマリノ共和国,
港区,元麻布３丁目,-,東京都港区元麻布三丁目7-18,35.65629,139.7297205,駐日リトアニア共和国大使館,欧州,リトアニア共和国,
港区,元麻布２丁目,-,東京都港区元麻布二丁目3-23,35.653644,139.7277585,駐日マダガスカル共和国大使館,アフリカ,マダガスカル共和国,
港区,元麻布２丁目,-,東京都港区元麻布二丁目11-33,35.654364,139.7305305,駐日スロバキア共和国大使館,欧州,スロバキア共和国,
港区,元麻布２丁目,-,東京都港区元麻布二丁目3-28,35.654418,139.7266245,駐日カタール国大使館,中東,カタール国,
港区,元麻布２丁目,-,東京都港区元麻布二丁目14-14,35.652627,139.7302875,駐日アルゼンチン共和国大使館,中南米,アルゼンチン共和国,
港区,元麻布２丁目,-,東京都港区元麻布二丁目13-1,35.654265,139.730787,駐日ジャマイカ大使館,中南米,ジャマイカ,
港区,元麻布１丁目,-,東京都港区元麻布一丁目1-20,35.655903,139.7328615,駐日オーストリア共和国大使館,欧州,オーストリア共和国,
渋谷区,元代々木町,-,東京都渋谷区元代々木町50-11,35.672832,139.685814,駐日ベトナム社会主義共和国大使館,アジア,ベトナム社会主義共和国,
千代田区,九段南３丁目,-,東京都千代田区九段南三丁目6-6,35.69265,139.743468,駐日チュニジア共和国大使館,アフリカ,チュニジア共和国,
千代田区,九段南２丁目,-,東京都千代田区九段南二丁目2-11,35.694,139.7471805,駐日インド大使館,アジア,インド,
中央区,銀座１丁目,-,東京都中央区銀座1-9-2 北野建設（株）東京本社7階,35.674308,139.769289,在東京ソロモン諸島名誉領事館,大洋州,ソロモン諸島,日本には領事館のみ
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町3-29,35.681859,139.737555,駐日バングラデシュ人民共和国大使館,アジア,バングラデシュ人民共和国,
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町4-1 新紀尾井町ビル3階,35.679402,139.735638,在東京セーシェル共和国名誉総領事館,アフリカ,セーシェル共和国,日本には領事館のみ
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-3-1,35.681067,139.762566,在東京モナコ公国名誉総領事館,欧州,モナコ公国,日本には領事館のみ
渋谷区,猿楽町,-,東京都渋谷区猿楽町29-6,35.648388,139.6998135,駐日デンマーク王国大使館,欧州,デンマーク王国,
新宿区,榎町,-,東京都新宿区榎町72 神楽坂榎ビル3階,35.704935,139.728753,駐日モルドバ共和国大使館,欧州,モルドバ共和国,
千代田区,永田町２丁目,赤坂,東京都千代田区永田町二丁目15-1,35.676882,139.739589,駐日メキシコ合衆国大使館,中南米,メキシコ合衆国,
千代田区,一番町,-,東京都千代田区一番町2-2 一番町第二TGビル7階,35.688636,139.744287,駐日パラグアイ共和国大使館,中南米,パラグアイ共和国,
千代田区,一番町,-,東京都千代田区一番町1,35.686755,139.7442195,駐日英国大使館,欧州,英国,
