指標名,駅,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,
年次,2020/3/11取得,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,
備考,新幹線駅除く。乗降客数は基本的に1事業者1駅1データ。,,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,乗降客数,駅コード（路線別）,駅コード（路線不問）
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町２-１３-６,35.691173,139.770641,神田,JR中央線(快速),JR東日本,-,1131202,1130223
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町２-１３-６,35.691173,139.770641,神田,JR京浜東北線,JR東日本,-,1133221,1130223
新宿区,箪笥町,-,東京都新宿区箪笥町１-２,35.700851,139.735802,牛込神楽坂,都営大江戸線,東京都交通局,"14,841",9930106,9930106
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２-１-２,35.686564,139.7662,大手町,東京メトロ丸ノ内線,東京メトロ,"338,955",2800208,2800208
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２-１-１,35.684801,139.766086,大手町,東京メトロ東西線,東京メトロ,-,2800409,2800208
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１-６-３,35.686154,139.763399,大手町,東京メトロ千代田線,東京メトロ,-,2800510,2800208
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１-６-１,35.68686,139.764107,大手町,東京メトロ半蔵門線,東京メトロ,-,2800808,2800208
新宿区,大久保３丁目,-,東京都新宿区大久保３-１４-１,35.708242,139.709101,西早稲田,東京メトロ副都心線,東京メトロ,"38,739",2801011,2801011
港区,台場１丁目,-,東京都港区台場１-５-７,35.629813,139.778607,お台場海浜公園,ゆりかもめ東京臨海新交通臨海線,ゆりかもめ,"16,944",9931106,9931106
港区,台場１丁目,-,東京都港区台場１-９-１,35.625908,139.771435,台場,ゆりかもめ東京臨海新交通臨海線,ゆりかもめ,"23,436",9931107,9931107
渋谷区,代々木５丁目,-,東京都渋谷区代々木５-７-１,35.669715,139.688913,代々木八幡,小田急小田原線,小田急電鉄,"20,527",2500104,2500104
渋谷区,代々木４丁目,-,東京都渋谷区代々木４-６-８,35.678586,139.693568,参宮橋,小田急小田原線,小田急電鉄,"15,546",2500103,2500103
渋谷区,代々木１丁目,-,東京都渋谷区代々木１-３４-５,35.683218,139.701666,代々木,都営大江戸線,東京都交通局,"37,678",9930127,1130207
渋谷区,代々木１丁目,-,東京都渋谷区代々木１-３４-１,35.683061,139.702042,代々木,JR山手線,JR東日本,"139,334",1130207,1130207
渋谷区,代々木１丁目,-,東京都渋谷区代々木１-３４-１,35.683061,139.702042,代々木,JR中央・総武緩行線,JR東日本,-,1131311,1130207
渋谷区,代々木１丁目,-,東京都渋谷区代々木１-５１-１４,35.683483,139.69867,南新宿,小田急小田原線,小田急電鉄,"4,024",2500102,2500102
新宿区,早稲田町,-,東京都新宿区早稲田町２７-３,35.705723,139.721319,早稲田,東京メトロ東西線,東京メトロ,"82,370",2800404,2800404
渋谷区,千駄ケ谷３丁目,-,東京都渋谷区千駄ケ谷３-１１-３,35.678459,139.705453,北参道,東京メトロ副都心線,東京メトロ,"23,969",2801014,2801014
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ケ谷１-３５-８,35.681231,139.711644,千駄ヶ谷,JR中央・総武緩行線,JR東日本,"36,854",1131312,1131312
港区,赤坂３丁目,赤坂,東京都港区赤坂３-１-６,35.677021,139.737047,赤坂見附,東京メトロ銀座線,東京メトロ,"127,252",2800115,2800115
港区,赤坂３丁目,赤坂,東京都港区赤坂３-１-６,35.677021,139.737047,赤坂見附,東京メトロ丸ノ内線,東京メトロ,-,2800213,2800115
港区,赤坂３丁目,赤坂,東京都港区赤坂３-６-１１,35.67323,139.738348,赤坂,東京メトロ千代田線,東京メトロ,"95,556",2800515,2800515
新宿区,西落合３丁目,-,東京都新宿区西落合３-２-１３,35.723608,139.683303,落合南長崎,都営大江戸線,東京都交通局,"27,147",9930133,9930133
新宿区,西早稲田３丁目,-,東京都新宿区西早稲田３-７-９,35.712981,139.714444,面影橋,都営都電荒川線,東京都交通局,822,9930529,9930529
新宿区,西早稲田１丁目,-,東京都新宿区西早稲田１-２３-７,35.711848,139.718928,早稲田,都営都電荒川線,東京都交通局,"3,179",9930530,9930530
新宿区,西新宿６丁目,-,東京都新宿区西新宿６-７-５１,35.694298,139.692778,西新宿,東京メトロ丸ノ内線,東京メトロ,"86,795",2800219,2800219
新宿区,西新宿５丁目,-,東京都新宿区西新宿５-２５-１１,35.689798,139.684304,西新宿五丁目,都営大江戸線,東京都交通局,"33,348",9930129,9930129
新宿区,西新宿２丁目,-,東京都新宿区西新宿２-６-１,35.690551,139.69257,都庁前,都営大江戸線,東京都交通局,"50,008",9930101,9930101
新宿区,西新宿１丁目,-,東京都新宿区西新宿１-１-４,35.690163,139.699187,新宿,京王線,京王電鉄,"786,052",2400101,1130208
新宿区,西新宿１丁目,-,東京都新宿区西新宿１-１８-３,35.68869,139.698812,新宿,京王新線,京王電鉄,-,2400701,1130208
新宿区,西新宿１丁目,-,東京都新宿区西新宿１-１-２,35.691435,139.699574,新宿,小田急小田原線,小田急電鉄,"506,229",2500101,1130208
新宿区,西新宿１丁目,-,東京都新宿区西新宿１-１８-３,35.68869,139.698812,新宿,都営大江戸線,東京都交通局,"444,420",9930128,1130208
新宿区,西新宿１丁目,-,東京都新宿区西新宿１-１８-３,35.68869,139.698812,新宿,都営新宿線,東京都交通局,-,9930401,1130208
新宿区,西新宿１丁目,-,東京都新宿区西新宿１-２-１３,35.693315,139.699155,新宿西口,都営大江戸線,東京都交通局,"59,709",9930102,9930102
港区,西新橋３丁目,虎ノ門,東京都港区西新橋３-２４-６,35.661215,139.751535,御成門,都営三田線,東京都交通局,"46,629",9930306,9930306
千代田区,神田平河町,-,東京都千代田区神田平河町３-１,35.698162,139.775459,秋葉原,東京メトロ日比谷線,東京メトロ,"125,928",2800307,1130222
千代田区,神田鍛冶町,-,東京都千代田区神田鍛冶町３-３-２１,35.693587,139.770899,神田,東京メトロ銀座線,東京メトロ,"60,720",2800107,1130223
千代田区,神田淡路町１丁目,-,東京都千代田区神田淡路町１-２-１,35.695487,139.767551,小川町,都営新宿線,東京都交通局,"72,113",9930407,2800207
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町１-２-７,35.695434,139.767575,淡路町,東京メトロ丸ノ内線,東京メトロ,"59,445",2800207,2800207
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町２-２-１５,35.695966,139.757606,神保町,東京メトロ半蔵門線,東京メトロ,"96,811",2800807,2800807
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町２-１５-２,35.695492,139.75812,神保町,都営三田線,東京都交通局,"279,576",9930310,2800807
