指標名,スタートアップ企業,,,,,,,,,,
出典,INITIAL,,,,,,,,,,
年次,2019/12/2取得,,,,,,,,,,
URL,https://initial.inc/,,,,,,,,,,
備考,JPC2020データ,,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,企業名,業種,事業内容,設立日,詳細URL,調査状況
港区,六本木７丁目,六本木,東京都港区六本木7-3-12 インターナショナルビル2階,35.665938,139.728411,株式会社MJコーポレーション,ビジネスサービス,マイケルジャクソンをはじめとする今は亡き偉大なアーティストを...,2014/11/29,https://initial.inc/companies/A-16216,未評価(会社登録のみ)
港区,六本木７丁目,六本木,東京都港区六本木7-1-14 パークホームズ六本木乃木坂アーバンレジデンス,35.666523,139.7256165,株式会社パブリンガル,ビジネスサービス,多言語翻訳出版プラットフォームPublingualの企画・運...,2010/10/27,https://initial.inc/companies/A-07468,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-5-11-2F,35.664876,139.727826,株式会社グレイス,消費者向けサービス・販売,居酒屋「せいざん」、高級とんかつ「豚組」、立ち飲み「壌」を経...,2000/4/1,https://initial.inc/companies/A-06337,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-17-22-111,35.662824,139.728681,株式会社アールティーブイ,コンピューター - ITサービス,中小規模のインターネット・ライブ配信や専用サーバサービスを展...,2000/9/27,https://initial.inc/companies/A-05312,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-18-18 住友不動産六本木通ビル,35.66205,139.7284875,ポリゴンマジック株式会社,コンピューター - ソフトウェア,デジタルエンタテインメントコンテンツの企画制作,1996/4/3,https://initial.inc/companies/A-04072,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-15-10,35.66277,139.7306835,株式会社省電舎,環境関連,エネルギーの削減効率化に関する包括的なサービスの提供 (ES...,1986/6/9,https://initial.inc/companies/A-00908,
港区,六本木７丁目,六本木,東京都港区六本木7-3-2 ラポール乃木坂103号,35.666289,139.727241,株式会社マミーゴー,ビジネスサービス,主婦・ママによるエクセルやワードのデータ入力を主とするＩＴサ...,2014/1/30,https://initial.inc/companies/A-26710,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-15-7 新六本木ビル7F,35.663085,139.731021,プラチナファクトリー株式会社,医療・ヘルスケア,プラチナファクトリー株式会社は、「世界一の高齢化先進国である...,2014/4/28,https://initial.inc/companies/A-16405,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-10-2 清水ビル402,35.664615,139.728951,株式会社Hynext,医療・ヘルスケア ICT,医療系ソフトウェア開発 診療の予約、混雑状況のリアルタイム...,2014/5/1,https://initial.inc/companies/A-17067,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-15-17-7F,35.662293,139.729626,デリバーワウ合同会社,消費者向けサービス・販売,人間の３要素「衣食住」の分野において、「いいね！」「素晴らし...,2011/5/28,https://initial.inc/companies/A-11148,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-18-12,35.662005,139.729014,株式会社シーボン,医療・ヘルスケア,スキンケア製品（洗顔料・クレンジング等のベーシック製品及び美...,1966/1/24,https://initial.inc/companies/A-04888,
港区,六本木６丁目,六本木,東京都港区六本木6-2-31 六本木ヒルズノースタワー11F??,35.661789,139.7301525,クロストレックス株式会社,コンピューター - ITサービス,BtoB向け企業のコンテンツマーケティング支援サービスの提供...,2018/11/1,https://initial.inc/companies/A-33259,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-2-31 六本木ヒルズノースタワー11F,35.661789,139.7301525,ビルコム株式会社,消費者向けサービス・販売,Facebook連携型ギフトモール「Okkru（オックル）」...,2003/10/8,https://initial.inc/companies/A-03606,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズ森タワー31F,35.66043,139.7292615,株式会社Origami,消費者向けサービス・販売,スマホ決済サービス「Origami Pay（オリガミペイ）」...,2012/2/22,https://initial.inc/companies/A-12056,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-1-24 ラピロス六本木4F,35.662563,139.731912,BRANU株式会社,コンピューター - ITサービス,建設事業者同士をマッチングし、現場の人手不足を解消するシェア...,2009/8/18,https://initial.inc/companies/A-15991,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-6-15,35.661987,139.731741,株式会社インターローカルパートナーズ,ビジネスサービス,地域ビシネスを担うこれからの地域プレーヤーの育成・醸成を視野...,2019/2/1,https://initial.inc/companies/A-33883,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-2-31 六本木ヒルズノースタワー 17F,35.661789,139.7301525,フォビジャパン株式会社,金融・保険・不動産,仮想通貨交換業,2016/9/12,https://initial.inc/companies/A-34208,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-8-10 ステップ六本木2階,35.661249,139.732533,CROOZ STYLING株式会社,消費者向けサービス・販売,自分の服の情報を入力すると、それに合うコーディネートとその理...,2012/11/12,https://initial.inc/companies/A-12285,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズ森タワー35F,35.66043,139.7292615,株式会社グライダーアソシエイツ,コンピューター - ソフトウェア,スマートフォン端末、タブレット端末両方に対応した iPhon...,2012/2/6,https://initial.inc/companies/A-11556,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-10-1,35.66043,139.7292615,ソースネクスト株式会社,コンピューター - ソフトウェア,パソコン用の低価格パッケージソフトメーカー。ウイルス対策が主...,1996/8/2,https://initial.inc/companies/A-02212,
港区,六本木６丁目,六本木,東京都港区六本木6-1-20 六本木電気ビル 7F,35.662302,139.731309,株式会社マインド・アーキテクト,コンピューター - ITサービス,中小企業向け全自動融資プラットフォーム「EarlyBird」...,2018/2/1,https://initial.inc/companies/A-31710,未評価(会社登録のみ)
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズ森タワー37F,35.66043,139.7292615,株式会社One Tap BUY,金融・保険・不動産 ICT,金融アプリケーションサービス事業 スマートフォン向け株式取...,2013/10/31,https://initial.inc/companies/A-15718,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズ森タワー17F,35.66043,139.7292615,ブレイン株式会社,コンピューター - ソフトウェア,飲食店舗向けPOSレジ「blayn（ブレイン）」を提供,2017/12/1,https://initial.inc/companies/A-32008,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-7-10 簗場ビル3F,35.662221,139.7325285,株式会社アベンチャーズ,金融・保険・不動産 ICT,オフィスの情報メディア「みんなのオフィス」の運営 オフィスの...,2014/5/1,https://initial.inc/companies/A-16127,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズ森タワー35階,35.66043,139.7292615,テクノプロ・ホールディングス株式会社,ビジネスサービス,技術者派遣・請負事業などの人材サービスグループ会社の統括およ...,2006/7/25,https://initial.inc/companies/A-15988,
港区,六本木６丁目,六本木,東京都港区六本木6-16-50 葛野ビル2F,35.658333,139.728753,株式会社Extractor,消費者向けサービス・販売,ライヴ配信プラットフォーム「Extractor.live（エ...,2016/12/19,https://initial.inc/companies/A-29352,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズ森タワー34F,35.66043,139.7292615,株式会社マルケト,コンピューター - ソフトウェア,マーケティングオートメーション（MA）ツールを開発・販売（M...,2013/11/6,https://initial.inc/companies/A-15596,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズ森タワー,35.66043,139.7292615,株式会社おとデパ,消費者向けサービス・販売,厳選グルメに出会えて、試せて、お取り寄せできるアプリ「おとデ...,2014/7/14,https://initial.inc/companies/A-16411,調査不能(HPアクセス不能などの事由)
港区,六本木６丁目,六本木,東京都港区六本木6-8-10,35.661249,139.732533,レトロワグラース株式会社,消費者向けサービス・販売,衣・食・住すべての観点から、人々の暮らしに寄り添える”真によ...,2016/11/18,https://initial.inc/companies/A-28917,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズ森タワー18F (メルカリオフィス内),35.66043,139.7292615,株式会社ソウゾウ,消費者向けサービス・販売,自分の周りの地域にいるユーザーと不要品の売買やスキル・サービ...,2015/9/17,https://initial.inc/companies/A-17270,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-15-21,35.658792,139.7279115,株式会社レイ,,持株会社。イベント等で映像の演出。ＣＭ等で編集加工による映像...,1981/6/23,https://initial.inc/companies/A-00424,
港区,六本木６丁目,六本木,東京都港区六本木6-15-1 六本木ヒルズけやき坂テラス6F ディーエムジー・イベンツ・ジャパン株式会社,35.658603,139.7281275,アッシュグラント合同会社,コンピューター - ソフトウェア,月額無料の企業戦略管理(CSM)ツール「CMS CockPi...,2012/4/1,https://initial.inc/companies/A-11387,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズ森タワー15階,35.66043,139.7292615,クーロン株式会社,コンピューター - ソフトウェア,スマートフォンや家電の話題を集めたニュースサイト「ガジェット...,2013/5/24,https://initial.inc/companies/A-13009,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズ森タワー15F,35.66043,139.7292615,株式会社グラニ,コンピューター - ソフトウェア,ソーシャルアプリケーション、ゲームの企画・開発・運営 ソー...,2012/9/19,https://initial.inc/companies/A-11481,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-12-2 六本木ヒルズB2204,35.658783,139.729239,株式会社フィルモア,ビジネスサービス,・コンサルティング・Webプロモーション支援事業 ・自社メデ...,2008/6/3,https://initial.inc/companies/A-05070,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-8-10 STEP 六本木ビル WEST,35.661249,139.732533,株式会社美容経済新聞社,コンピューター - ソフトウェア,美容と健康ビジネスの専門ニュースサービス「美容経済新聞」 美...,1999/8/20,https://initial.inc/companies/A-04965,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-6-9 ピラミデ2F,35.661888,139.731462,株式会社メディクルード,医療・ヘルスケア,「医療機関総合運営支援サービス」 マーケティング支援サービス...,1997/12/9,https://initial.inc/companies/A-03843,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-11-17,35.658009,139.732029,株式会社フレックス・ファーム,ビジネスサービス,出版物の企画・制作 出版に関するコンサルタント業務 服飾品・...,1992/2/20,https://initial.inc/companies/A-02791,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-10-1,35.66043,139.7292615,株式会社ファンドクリエーション,金融・保険・不動産,ファンドの組成・運営に関するアドバイス等を行うアセットマネジ...,2002/12/6,https://initial.inc/companies/A-02219,
港区,六本木６丁目,六本木,東京都港区六本木6-2-31 六本木ヒルズノースタワー6階,35.661789,139.7301525,株式会社スタートアッププラス,コンピューター - ITサービス,ウェブサイト管理者が気軽にウェブサイト監視をはじめられるサー...,2012/2/29,https://initial.inc/companies/A-12568,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-1-24 ラピロス六本木7F,35.662563,139.731912,株式会社DEX,コンピューター - ソフトウェア,スマートフォンアプリケーション開発。 移動体通信のシステム開...,2002/7/24,https://initial.inc/companies/A-05310,調査継続
港区,六本木６丁目,六本木,東京都港区六本木6-8-10,35.661249,139.732533,ダブルクリック株式会社,,トランスコスモス子会社。広く使われるネット広告配信技術ＤＡＲ...,,https://initial.inc/companies/A-00521,
港区,六本木５丁目,六本木,東京都港区六本木五丁目2-1 ほうらいやビル3F,35.662419,139.7335095,株式会社Aerial Partners,コンピューター - ITサービス,仮想通貨税務に精通した税理士紹介と、仮想通貨取引の記帳代行を...,2016/12/27,https://initial.inc/companies/A-29210,調査継続
港区,六本木５丁目,六本木,東京都港区六本木5-2-3 マガジンハウス六本木ビル7F,35.662239,139.733721,株式会社キッズライン,消費者向けサービス・販売,スマホから即日も予約可能なベビーシッターサービス・家事代行サ...,2014/10/1,https://initial.inc/companies/A-15899,調査継続
港区,六本木５丁目,六本木,東京都港区六本木5-5-1,35.66196,139.7346075,株式会社WDI,,「カプリチョーザ」など国内外ブランドと自社開発ブランドのレス...,1954/4/9,https://initial.inc/companies/A-01301,
港区,六本木５丁目,六本木,東京都港区六本木5-9-20 六本木イグノポール 507号室,35.661627,139.732992,SOELU株式会社,コンピューター - ITサービス,女性専用オンラインヨガ「SOELU(ソエル)」を運営,2014/4/1,https://initial.inc/companies/A-16428,調査継続
港区,六本木５丁目,六本木,東京都港区六本木5-17-6 オークヒルアパートメンツ402,35.661015,139.7366775,株式会社PIPI,金融・保険・不動産 ICT,バケーションレンタル代行サービス「PIPI Hosting」...,2015/1/20,https://initial.inc/companies/A-29834,調査継続
港区,六本木５丁目,六本木,東京都港区六本木5丁目2-5 鳥勝ビル3F,35.662212,139.733964,株式会社M&A総合研究所,コンピューター - ITサービス,M&A情報発信メディア「M&A総合研究所ポータル」、「M&A...,2018/10/12,https://initial.inc/companies/A-34091,調査継続
港区,六本木５丁目,六本木,東京都港区六本木5-9-20 六本木イグノポール5F,35.661627,139.732992,シルタス株式会社,消費者向けサービス・販売,買い物履歴から栄養管理をするアプリ「SIRU＋（シルタス）」...,2016/11/9,https://initial.inc/companies/A-29409,調査継続
港区,六本木５丁目,六本木,東京都港区六本木5-16-5 インペリアエル六本木フォーラム5F,35.661726,139.7353545,フウド株式会社,ビジネスサービス,生活習慣病の対策を図った、手間なく食事改善できるサービスの開...,2019/7/12,https://initial.inc/companies/A-33749,未評価(会社登録のみ)
港区,六本木５丁目,六本木,東京都港区六本木5-9-20 六本木イグノポール801,35.661627,139.732992,株式会社Zehitomo,消費者向けサービス・販売,「仕事をしたい人」と「仕事をお願いしたい人」をつなげるマッチ...,2015/8/27,https://initial.inc/companies/A-28506,調査継続
港区,六本木５丁目,六本木,東京都港区六本木5-16-52 インペリアル六本木2号館 302号,35.661591,139.7353275,株式会社3.0,コンピューター - ソフトウェア,"今夜なにする？を解決するアプリ""LIVE3""（http://...",2014/2/12,https://initial.inc/companies/A-12999,調査継続
港区,六本木５丁目,六本木,東京都港区六本木5-16-5 インペリアル六本木1号館 400号室,35.661726,139.7353545,株式会社ティンク,コンピューター - ITサービス,美容整形の写真口コミアプリ「Lucmo（ルクモ）」を開発・運...,2016/6/1,https://initial.inc/companies/A-31128,調査継続
港区,六本木５丁目,六本木,東京都港区六本木5-16-50 六本木デュープレックス M's(エムズ) 202号室 株式会社IIOSS（イーオス）内,35.661438,139.735026,株式会社スプリングソフト,コンピューター - ソフトウェア,クラウドネットワークの高度化・高付加価値化のためのネットワー...,2008/2/4,https://initial.inc/companies/A-06351,調査不能(HPアクセス不能などの事由)
港区,六本木５丁目,六本木,東京都港区六本木5-1-3 ゴトウビル,35.662779,139.7327535,株式会社ドリームインキュベータ,金融・保険・不動産,ベンチャーの投資・育成と大企業向けコンサルの２本柱。コンサル...,2000/4/20,https://initial.inc/companies/A-00594,
港区,六本木５丁目,六本木,東京都港区六本木5-9-20 六本木イグノポール3F,35.661627,139.732992,株式会社6CNS,コンピューター - ITサービス,第4世代ハイレベル人工知能エンジンをベースに、音声合成・音声...,2017/6/2,https://initial.inc/companies/A-29051,調査継続
港区,六本木５丁目,六本木,東京都港区六本木5-12-7,35.657298,139.7350485,キュアグレーズ株式会社,医療・ヘルスケア ICT,医療情報サイト運営事業 「いいお医者さんネット」運営,2008/4/28,https://initial.inc/companies/A-03760,調査継続
港区,六本木５丁目,六本木,東京都港区六本木5-12-11,35.657811,139.735197,コミュニティデザイン株式会社,消費者向けサービス・販売,OL向けのライフスタイル提案型シェアハウスポータルサイト『シ...,2010/12/16,https://initial.inc/companies/A-10934,調査継続
港区,六本木５丁目,六本木,東京都港区六本木5-11-25 鳥居坂アネックス5F,35.657307,139.733631,株式会社ハー・ストーリィ,ビジネスサービス,主婦を中心としたSOHOや在宅ワーカー、登録モニターを ネッ...,1990/8/20,https://initial.inc/companies/A-02293,調査継続
港区,六本木４丁目,六本木,東京都港区六本木4-2-45 髙會堂ビル2F,35.665956,139.7343195,株式会社cookpy,コンピューター - ITサービス,個人向け、オンラインレストラン出店サービス「cookpy(ク...,2017/11/1,https://initial.inc/companies/A-34431,調査継続
港区,六本木４丁目,六本木,東京都港区六本木4-2-45,35.665956,139.7343195,株式会社ｒｅ,ビジネスサービス,発注がオンラインで完結するEC・D2C事業者向けパッケージ印...,2018/10/3,https://initial.inc/companies/A-34404,調査継続
港区,六本木４丁目,六本木,東京都港区六本木4-1-4 黒崎ビル9F,35.665524,139.735962,Talknote株式会社,コンピューター - ソフトウェア,日本の携帯とスマートフォンを使ったリアルタイムコミュニケーシ...,2010/4/1,https://initial.inc/companies/A-05506,調査継続
