指標名,バス停,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2020/3/10取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,路線ごとに1データあるので、単純な駅数が知りたい場合は「1÷路線数」を合計,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,路線数,1÷路線数,事業者,路線名,方面①,方面②,およそ住所
新宿区,揚場町,-,東京都新宿区揚場町２-２４,35.702761,139.743538,飯田橋(東京都),3,0.33 ,都営バス,飯６４(小滝橋車庫前-九段下),九段下（バス）方面,,東京都新宿区下宮比町
新宿区,揚場町,-,東京都新宿区揚場町２-２４,35.702761,139.743538,飯田橋(東京都),3,0.33 ,都営バス,飯６４(九段下-小滝橋車庫前),小滝橋車庫前方面,,東京都新宿区下宮比町
新宿区,余丁町,-,東京都新宿区余丁町１０-８,35.698475,139.716082,余丁町,2,0.50 ,都営バス,宿７５,三宅坂方面,新宿駅西口方面,東京都新宿区若松町
新宿区,余丁町,-,東京都新宿区余丁町１０-８,35.698475,139.716082,余丁町,2,0.50 ,都営バス,高７１,九段下（バス）方面,高田馬場駅前方面,東京都新宿区若松町
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町２-３-６,35.673265,139.762321,有楽町マリオン前,7,0.14 ,高速バス,東京-千葉/マイタウン・ダイレクトバス〔新浦安〕,日の出七丁目方面,,東京都千代田区有楽町
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町２-３-６,35.673265,139.762321,有楽町マリオン前,7,0.14 ,高速バス,深夜急行バス〔新橋→成田空港〕,成田空港第２ターミナル方面,,東京都千代田区有楽町
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町２-３-６,35.673265,139.762321,有楽町マリオン前,7,0.14 ,高速バス,深夜急行バス〔新橋→京成佐倉〕,京成佐倉駅〔南口〕方面,,東京都千代田区有楽町
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町２-３-６,35.673265,139.762321,有楽町マリオン前,7,0.14 ,成田空港交通,新松戸・千葉ニュータウン・成田線〔深夜急行バス〕,成田空港第２ターミナル/新松戸駅方面,,東京都千代田区有楽町
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町２-３-６,35.673265,139.762321,有楽町マリオン前,7,0.14 ,成田空港交通,西船橋・千葉ニュータウン・成田線〔深夜急行バス〕,成田空港第２ターミナル/西船橋駅方面,,東京都千代田区有楽町
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町２-３-６,35.673265,139.762321,有楽町マリオン前,7,0.14 ,船橋新京成バス,深夜急行：船橋・北習志野・八千代緑が丘方面,鎌ヶ谷大仏（バス）方面,,東京都千代田区有楽町
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町２-３-６,35.673265,139.762321,有楽町マリオン前,7,0.14 ,東武バス,ミッドナイトアロー柏・我孫子,我孫子駅北口方面,,東京都千代田区有楽町
