指標名,スーパー,,,,,
出典,NAVITIME,,,,,
年次,2020/2/26取得,,,,,
URL,https://www.navitime.co.jp/,,,,,
備考,,,,,,
,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名
新宿区,港南１丁目,-,東京都新宿区新宿6-27-29,35.629569,139.745349,マルエツ 新宿六丁目店
中央区,港南１丁目,-,東京都中央区晴海3-13-2,35.629704,139.7444985,マルエツ 晴海3丁目店
渋谷区,港南１丁目,-,東京都渋谷区上原1-18-12,35.630415,139.7425545,マルエツ 代々木上原店
新宿区,港南１丁目,-,東京都新宿区四谷2-1-1,35.629794,139.741452,マルエツプチ 四谷二丁目店
港区,港南１丁目,-,東京都港区芝2-15-13,35.632638,139.743162,マルエツプチ 芝二丁目店
港区,港南１丁目,-,東京都港区新橋5-1-9,35.632638,139.743162,マルエツプチ 新橋五丁目店
千代田区,港南１丁目,-,東京都千代田区神田神保町2-44,35.630766,139.7447595,マルエツプチ 神田神保町二丁目店
港区,港南２丁目,-,東京都港区芝4-16-2 カテリーナ三田イーストアーク 101,35.628516,139.738536,maruetsu(マルエツ) プチ 芝四丁目店
渋谷区,港南２丁目,-,東京都渋谷区円山町26-7 TKフラッツ渋谷,35.628516,139.738536,maruetsu(マルエツ) プチ 渋谷神泉店
港区,港南２丁目,-,東京都港区浜松町2-9-6,35.62452,139.745367,マルエツプチ 浜松町二丁目店
渋谷区,港南２丁目,-,東京都渋谷区代々木4-50-8,35.62866,139.7419965,マルマンストア 参宮橋店
渋谷区,港南２丁目,-,東京都渋谷区富ヶ谷1-3-8,35.626815,139.7419155,マルマンストア 代々木八幡店
渋谷区,港南２丁目,-,東京都渋谷区代々木1-39-11,35.626815,139.7419155,マルマンストア 南新宿店
中央区,港南２丁目,-,東京都中央区日本橋馬喰町1-5-6,35.627886,139.740705,マルマンストア 日本橋馬喰町店
中央区,港南２丁目,-,東京都中央区築地4-13-3 築地場外市場,35.626599,139.7404485,まる一 浜田商店
新宿区,港南２丁目,-,東京都新宿区中井2-24-13,35.624628,139.739517,ミニコープ落合店
新宿区,港南２丁目,-,東京都新宿区北新宿2-21-1 新宿フロントタワー 1F,35.629326,139.742685,もとまちUNION(ユニオン) 新宿店
港区,港南２丁目,-,東京都港区新橋2 東口地下街1 ウィング新橋 B1F,35.628606,139.743828,もとまちユニオン ウィング新橋店
港区,港南２丁目,-,東京都港区六本木3-7-1-101 THE ROPPONGI TOKYO PLAZA,35.628696,139.7430315,もとまちユニオン 六本木店
新宿区,港南２丁目,-,東京都新宿区神楽坂6-11-1,35.625501,139.7453625,よしや 神楽坂店
千代田区,港南２丁目,-,東京都千代田区二番町11-10 麹町山王マンション1F,35.62605,139.740669,よしや 番町麹町店
新宿区,港南２丁目,-,東京都新宿区原町1-16-8,35.629056,139.7443185,よしや 柳町店
中央区,港南２丁目,-,東京都中央区築地4-10-15,35.628516,139.738536,株式会社北島商店
港区,港南３丁目,-,東京都港区芝浦3-1-21 msb Tamachi 田町ステーションタワーS棟 1F,35.631774,139.748994,ライフ ムスブ田町店
渋谷区,港南４丁目,-,東京都渋谷区笹塚1-57-10,35.629632,139.7510685,ライフ 笹塚店
