指標名,ナイトライフ施設,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,
年次,2020/2/20取得,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,
備考,,,,,,,,,,,,
,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,エリア,業種,ジャンル,電話番号,営業時間,定休日
港区,南青山３丁目,-,東京都港区南青山3-18-19 フェスタ表参道ビル1F,35.665128,139.712877,cafe ATLANTIS,青山,エンターテインメントラウンジ,Allmix ･ House ･ R&B ･ HipHop ･ Others,03-6434-0069,19:00-03:00,200人
港区,南青山１丁目,-,東京都港区南青山1-15-18 リーラ乃木坂B1F,35.668125,139.726809,Club CACTUS,青山,CLUB,Reggae,03-3408-9577,月-金 18:00-MIDNIGHT / 土 22:00-05:00,120人前後
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-6-5 銀座裏コリドー内,35.66934,139.7588625,club GHQ,銀座,CLUB,Allmix,03-6550-9655,18:00-24:00,日
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-23-13 SHIBUYA DELITOWER B1,35.660124,139.6961145,EN SOF TOKYO,渋谷,ダイニングバー,Techno ･ House ･ Electro ･ Drum&Bass ･ BassMusic ･ Others,03-5728-5349,19:00～,無休
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-19-11 中村ビル1F-2F,35.659422,139.696119,Mikkeller Tokyo,渋谷,ビアバー,Others,03-6427-0793,"平日 15:00-24:30
金 15:00-25:30
土 12:00-25:30
日 12:00-24:30",無休
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-13-5 B1F,35.65836,139.695696,beat cafe,渋谷,ミュージックバー,80s ･ Rock ･ POPs ･ All Genre ･ etc.,-,20:00-05:00,不定休
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-25-17 カスミビル4F,35.659566,139.697658,RUBY ROOM,渋谷,CLUB ･ バー,House ･ Techno ･ Live ･ Rock ･ etc.,03-3780-3022,20:00～ ※イベントにより異なる,不定休
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-22-6,35.659656,139.695552,しぶや花魁,渋谷,DJバー ･ レストラン,Allmix,03-5456-8782,18:00-05:00 / 18:00-24:00,不定休
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-21-7 第八矢澤ビル5F/6F,35.658981,139.6955295,LOUNGE NEO,渋谷,CLUB,HipHop ･ House ･ Techno ･ Allmix ･ Reggae ･ R&B ･ Rock ･ Electro ･ Drum&Bass,03-5458-2551,※イベントにより異なる,不定休
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-21-7 第八矢澤ビル1F/B1F,35.658981,139.6955295,VUENOS,渋谷,ライブハウス,Live ･ Rock ･ Allmix ･ Others,03-5458-2551,※ライブスケジュールにより異なる,不定休
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-29-5 渋谷プライム5F,35.659413,139.698324,eplus LIVING ROOM CAFE&DINING,渋谷,ライブカフェバー,Live ･ Acoustic ･ Jazz ･ POPs ･ Folk ･ Blues ･ Others,03-6452-5424,"11:30-23:30 (L.O 23:00)
日･祝 11:30-22:00 (L.O 21:00)",不定休
