指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/administration/statistics_and_research/list_of_public_school/school_lists2019.html,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,
年次,2020/3/12取得,,,,,,,
URL,複数あり、右に記載,,,,,,,
備考,国立幼稚園～高校は都心五区に存在しない,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,公私,カテゴリ
新宿区,百人町３丁目,-,東京都新宿区百人町3-22-8,35.704962,139.6982475,"独立行政法人地域医療機能推進機構
東京山手メディカルセンター附属看護専門学校",私立,専修学校
新宿区,百人町４丁目,-,東京都新宿区百人町4-2-1,35.707959,139.699359,西戸山,公立,小学校
新宿区,百人町４丁目,-,東京都新宿区百人町4-3-1,35.708562,139.7007765,新宿西戸山,公立,中学校
新宿区,百人町４丁目,-,東京都新宿区百人町4-7-1,35.708886,139.6957095,西戸山,公立,幼稚園
渋谷区,富ケ谷２丁目,-,東京都渋谷区富ヶ谷２－１０－１,35.665245,139.6863585,東海大学付属望星高等学校,私立,高等学校（通信制）
新宿区,富久町,-,東京都新宿区富久町22-1,35.693568,139.716018,総合芸術,公立,高等学校
新宿区,富久町,-,東京都新宿区富久町2-6,35.692191,139.718007,東洋美術学校,私立,専修学校
新宿区,富久町,-,東京都新宿区富久町7-24,35.692425,139.71627,富久,公立,幼稚園
新宿区,富久町,-,東京都新宿区富久町7-24,35.692425,139.71627,富久,公立,小学校
新宿区,富久町,-,東京都新宿区富久町７－３０　　,35.691804,139.716702,成女高等学校,私立,高等学校（全日制）
新宿区,富久町,-,東京都新宿区富久町７－３０　　,35.691804,139.716702,成女学園中学校,私立,中学校
千代田区,富士見１丁目,-,東京都千代田区富士見1-10-3,35.697231,139.7464335,ふじみこども園,公立,幼稚園
千代田区,富士見１丁目,-,東京都千代田区富士見1-10-3,35.697231,139.7464335,富士見,公立,小学校
千代田区,富士見１丁目,-,東京都千代田区富士見１－１－１３　　,35.698437,139.7483325,暁星小学校,私立,小学校
千代田区,富士見１丁目,-,東京都千代田区富士見1-1-6,35.697645,139.748769,お茶の水,公立,幼稚園
千代田区,富士見１丁目,-,東京都千代田区富士見1-1-6,35.697645,139.748769,お茶の水,公立,小学校
千代田区,富士見１丁目,-,東京都千代田区富士見1-2-5,35.697222,139.748202,暁星幼稚園,私立,幼稚園
千代田区,富士見１丁目,-,東京都千代田区富士見１－２－５,35.697222,139.748202,暁星高等学校,私立,高等学校（全日制）
千代田区,富士見１丁目,-,東京都千代田区富士見１－２－５,35.697222,139.748202,暁星中学校,私立,中学校
千代田区,富士見２丁目,-,東京都千代田区富士見2-5-13,35.700633,139.745637,専門学校ファッションカレッジ桜丘,私立,専修学校
千代田区,平河町２丁目,-,東京都千代田区平河町2-5-1,35.680176,139.73913,麹町,公立,中学校
中央区,豊海町,-,東京都中央区豊海町3-1,35.653383,139.771215,豊海,公立,幼稚園
中央区,豊海町,-,東京都中央区豊海町3-1,35.653383,139.771215,豊海,公立,小学校
新宿区,北山伏町,-,東京都新宿区北山伏町4-1,35.700354,139.730409,牛込第一,公立,中学校
新宿区,北新宿２丁目,-,東京都新宿区北新宿2-11-1,35.700507,139.6894005,柏木,公立,小学校
新宿区,北新宿３丁目,-,東京都新宿区北新宿3-17-1,35.703936,139.6908495,淀橋第四,公立,幼稚園
新宿区,北新宿３丁目,-,東京都新宿区北新宿3-17-1,35.703936,139.6908495,淀橋第四,公立,小学校
新宿区,北新宿３丁目,-,東京都新宿区北新宿3-22-7,35.703531,139.689369,日本学生支援機構東京日本語教育センター,私立,各種学校
港区,北青山１丁目,-,東京都港区北青山1-1-9,35.674182,139.7220525,青山,公立,中学校
港区,北青山３丁目,-,東京都港区北青山3-5-17,35.66646,139.7122335,専門学校青山ファッションカレッジ,私立,専修学校
新宿区,北町,-,東京都新宿区北町26,35.69976,139.734027,愛日,公立,小学校
渋谷区,本町３丁目,-,東京都渋谷区本町３－２－２　　,35.687043,139.685319,関東国際高等学校,私立,高等学校（全日制）
渋谷区,本町４丁目,-,東京都渋谷区本町4-20-7,35.688141,139.6791585,東放学園音響専門学校,私立,専修学校
渋谷区,本町４丁目,-,東京都渋谷区本町4-3-1,35.685981,139.6818855,渋谷本町学園,公立,小学校
渋谷区,本町４丁目,-,東京都渋谷区本町4-3-1,35.685981,139.6818855,渋谷本町学園,公立,中学校
渋谷区,本町５丁目,-,東京都渋谷区本町5-19-4,35.684271,139.674888,本町,公立,幼稚園
渋谷区,本町６丁目,-,東京都渋谷区本町6-21-7,35.681085,139.6798695,専門学校東洋公衆衛生学院,私立,専修学校
渋谷区,本町６丁目,-,東京都渋谷区本町6-34-18,35.680716,139.6782315,帝京めぐみ幼稚園,私立,幼稚園
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-5-15,35.661942,139.7385315,麻布,公立,幼稚園
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-5-15,35.661942,139.7385315,麻布,公立,小学校
中央区,湊１丁目,-,東京都中央区湊1-4-1,35.672265,139.7788605,中央,公立,幼稚園
中央区,湊１丁目,-,東京都中央区湊1-4-1,35.672265,139.7788605,中央,公立,小学校
中央区,明石町,-,東京都中央区明石町1-15,35.668863,139.7765565,明石,公立,幼稚園
中央区,明石町,-,東京都中央区明石町1-15,35.668863,139.7765565,明石,公立,小学校
中央区,明石町,-,東京都中央区明石町2-1,35.669331,139.777353,東京ファッション専門学校,私立,専修学校
新宿区,揚場町,-,東京都新宿区揚場町2-28,35.702118,139.7430675,"独立行政法人地域医療機能推進機構
東京新宿メディカルセンター附属看護専門学校",私立,専修学校
千代田区,六番町,-,東京都千代田区六番町11-1,35.68671,139.7324745,雙葉小学校附属幼稚園,私立,幼稚園
千代田区,六番町,-,東京都千代田区六番町1-3,35.687817,139.735242,専修学校河合塾麹町校,私立,専修学校
千代田区,六番町,-,東京都千代田区六番町１４－１　,35.686944,139.731687,雙葉高等学校,私立,高等学校（全日制）
千代田区,六番町,-,東京都千代田区六番町１４－１　,35.686944,139.731687,雙葉中学校,私立,中学校
千代田区,六番町,-,東京都千代田区六番町１４－１　,35.686944,139.731687,雙葉小学校,私立,小学校
千代田区,六番町,-,東京都千代田区六番町8,35.687979,139.7337975,番町,公立,幼稚園
千代田区,六番町,-,東京都千代田区六番町8,35.687979,139.7337975,番町,公立,小学校
港区,六本木５丁目,六本木,東京都港区六本木５－１４－４０,35.659224,139.7349315,東洋英和女学院高等部,私立,高等学校（全日制）
港区,六本木５丁目,六本木,東京都港区六本木５－１４－４０,35.659224,139.7349315,東洋英和女学院中学部,私立,中学校
港区,六本木５丁目,六本木,東京都港区六本木5-6-14,35.661078,139.7336985,東洋英和幼稚園,私立,幼稚園
港区,六本木５丁目,六本木,東京都港区六本木５－６－１４,35.661078,139.7336985,東洋英和女学院小学部,私立,小学校
港区,六本木６丁目,六本木,東京都港区六本木6-16-36,35.657865,139.731201,六本木,公立,高等学校
港区,六本木６丁目,六本木,東京都港区六本木6-16-5,35.658207,139.7298555,アメリカン・スクール・イン・ジャパン・アーリーラーニングセンター,私立,各種学校
港区,六本木６丁目,六本木,東京都港区六本木6-4-1,35.661339,139.7301345,ハリウッド美容専門学校,私立,専修学校
港区,六本木６丁目,六本木,東京都港区六本木6-8-16,35.660835,139.7321865,六本木,公立,中学校
