指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/administration/statistics_and_research/list_of_public_school/school_lists2019.html,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,
年次,2020/3/12取得,,,,,,,
URL,複数あり、右に記載,,,,,,,
備考,国立幼稚園～高校は都心五区に存在しない,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,公私,カテゴリ
渋谷区,広尾３丁目,-,東京都渋谷区広尾３－７－１６　,35.655804,139.7172195,東京女学館中学校,私立,中学校
渋谷区,広尾３丁目,-,東京都渋谷区広尾３－７－１６　,35.655804,139.7172195,東京女学館小学校,私立,小学校
渋谷区,広尾４丁目,-,東京都渋谷区広尾4-1-3,35.653383,139.7192625,日本赤十字社助産師学校　,私立,専修学校
渋谷区,広尾４丁目,-,東京都渋谷区広尾4-3-1,35.651214,139.720455,聖心インターナショナルスクール,私立,各種学校
港区,港南３丁目,-,東京都港区港南3-9-45,35.632503,139.751145,港特別支援学校,公立,特別支援学校
港区,港南４丁目,-,東京都港区港南4-3-27,35.629371,139.7487915,港南,公立,幼稚園
港区,港南４丁目,-,東京都港区港南4-3-28,35.629344,139.7496285,港南,公立,小学校
港区,港南４丁目,-,東京都港区港南4-3-3,35.631117,139.7490615,港南,公立,中学校
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-14-1,35.708994,139.706217,東京製菓学校,私立,専修学校
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-18-18,35.711325,139.7061495,日本医学柔整鍼灸専門学校,私立,専修学校
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-21-12,35.709624,139.70412,日本美容専門学校,私立,専修学校
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-23-9,35.711001,139.7050065,早稲田外語専門学校,私立,専修学校
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-24-13,35.71128,139.7054025,専修学校早稲田ゼミナール,私立,専修学校
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-24-22,35.711784,139.7057175,日本フラワーデザイン専門学校,私立,専修学校
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-25-21,35.712153,139.706109,戸塚第二,公立,幼稚園
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-25-21,35.712153,139.706109,戸塚第二,公立,小学校
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-29-5,35.71047,139.7040075,一橋学院早慶外語,私立,各種学校
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-32-15,35.710353,139.703526,日本児童教育専門学校,私立,専修学校
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-34-13,35.711847,139.704156,東京家政専門学校,私立,専修学校
新宿区,高田馬場２丁目,-,東京都新宿区高田馬場2-11-10,35.713665,139.707828,東京デザインテクノロジーセンター専門学校,私立,専修学校
新宿区,高田馬場２丁目,-,東京都新宿区高田馬場2-16-3,35.713692,139.7057445,日本福祉教育専門学校,私立,専修学校
新宿区,高田馬場２丁目,-,東京都新宿区高田馬場2-8-18,35.712558,139.70934,おおや幼稚園,私立,幼稚園
新宿区,高田馬場２丁目,-,東京都新宿区高田馬場2-9-7,35.712513,139.7079585,新宿日本語学校,私立,各種学校
新宿区,高田馬場３丁目,-,東京都新宿区高田馬場3-18-21,35.71488,139.6975905,戸塚第三,公立,幼稚園
新宿区,高田馬場３丁目,-,東京都新宿区高田馬場3-18-21,35.71488,139.6975905,戸塚第三,公立,小学校
新宿区,高田馬場３丁目,-,東京都新宿区高田馬場3-3-19,35.714025,139.7023515,専門学校ＥＳＰエンタテインメント東京,私立,専修学校
新宿区,高田馬場４丁目,-,東京都新宿区高田馬場4-23-23,35.709912,139.701438,東京国際大学付属日本語学校,私立,各種学校
新宿区,高田馬場４丁目,-,東京都新宿区高田馬場4-4-21,35.712648,139.701834,専修学校早稲田予備学校,私立,専修学校
新宿区,高田馬場４丁目,-,東京都新宿区高田馬場4-5-8,35.712963,139.703454,専門学校ミュージシャンズ・インスティテュート東京,私立,専修学校
港区,高輪１丁目,-,東京都港区高輪1-16-25,35.642043,139.734018,高松,公立,中学校
港区,高輪２丁目,-,東京都港区高輪2-12-31,35.635383,139.7352825,高輪,公立,幼稚園
港区,高輪２丁目,-,東京都港区高輪２－１－３２　　,35.638488,139.7366775,高輪高等学校,私立,高等学校（全日制）
港区,高輪２丁目,-,東京都港区高輪２－１－３２　　,35.638488,139.7366775,高輪中学校,私立,中学校
港区,高輪２丁目,-,東京都港区高輪２－２－１６,35.638128,139.735251,東海大学付属高輪台高等学校中等部,私立,中学校
港区,高輪２丁目,-,東京都港区高輪２－２－１６　　,35.638128,139.735251,東海大学付属高輪台高等学校,私立,高等学校（全日制）
港区,高輪２丁目,-,東京都港区高輪2-8-24,35.636337,139.734387,高輪台,公立,小学校
千代田区,麹町２丁目,-,東京都千代田区麹町2-8,35.685342,139.7397555,麹町,公立,幼稚園
千代田区,麹町２丁目,-,東京都千代田区麹町2-8,35.685342,139.7397555,麹町,公立,小学校
千代田区,麹町３丁目,-,東京都千代田区麹町３－８　　　,35.684937,139.739013,麴町学園女子高等学校,私立,高等学校（全日制）
千代田区,麹町３丁目,-,東京都千代田区麹町３－８　　　,35.684937,139.739013,麴町学園女子中学校,私立,中学校
新宿区,左門町,-,東京都新宿区左門町5,35.686467,139.7198115,新宿医療専門学校,私立,専修学校
渋谷区,桜丘町,-,東京都渋谷区桜丘町20-1,35.655237,139.7009025,日本柔道整復専門学校,私立,専修学校
渋谷区,桜丘町,-,東京都渋谷区桜丘町20-1 ,35.655237,139.7009025,日本鍼灸理療専門学校,私立,専修学校
渋谷区,桜丘町,-,東京都渋谷区桜丘町23-１8,35.655867,139.699827,専門学校ビジョナリーアーツ,私立,専修学校
渋谷区,桜丘町,-,東京都渋谷区桜丘町23-21渋谷区文化総合センター大和田9階,35.65548,139.699917,渋谷区医師会附属看護高等専修学校,私立,専修学校
渋谷区,桜丘町,-,東京都渋谷区桜丘町4-16,35.654562,139.703931,専門学校日本デザイナー学院                           ,私立,専修学校
渋谷区,桜丘町,-,東京都渋谷区桜丘町4-16,35.654562,139.703931,日本写真芸術専門学校,私立,専修学校
渋谷区,笹塚１丁目,-,東京都渋谷区笹塚1-28-6,35.672913,139.6669545,笹塚幼稚園,私立,幼稚園
渋谷区,笹塚２丁目,-,東京都渋谷区笹塚2-30-14,35.674137,139.662747,小鳩幼稚園,私立,幼稚園
