指標名,観光地,,,,,,,,
出典,Tripadvisor,,,,,,,,
年次,2020/3/10取得,,,,,,,,
URL,https://www.tripadvisor.jp/,,,,,,,,
備考,レビュー数やカテゴリでフィルターかけたほうがいい,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,星,レビュー数
新宿区,矢来町,-,東京都 新宿区 矢来町1-9,35.701857,139.7320515,矢来町秋葉神社,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3,3
新宿区,矢来町,-,東京都 新宿区 矢来町114,35.703918,139.734666,アユミギャラリー,"ショッピング, 美術館・博物館, アートギャラリー",3,1
新宿区,矢来町,-,東京都 新宿区 矢来町112 B1F,35.703909,139.735134,神楽坂 TRASH UP!!,"コンサート・ショー, シアター",-,0
中央区,明石町,-,東京都 中央区 明石町9,35.667324,139.777191,築地居留地跡,"名所・有名スポット, 旧跡",3,17
中央区,明石町,-,東京都 中央区 明石町9,35.667324,139.777191,蘭学事始地,"名所・有名スポット, 旧跡",3,15
中央区,明石町,-,東京都 中央区 明石町10,35.667747,139.775481,浅野内匠頭邸跡,"名所・有名スポット, 旧跡",3,15
中央区,明石町,-,東京都 中央区 明石町八丁目,35.666712,139.778703,明石町河岸公園,自然・公園,3.5,23
中央区,明石町,-,東京都 中央区 明石町8,35.666712,139.778703,指紋研究発祥の地,"名所・有名スポット, 記念碑 & 像",3.5,12
中央区,明石町,-,東京都 中央区 明石町8,35.666712,139.778703,ヘンリーフォールズ住居跡碑,"名所・有名スポット, 記念碑 & 像",3,1
中央区,明石町,-,東京都 中央区 明石町7,35.667702,139.7790855,明治学院発祥の地碑,"名所・有名スポット, 記念碑 & 像",3,4
中央区,明石町,-,東京都 中央区 明石町6-24,35.668431,139.779,青山学院記念の地碑,"名所・有名スポット, 記念碑 & 像, 旧跡",3,4
中央区,明石町,-,東京都 中央区 明石町6-23,35.668269,139.7787795,女子聖学院発祥の地,"名所・有名スポット, 記念碑 & 像, 旧跡",3.5,4
中央区,明石町,-,東京都 中央区 明石町5-26,35.668116,139.7769435,カトリック築地教会,"名所・有名スポット, 建築物, さらに表示",4,28
中央区,明石町,-,東京都 中央区 明石町5-26,35.668116,139.7769435,暁星学園発祥の地記念碑,"名所・有名スポット, 記念碑 & 像",3.5,4
中央区,明石町,-,東京都 中央区 明石町1-6,35.669331,139.7766465,雙葉学園発祥の地,"名所・有名スポット, 記念碑 & 像",3.5,4
中央区,明石町,-,東京都 中央区 明石町14-19,35.665227,139.7774745,運上所跡,"名所・有名スポット, 記念碑 & 像",3,8
中央区,明石町,-,東京都 中央区 明石町14,35.665371,139.77765,明石町 (聖路加ガーデン前) 船着場,"名所・有名スポット, 波止場・遊歩道",-,0
中央区,明石町,-,東京都 中央区 明石町1-3,35.669529,139.776111,交隆社,"ショッピング, 美術館・博物館, アートギャラリー",-,0
中央区,明石町,-,東京都 中央区 明石町13,35.665785,139.7773575,電信創業之地,"名所・有名スポット, 記念碑 & 像",3,12
中央区,明石町,-,東京都 中央区 明石町12-1 中央区保健所等複合施設6F,35.666622,139.776768,タイムドーム明石,"名所・有名スポット, 美術館・博物館, さらに表示",3.5,11
中央区,明石町,-,東京都 中央区 明石町12-1,35.666622,139.776768,都市型保健所発祥の地,"名所・有名スポット, 旧跡, 記念碑 & 像",-,0
中央区,明石町,-,東京都 中央区 明石町11-6,35.666955,139.7756925,立教女学院 築地居留地 校舎跡記念碑,"名所・有名スポット, 記念碑 & 像",3,6
中央区,明石町,-,東京都 中央区 明石町1-15,35.668863,139.7765565,ガス街灯柱 (中央区明石町),"名所・有名スポット, 記念碑 & 像, 旧跡",3.5,12
中央区,明石町,-,東京都 中央区 明石町11 三角地帯,35.667,139.7751615,江戸蘭学発祥の地,"名所・有名スポット, 記念碑 & 像, 旧跡",3,3
中央区,明石町,-,東京都 中央区 明石町11,35.666964,139.7756385,慶応義塾発祥の地,"名所・有名スポット, 記念碑 & 像",3.5,6
中央区,明石町,-,東京都 中央区 明石町10-2,35.667747,139.775481,築地川公園,"レジャー施設, 自然・公園, 遊び場",3.5,3
中央区,明石町,-,東京都 中央区 明石町10 聖路加国際大学敷地内,35.667747,139.775481,女子学院発祥の地,"名所・有名スポット, 記念碑 & 像",3,8
中央区,明石町,-,東京都 中央区 明石町10 聖路加国際大学構内,35.667747,139.775481,立教学院発祥の地,"名所・有名スポット, 記念碑 & 像",3,10
中央区,明石町,-,東京都 中央区 明石町10,35.667747,139.775481,トイスラー記念館,"名所・有名スポット, 旧跡",3.5,17
中央区,明石町,-,東京都 中央区 明石町10,35.667747,139.775481,芥川龍之介生誕の地,"名所・有名スポット, 旧跡",3,13
中央区,明石町,-,東京都 中央区 明石町8,35.666712,139.778703,アメリカ公使館跡,"名所・有名スポット, 旧跡",3,12
中央区,湊１丁目,-,東京都 中央区 湊1丁目1-2,35.673507,139.779657,桜川屋上公園,"自然・公園, 庭園",3,9
中央区,湊１丁目,-,東京都 中央区 湊1-6-7,35.672454,139.7797245,鉄砲洲稲荷神社,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",4,17
港区,麻布狸穴町,-,東京都 港区 麻布狸穴町63,35.65932639,139.7395666,狸穴公園,"レジャー施設, 自然・公園, 遊び場",3,9
港区,麻布狸穴町,-,東京都 港区 麻布狸穴町58,35.659386,139.739382,鼠坂,名所・有名スポット,3.5,3
港区,麻布台３丁目,-,東京都 港区 麻布台3-4-17,35.66016,139.738941,島崎藤村旧居跡,"名所・有名スポット, 旧跡",3,5
港区,麻布台３丁目,-,東京都 港区 麻布台3-4-12,35.660295,139.739076,アート､コア､ケイ,"美術館・博物館, ショッピング, アートギャラリー",-,0
港区,麻布台３丁目,-,東京都 港区 麻布台3-4,35.659845,139.738338,植木坂,"名所・有名スポット, 眺めのよい散策エリア",3,1
港区,麻布台２丁目,-,東京都 港区 麻布台2丁目2-14,35.658531,139.743063,飯倉熊野神社,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3,13
港区,麻布台１丁目,虎ノ門,東京都 港区 麻布台1-7-8,35.661132,139.742235,霊友会 釈迦殿,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3.5,10
港区,麻布台１丁目,虎ノ門,東京都 港区 麻布台1-7,35.660826,139.7419785,雁木坂,名所・有名スポット,2.5,5
港区,麻布台１丁目,虎ノ門,東京都 港区 麻布台1-6-19,35.660736,139.740444,旧逓信省貯金局,"名所・有名スポット, 建築物",3.5,5
港区,麻布台１丁目,虎ノ門,東京都 港区 麻布台1-6,35.660754,139.7407455,三年坂,"名所・有名スポット, 眺めのよい散策エリア",3,1
