指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2020/3/9取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ
港区,虎ノ門４丁目,虎ノ門,東京都港区虎ノ門4-1-3,35.664516,139.7457,葺城稲荷神社,神社
港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門5-10-14,35.661285,139.7426805,西久保八幡神社,神社
港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門5丁目9-3,35.662482,139.7431665,大養寺,寺院
渋谷区,広尾２丁目,-,東京都渋谷区広尾2-12-12,35.650071,139.7166885,広尾教会,教会
渋谷区,広尾２丁目,-,東京都渋谷区広尾2丁目1-7,35.652141,139.713723,日本聖公会東京教区 渋谷聖公会聖ミカエル教会,教会
渋谷区,広尾２丁目,-,東京都渋谷区広尾2丁目22-15,35.650818,139.718745,真如苑東京本部,寺院
渋谷区,広尾２丁目,-,東京都渋谷区広尾2丁目5-11,35.650611,139.714704,東北寺,寺院
渋谷区,広尾３丁目,-,東京都渋谷区広尾3丁目8-8,35.654859,139.716963,日本ユダヤ教団,教会
渋谷区,広尾５丁目,-,東京都渋谷区広尾5-1-21,35.649693,139.718637,香林院,寺院
渋谷区,広尾５丁目,-,東京都渋谷区広尾5-9-7,35.649225,139.7213235,21世紀キリスト教会 広尾チャペル,教会
渋谷区,広尾５丁目,-,東京都渋谷区広尾5丁目1-21,35.649693,139.718637,祥雲寺,寺院
渋谷区,広尾５丁目,-,東京都渋谷区広尾5丁目1-21,35.649693,139.718637,霊泉院,寺院
渋谷区,広尾５丁目,-,東京都渋谷区広尾5丁目2-29,35.650521,139.7201445,上宮寺,寺院
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-12-6,35.709075,139.707666,新宿諏訪神社,神社
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1丁目12-10,35.709039,139.70718,宗教法人玄國寺,寺院
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1丁目28-2,35.711451,139.7046285,ビサイドチャーチ東京,教会
新宿区,高田馬場３丁目,-,東京都新宿区高田馬場3-37-26,35.711064,139.694877,宗教法人観音寺,寺院
新宿区,高田馬場４丁目,-,東京都新宿区高田馬場4-29-30,35.711739,139.6983915,日之教教団本部,教会
港区,高輪１丁目,-,東京都港区高輪1-18-11,35.639721,139.733172,稲荷神社,神社
港区,高輪１丁目,-,東京都港区高輪1-22-17,35.638713,139.733136,天理教 大教会 本芝,教会
港区,高輪１丁目,-,東京都港区高輪1-27-18,35.636958,139.7329155,浄土宗 清凉山 松光寺,寺院
港区,高輪１丁目,-,東京都港区高輪1-27-21,35.636643,139.7330145,黄梅院,寺院
港区,高輪１丁目,-,東京都港区高輪1丁目23-28,35.638767,139.7322855,源昌寺,寺院
港区,高輪１丁目,-,東京都港区高輪1丁目23-3,35.639217,139.7327895,光台院,寺院
港区,高輪１丁目,-,東京都港区高輪1丁目27-22,35.6364,139.7328165,圓眞寺,寺院
港区,高輪１丁目,-,東京都港区高輪1丁目27-44,35.63721,139.731984,正満寺,寺院
港区,高輪１丁目,-,東京都港区高輪1丁目5-24,35.640981,139.73733,等覚寺,寺院
港区,高輪２丁目,-,東京都港区高輪2-11-1,35.637912,139.736439,泉岳寺,寺院
