指標名,食べログアワード受賞レストラン,,,,,,,,,,,,
出典,The Tabelog Award 2020,,,,,,,,,,,,
年次,2020年,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,
備考,一部レストランは食べログに住所掲載ないため手作業で住所入力,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,アワード追加,星数,夜予算,昼予算,URL
港区,白金６丁目,-,東京都港区白金6-5-3 さくら白金102,35.644428,139.7247075,アルゴリズム,フレンチ,Bronze,-,3.88,"￥20,000～￥29,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13213150/
港区,白金６丁目,-,東京都港区白金6-5-5 モリハウス 1F,35.644266,139.724505,私厨房 勇,中華料理,Bronze,-,4.06,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13168401/
港区,白金５丁目,-,東京都港区白金5-8-13 白金ハイツ 1F,35.64459,139.7265075,鮨 いまむら,寿司,Bronze,-,4.22,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13096905/
港区,白金４丁目,-,東京都港区白金4-1-7,35.644248,139.7267325,蓮香,中華料理,Bronze,-,3.95,"￥8,000～￥9,999",-,https://tabelog.com/tokyo/A1303/A130302/13190771/
港区,白金３丁目,-,東京都港区白金3-14-1 第１マンション １Ｆ,35.645355,139.7282625,炭焼 金竜山,焼肉・すき焼き・しゃぶしゃぶ,Bronze,-,4.42,"￥10,000～￥14,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13001625/
港区,白金３丁目,-,東京都港区白金3-14-10 ベルパラーゾシロカネ 1F,35.645211,139.7283615,ラ クレリエール,フレンチ,Bronze,-,4.07,"￥15,000～￥19,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13194179/
港区,白金３丁目,-,東京都港区白金3-2-2 パール白金 １Ｆ,35.646669,139.7310885,ラシェット・ブランシュ,フレンチ,Bronze,-,3.94,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13004471/
港区,白金１丁目,-,東京都港区白金1-15-36 1F,35.644797,139.7329245,Libre,フレンチ,Bronze,-,3.92,"￥10,000～￥14,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13222761/
港区,白金１丁目,-,東京都港区白金1-25-26 フィラージュ白金 1F,35.643915,139.7314665,アルシミスト,フレンチ,Bronze,-,4.08,"￥15,000～￥19,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13128454/
新宿区,納戸町,-,東京都新宿区納戸町22,35.698149,139.73256,ル・マンジュ・トゥー,フレンチ,Bronze,-,3.97,"￥20,000～￥29,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1303/A130302/13000469/
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2-22-11 井上ビル 1F,35.686296,139.784535,日本橋 蕎ノ字,天ぷら,Bronze,-,4.16,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13201969/
中央区,日本橋小舟町,-,東京都中央区日本橋小舟町11-11 Kビル 1F,35.687196,139.778559,おにく 花柳,焼肉・すき焼き・しゃぶしゃぶ,Bronze,-,4.19,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13028856/
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1 マンダリン オリエンタル 東京 37F,35.686935,139.7730555,センス,中華料理,Bronze,-,3.98,"￥15,000～￥19,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13020361/
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-3-1 コレド室町2 1F,35.686953,139.774824,ラ・ボンヌターブル,フレンチ,Bronze,-,4.02,"￥10,000～￥14,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1303/A130302/13166325/
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町1-9-4 井上第3ビル B1F,35.68509,139.775544,ラ ペ,フレンチ,Bronze,-,4.15,"￥15,000～￥19,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13173559/
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-33-6 ビューハイツ日本橋 B1F,35.681823,139.784994,日本橋蛎殻町 すぎた,寿司,Gold,-,4.8,"￥20,000～￥29,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1303/A130302/13018162/
中央区,日本橋３丁目,日八京,東京都中央区日本橋3-5-12 日本橋ＭＭビル Ｂ１Ｆ,35.679141,139.772826,西洋料理 島,ステーキ・鉄板焼き,Bronze,-,3.81,"￥20,000～￥29,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130302/13000495/
中央区,日本橋３丁目,日八京,東京都中央区日本橋3-8-13 華蓮日本橋ビル 1F,35.680284,139.7731455,ウェスタ,ステーキ・鉄板焼き,Bronze,-,4.46,"￥30,000～￥39,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1303/A130302/13185496/
新宿区,二十騎町,-,東京都新宿区二十騎町2-23 ランピオンイゴー 1F 102,35.698491,139.7311155,SECRETO,イノベーティブ・フュージョン,Bronze,-,3.95,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1303/A130302/13213559/
港区,南麻布４丁目,-,東京都港区南麻布4-11-35 インペリアル広尾 B101,35.646948,139.7263005,アッピア 本店,イタリアン,Bronze,-,3.86,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1303/A130302/13001593/
港区,南麻布４丁目,-,東京都港区南麻布4-12-2 ピュアーレ広尾 ２Ｆ,35.647281,139.7246445,インカント,イタリアン,Bronze,-,3.97,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1303/A130302/13043684/
港区,南麻布４丁目,-,東京都港区南麻布4-2-34 天現寺スクエア1F,35.648568,139.7234565,青草窠,日本料理,Bronze,-,3.86,"￥20,000～￥29,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130302/13090635/
港区,南麻布４丁目,-,東京都港区南麻布4-5-66,35.651079,139.7236725,長谷川 稔,イノベーティブ・フュージョン,Silver,-,4.67,"￥50,000～￥59,999","￥50,000～￥59,999",https://tabelog.com/tokyo/A1303/A130302/13220575/
港区,南麻布４丁目,-,東京都港区南麻布4-7-5,35.649567,139.72833,茶禅華,中華料理,Silver,-,4.49,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1303/A130302/13205298/
港区,南麻布２丁目,-,東京都港区南麻布2-10-13 OJハウス 101,35.647992,139.735872,いちかわ,寿司,Bronze,-,3.96,"￥30,000～￥39,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1303/A130302/13210722/
港区,南麻布１丁目,-,東京都港区南麻布1-7-31 Ｍ ＴＯＷＥＲ 2Ｆ,35.651187,139.7371005,カーザ ヴィニタリア,イタリアン,Bronze,-,3.88,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13010456/
港区,南青山７丁目,-,東京都港区南青山7-10-10 パークアクシス南青山7丁目 1F,35.658864,139.718655,4000 Chinese Restaurant,中華料理,Bronze,-,4.3,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13229559/
港区,南青山７丁目,-,東京都港区南青山7-11-5 HOUSE7115 B1F,35.658612,139.7186685,イル テアトリーノ ダ サローネ,イタリアン,Bronze,-,4.06,"￥15,000～￥19,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13110652/
港区,南青山７丁目,-,東京都港区南青山7-12-12 ムジカーサ南青山 1F,35.657811,139.7184075,リストランテ ペガソ,イタリアン,Bronze,-,3.92,"￥10,000～￥14,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1303/A130302/13152248/
港区,南青山７丁目,-,東京都港区南青山7-13-13 フォレストビル B1F,35.657064,139.718097,南青山 七鳥目,焼鳥・鳥料理,Bronze,-,4.07,"￥8,000～￥9,999",-,https://tabelog.com/tokyo/A1303/A130302/13200559/
港区,南青山６丁目,-,東京都港区南青山6-4-6 青山ＡＬＬＥＹ 1F,35.661411,139.7165355,プリズマ,イタリアン,Bronze,-,4.11,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13123890/
港区,南青山６丁目,-,東京都港区南青山6-6-22 ルナロッサ Ｂ１Ｆ,35.660466,139.7176335,よろにく,焼肉・すき焼き・しゃぶしゃぶ,Silver,-,3.9,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13042979/
港区,南青山５丁目,-,東京都港区南青山5-5-25 Ｔ－ＰＬＡＣＥ Ｂ１Ｆ,35.663571,139.7133495,リストランテ･ヒロ 青山,イタリアン,Bronze,-,3.84,"￥15,000～￥19,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13002025/
港区,南青山４丁目,-,東京都港区南青山4-11-13,35.665695,139.7175975,リストランテ 濱崎,イタリアン,Bronze,-,4.04,"￥20,000～￥29,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130302/13005340/
港区,南青山４丁目,-,東京都港区南青山4-1-15 アルテカ・ベルテプラザ B1Ｆ,35.666703,139.7199465,アカーチェ,イタリアン,Bronze,-,3.79,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13001944/
港区,南青山４丁目,-,東京都港区南青山4-26-12 ボ・アード青山 B１Ｆ,35.662194,139.718313,御料理 宮坂,日本料理,Silver,-,4.57,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1303/A130302/13184986/
港区,南青山４丁目,-,東京都港区南青山4-3-23 オリエンタル南青山 201,35.666118,139.720194,オルグイユ,フレンチ,Bronze,-,3.94,"￥20,000～￥29,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130302/13192399/
港区,南青山３丁目,-,東京都港区南青山3-10-40 フィオラ南青山ビル 2F,35.666478,139.7142495,ミモザ,中華料理,Bronze,-,3.99,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13197047/
港区,南青山３丁目,-,東京都港区南青山3-2-4 セントラルNo6B-A,35.667819,139.717224,天ぷら 元吉,天ぷら,Bronze,-,4.11,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1303/A130302/13035758/
港区,南青山３丁目,-,東京都港区南青山3-2-8 三南ビル １Ｆ,35.667639,139.717908,海味,寿司,Bronze,-,4.37,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13001179/
港区,南青山３丁目,-,東京都港区南青山3-4-6 AOYAMA346 101,35.667252,139.7172195,いち太,日本料理,Bronze,-,4.21,"￥20,000～￥29,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1303/A130302/13176396/
港区,南青山３丁目,-,東京都港区南青山3-6-7 b-town 1F,35.665938,139.7164725,ルメルシマン オカモト,フレンチ,Bronze,-,3.86,"￥10,000～￥14,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13145384/
港区,南青山２丁目,-,東京都港区南青山2-13-7 マトリス 1F,35.670681,139.720392,プレヴナンス,フレンチ,Bronze,-,3.9,"￥15,000～￥19,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130302/13162493/
港区,南青山２丁目,-,東京都港区南青山2-14-14 南青山KFKビル B1F,35.670051,139.7203605,L'EAU,フレンチ,Bronze,-,3.99,"￥15,000～￥19,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130302/13228902/
港区,南青山２丁目,-,東京都港区南青山2-2-15 ウィン青山 1F,35.671518,139.723821,匠 進吾,寿司,Bronze,-,4.09,"￥20,000～￥29,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1303/A130302/13155925/
港区,南青山２丁目,-,東京都港区南青山2-6-15,35.671347,139.721976,NARISAWA,創作料理,Silver,-,4.36,"￥30,000～￥39,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1303/A130302/13005423/
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1 帝国ホテル東京 本館 中2F,35.672256,139.7583495,レ セゾン,フレンチ,Bronze,-,4.15,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13002294/
港区,東麻布３丁目,-,東京都港区東麻布3-7-5,35.656254,139.7385315,中国飯店 富麗華,中華料理,Silver,-,4.17,"￥20,000～￥29,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130302/13004967/
港区,東麻布１丁目,-,東京都港区東麻布1-7-9 ザ・ソノビル 102,35.657334,139.7434815,東麻布 天本,寿司,Gold,-,4.64,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1303/A130302/13196420/
新宿区,東五軒町,-,東京都新宿区東五軒町5-5,35.706339,139.7397555,紀茂登,日本料理,Silver,Best New Entry,4.56,"￥50,000～￥59,999",-,https://tabelog.com/tokyo/A1303/A130302/13226856/
中央区,築地３丁目,-,東京都中央区築地3-16-9 アーバンメイツビル B1F,35.666208,139.7713275,清壽,天ぷら,Bronze,-,3.87,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13058904/
中央区,築地１丁目,-,東京都中央区築地1-5-8 樋泉ビル 1F,35.669988,139.7714895,東京チャイニーズ 一凛,中華料理,Bronze,-,3.88,"￥8,000～￥9,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1303/A130302/13153417/
新宿区,大久保１丁目,-,東京都新宿区大久保1-12-3 カーサ第二新宿 1F,35.6985,139.7034585,東京肉しゃぶ家,焼肉・すき焼き・しゃぶしゃぶ,Bronze,-,3.99,"￥15,000～￥19,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13196268/
渋谷区,代々木４丁目,-,東京都渋谷区代々木4-22-17 クイーンズ代々木 1F,35.680905,139.6910745,ボニュ,フレンチ,Silver,-,4.56,"￥30,000～￥39,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1303/A130302/13184186/
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-6-5,35.687817,139.6988325,鳥茂,居酒屋,Silver,-,4.1,"￥8,000～￥9,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13001067/
渋谷区,代官山町,-,東京都渋谷区代官山町12-16 シンフォニー代官山 102,35.650674,139.703625,ARMONICO,イタリアン,Bronze,-,4.06,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13156479/
渋谷区,千駄ケ谷３丁目,-,東京都渋谷区千駄ヶ谷3-17-12 カミムラビル 1F,35.675937,139.708035,Convivio,イタリアン,Bronze,-,3.89,"￥15,000～￥19,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13149817/
渋谷区,千駄ケ谷３丁目,-,東京都渋谷区千駄ヶ谷3-30-9 モデリアブリュット 101,35.677593,139.707711,L'Octave Hayato KOBAYASHI,フレンチ,Bronze,-,4.21,"￥10,000～￥14,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13186978/
渋谷区,千駄ケ谷３丁目,-,東京都渋谷区千駄ヶ谷3-7-13 原宿東急アパートメントＢ１,35.676846,139.7042865,sincere,フレンチ,Bronze,-,3.94,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1303/A130302/13194253/
港区,赤坂９丁目,六本木,東京都港区赤坂9-1-7 赤坂レジデンシャルホテル １Ｆ,35.668485,139.73256,うなぎ 赤坂 勢きね,うなぎ,Bronze,-,3.76,"￥10,000～￥14,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1303/A130302/13039787/
港区,赤坂７丁目,赤坂,東京都港区赤坂7-5-34 インペリアル赤坂フォーラム 1Ｆ,35.671176,139.7303685,ライラ,フレンチ,Bronze,-,3.9,"￥15,000～￥19,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13156381/
港区,赤坂７丁目,赤坂,東京都港区赤坂7-6-52 ハイツ赤坂111,35.670132,139.73076,赤坂 互閃,日本料理,Bronze,-,3.61,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13205840/
港区,赤坂６丁目,赤坂,東京都港区赤坂6-13-8,35.669952,139.734036,赤坂 菊乃井,日本料理,Bronze,-,4.03,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13002514/
港区,赤坂５丁目,赤坂,東京都港区赤坂5-5-11 赤坂通り50番ビルB1,35.670483,139.734045,中華 うずまき,中華料理,Bronze,-,3.84,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13053284/
港区,赤坂４丁目,赤坂,東京都港区赤坂4-2-2 赤坂鳳月堂本店ビル 2F,35.676063,139.7355975,すし匠 齋藤,寿司,Bronze,-,4.31,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1303/A130302/13023988/
港区,赤坂４丁目,赤坂,東京都港区赤坂4-3-9 赤坂藤マンション1F,35.674209,139.7358765,FURUYA augastronome,フレンチ,Bronze,-,3.89,"￥15,000～￥19,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13188159/
港区,赤坂３丁目,赤坂,東京都港区赤坂３丁目２１−6,35.676666,139.736079,もりかわ,日本料理,Bronze,-,4.11,"￥50,000～￥59,999",-,https://tabelog.com/tokyo/A1303/A130302/13002772/
