指標名,保育園,,,認可保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/shisetsuitiran.html,,,,
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,
年次,2020/3/11取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,
URL,複数あり、右に記載,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,
備考,,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,定員備考
渋谷区,幡ケ谷３丁目,-,東京都渋谷区幡ヶ谷３－４－１,35.679789,139.67595,幡ヶ谷第二保育園,認可,75,
渋谷区,幡ケ谷３丁目,-,東京都渋谷区幡ヶ谷3-49-1中幡小学校内,35.680752,139.673313,渋谷区立のぞみ保育室,認可外,33,
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷2-17-15,35.677539,139.675257,カナリー保育園,認可外,29,
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷２－４２－１５,35.678106,139.6743795,まなびの森保育園幡ヶ谷,認可,102,
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷２－５６－６,35.67789,139.671621,幡ヶ谷第三保育園,認可,73,
港区,白金台５丁目,-,東京都港区白金台5－13－28  白金台102号,35.637678,139.722498,Ａｙｌａ  Ｉｎｔｅｒｎａｔｉｏｎａｌ  Ｓｃｈｏｏｌ（ｱｲﾗ ｲﾝﾀｰﾅｼｮﾅﾙｽｸｰﾙ）,認可外,30,
港区,白金台５丁目,-,東京都港区白金台5-13-29  矢島マンション1Ｆ,35.63766,139.722336,はっぴっぴ！白金台園,認可外,12,
港区,白金台５丁目,-,東京都港区白金台5-13-39,35.638812,139.722192,Ｋ space,認可外,123,
港区,白金台５丁目,-,東京都港区白金台５－１５－５  ユーネックストウワインデール２階,35.638011,139.722912,ズー・フォニックス・アカデミー白金校,認可外,,
港区,白金台５丁目,-,東京都港区白金台5－17－1,35.637642,139.723362,HS Care,認可外,20,
港区,白金台５丁目,-,東京都港区白金台5－17－1,35.637642,139.723362,Hayama International School Shirokane,認可外,6,
港区,白金台４丁目,-,東京都港区白金台4-10-8,35.637606,139.724109,ファミリアプリスクール,認可外,60,
港区,白金台４丁目,-,東京都港区白金台4-6-1,35.639883,139.7251395,東大白金ひまわり保育園,認可外,15,
港区,白金台４丁目,-,東京都港区白金台４－６－２,35.639145,139.7267685,みなと保育サポート白金台,認可外,20,
港区,白金台４丁目,-,東京都港区白金台4丁目8番16号ダリアコート白金台1階101号室,35.637579,139.7247435,ポピンズナーサリースクール白金台,認証A,30,
港区,白金台３丁目,-,東京都港区白金台3-16-8  クレール白金台2F,35.636157,139.723245,キッズインターナショナル白金台,認可外,51,
港区,白金台３丁目,-,東京都港区白金台3-4-17,35.635797,139.7275515,ローラスインターナショナルスクールオブサイエンス,認可外,80,
港区,白金台３丁目,-,東京都港区白金台三丁目15番6号2階,35.636499,139.7242845,コンビプラザ白金台保育園,認証A,50,
港区,白金台２丁目,-,東京都港区白金台２－１１－３,35.633196,139.7306925,えほんのもり白金台保育園,認可,21,
