指標名,ホテル,,,,,,,,
出典,Hotels.com,,,,,,,,
年次,GPCI2021,,,,,,,,
URL,https://hotels.com/,,,,,,,,
備考,GPCI-2020：1332軒　GPCI-2021：1649軒,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,室数,ホテルURL
品川区,二葉１丁目,-,"Tokyo Osakaya Mansion 203, Tokyo, 142-0043, Tokyo, Japan",35.607841,139.729036,Osakaya Mansion 203,3,1,https://www.hotels.com/ho1715587360
品川区,南大井４丁目,-,"Tokyo 305 Minamioi Terazawa Building, Tokyo, 140-0013, Tokyo, Japan",35.592966,139.734547,Terasawa Minamioi Building 305,3,1,https://www.hotels.com/ho1715587552
品川区,南大井４丁目,-,"Tokyo 202 Minamioi Terazawa Building, Tokyo, 140-0013, Tokyo, Japan",35.592966,139.734547,Terasawa Minamioi Building 202,3,1,https://www.hotels.com/ho1715587520
品川区,東中延２丁目,-,"2-3-15 Higashinakanobu, Tokyo, 142-0052, Tokyo, Japan",35.608557,139.713236,Shinagawa Wisteria Residence,3,1,https://www.hotels.com/ho1342021568
品川区,東五反田１丁目,-,"1-17-1 Higashigotanda, Tokyo, 141-0022, Tokyo-to, Japan",35.626906,139.725740,Global Cabin Tokyo Gotanda,3,93,https://www.hotels.com/ho610629
品川区,戸越１丁目,-,"1-15-17 Togoshi, Tokyo, 142-0041, Tokyo, Japan",35.615281,139.717289,APA Hotel Shinagawa Togoshiekimae,3,103,https://www.hotels.com/ho1909719200
品川区,豊町２丁目,-,"2-23-4 Yutakacho, Tokyo, 142-0042, Tokyo, Japan",35.609139,139.723302,Shinagawa House -Ryo-,3,1,https://www.hotels.com/ho1344938528
品川区,大崎２丁目,-,"2-1-3 Osaki Shinagawa-ku, Tokyo, 141-0032, Tokyo-to, Japan",35.618226,139.726422,Daiwa Roynet Hotel Tokyo Osaki,3,194,https://www.hotels.com/ho267065
品川区,東中延１丁目,-,"1-5-7 Higashinakanobu, Tokyo, 142-0052, Tokyo, Japan",35.610577,139.714585,Plum Ark Oriental Hotel 205,3,1,https://www.hotels.com/ho1353237696
品川区,南大井３丁目,-,"Minamioui, Tokyo, 140-0013, Tokyo, Japan",35.588190,139.733100,GOETHE HOTEL - Adult Only,3,11,https://www.hotels.com/ho804969088
品川区,大井４丁目,-,"4-3-1 Oi, Tokyo, 1400014, Tokyo-to, Japan",35.604416,139.734155,Via Inn Tokyo Oimachi,3,509,https://www.hotels.com/ho612515
品川区,南大井３丁目,-,"3-32-1 Minami Oi, Tokyo, 140-0013, Tokyo, Japan",35.587277,139.735187,KEIKYU EX INN OMORI KAIGAN-STATION,3,105,https://www.hotels.com/ho926968736
