指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2022/1/26取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,2020年度：645件、2021年度：679件,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間・備考
江東区,東陽６丁目,-,東京都江東区東陽6-3-2,35.674373,139.815557,H1-43.東京イースト21 / Tokyo East 21,-, 24時間 / Open for 24 hours
江東区,豊洲６丁目,-,東京都江東区豊洲6-2-15,35.648061,139.790426,H1-44.テプコ豊洲ビル / TEPCO TOYOSU Bldg.,-, 24時間 / Open for 24 hours
江東区,夢の島１丁目,-,東京都江東区夢の島1-1-2,35.647490,139.822643,H1-45.夢の島競技場 / Yumenoshima Stadium,-, 24時間 / Open for 24 hours
江東区,枝川２丁目,-,東京都江東区枝川2-2-8,35.659177,139.807264,H1-46.セブン-イレブン 江東枝川2丁目店 / Seven-Eleven Koto Edagawa 2-Chome store,-, 24時間 / Open for 24 hours
江東区,南砂６丁目,-,東京都江東区南砂6-7-15,35.671790,139.835519,H1-47.トピレックプラザ / TOPYREC PLAZA,-, 24時間 / Open for 24 hours
江東区,潮見２丁目,-,東京都江東区潮見2-3-10,35.657355,139.816177,H1-48.セブン-イレブン 江東潮見２丁目店 / Seven-Eleven Koto Shiomi 2-Chome store,-, 24時間 / Open for 24 hours
江東区,新砂３丁目,-,東京都江東区新砂3-3-53,35.667988,139.831458,H1-49.セブン-イレブン 江東新砂3丁目店 / Seven-Eleven Koto Shinsuna 3-Chome store,-, 24時間 / Open for 24 hours
江東区,豊洲２丁目,-,東京都江東区豊洲2-2,35.654394,139.794795,"H1-50.豊洲交通広場北 / Toyosu Transportation Square
North",-, 24時間 / Open for 24 hours
江東区,豊洲２丁目,-,東京都江東区豊洲2-2,35.654394,139.794795,"H1-51.豊洲交通広場東 / Toyosu Transportation Square
East",-, 24時間 / Open for 24 hours
江東区,辰巳１丁目,-,東京都江東区辰巳1-1-44,35.645890,139.808900,H1-52.辰巳駅 / Tatsumi station,-, 24時間 / Open for 24 hours
