指標名,バス停,,,,,NAVITIMEの検索区分ではなく、緯度経度情報をもとに位置情報を掲載。,,,,,,,,
出典,NAVITIME,,,,,昨年度から名称が変更されたバス停がある,,,,,,,,
年次,2022/2/3取得,,,,,例：「高齢者ケアセンター」→「かんなみの杜・渋谷」,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,　　「東品川シルバーセンター前」→「東品川ゆうゆうプラザ前」,,,,,,,,
備考,路線ごとに1データあるので、エリアごとのバス停の数が知りたい場合は「1÷路線数」を合計する。,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面１,方面URL1,方面２,方面ULR２
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目７－２１　,35.66315,139.80822,塩浜東,4,0.250,陽１２-３,[都営バス],東京テレポート駅前方面,https://www.navitime.co.jp/diagram/bus/00017824/00004393/1/,東陽町駅前方面,https://www.navitime.co.jp/diagram/bus/00017824/00004393/0/
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目７－２１　,35.66315,139.80822,塩浜東,4,0.250,錦１３(晴海埠頭-錦糸町駅前),[都営バス],錦糸町駅前方面,https://www.navitime.co.jp/diagram/bus/00017824/00004307/1/,晴海埠頭方面,https://www.navitime.co.jp/diagram/bus/00017824/00004307/0/
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目８　,35.66351,139.80540,塩浜橋(東京都),1,1.000,業１０(新橋-とうきょうスカイツリー駅前),[都営バス],とうきょうスカイツリー駅前方面,https://www.navitime.co.jp/diagram/bus/00016911/00004215/1/,新橋（東京都）方面,https://www.navitime.co.jp/diagram/bus/00016911/00004215/0/
江東区,海の森２丁目,-,東京都江東区海の森２丁目　,35.59876,139.79917,環境局中防合同庁舎前,1,1.000,波０１,[都営バス],中央防波堤方面,https://www.navitime.co.jp/diagram/bus/00018254/00004228/1/,東京テレポート駅前方面,https://www.navitime.co.jp/diagram/bus/00018254/00004228/0/
江東区,海の森２丁目,-,東京都江東区海の森２丁目　,35.60088,139.79730,中央防波堤,1,1.000,波０１,[都営バス],東京テレポート駅前方面,https://www.navitime.co.jp/diagram/bus/00018255/00004228/0/,-,-
江東区,亀戸１丁目,-,東京都江東区亀戸１丁目７　,35.69633,139.82095,亀戸一丁目,9,0.111,両２８,[都営バス],葛西橋/第六葛西小学校前方面,https://www.navitime.co.jp/diagram/bus/00017987/00004104/1/,両国駅前方面,https://www.navitime.co.jp/diagram/bus/00017987/00004104/0/
江東区,亀戸１丁目,-,東京都江東区亀戸１丁目７　,35.69633,139.82095,亀戸一丁目,9,0.111,錦１１,[都営バス],築地駅前方面,https://www.navitime.co.jp/diagram/bus/00017987/00004306/1/,亀戸駅前方面,https://www.navitime.co.jp/diagram/bus/00017987/00004306/0/
江東区,亀戸１丁目,-,東京都江東区亀戸１丁目７　,35.69633,139.82095,亀戸一丁目,9,0.111,錦２５,[都営バス],錦糸町駅前方面,https://www.navitime.co.jp/diagram/bus/00017987/00004312/1/,葛西駅前方面,https://www.navitime.co.jp/diagram/bus/00017987/00004312/0/
江東区,亀戸１丁目,-,東京都江東区亀戸１丁目７　,35.69633,139.82095,亀戸一丁目,9,0.111,急行０５,[都営バス],日本科学未来館方面,https://www.navitime.co.jp/diagram/bus/00017987/00004155/1/,錦糸町駅前方面,https://www.navitime.co.jp/diagram/bus/00017987/00004155/0/
江東区,亀戸１丁目,-,東京都江東区亀戸１丁目７　,35.69633,139.82095,亀戸一丁目,9,0.111,都０７,[都営バス],門前仲町（バス）方面,https://www.navitime.co.jp/diagram/bus/00017987/00004299/1/,錦糸町駅前方面,https://www.navitime.co.jp/diagram/bus/00017987/00004299/0/
