指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,,
出典,The Tabelog Award 2021,,,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,,
備考,（2019年度：275件、2020年度：208件、2021年度：211件）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,初選出,星数,口コミ数,夜予算,昼予算,備考,URL
中央区,銀座５丁目,-,東京都中央区銀座5-4-6 ロイヤルクリスタル銀座 9Ｆ,35.671711,139.7633,エスキス（ESqUISSE）,フレンチ、モダンフレンチ,SILVER,,4.36,485 件,"￥30,000～￥39,999","￥15,000～￥19,999",,https://tabelog.com/tokyo/A1301/A130101/13142530/
港区,西麻布３丁目,-,東京都港区西麻布3-1-15 RFビルB1F,35.660116,139.726618,江戸前鮓 すし通（すしつう）,寿司、魚介料理・海鮮料理,BRONZE,,3.79,291 件,"￥20,000～￥29,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1307/A130701/13061640/
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿4-11-12,35.645093,139.714372,恵比寿 くろいわ,懐石・会席料理,BRONZE,,3.85,53 件,"￥20,000～￥29,999","￥15,000～￥19,999",,https://tabelog.com/tokyo/A1303/A130302/13186582/
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿1-11-5 GEMS恵比寿 8F,35.646368,139.71172,蕃 YORONIKU（えびす よろにく）,焼肉、ホルモン、牛料理,SILVER,,4.39,530 件,"￥10,000～￥14,999",,,https://tabelog.com/tokyo/A1303/A130302/13211927/
新宿区,荒木町,-,東京都新宿区荒木町7-13 森戸ビル 1Ｆ,35.689235,139.722125,オオクサ（OHKUSA）,焼鳥,BRONZE,,4.25,118 件,"￥8,000～￥9,999",,,https://tabelog.com/tokyo/A1309/A130903/13240980/
中央区,日本橋小舟町,-,東京都中央区日本橋小舟町11-11 Kビル 1F,35.687201,139.778574,おにく 花柳,牛料理、焼肉、炭火焼き,BRONZE,,4.02,306 件,"￥20,000～￥29,999",,【旧店名】和牛銘菜　然,https://tabelog.com/tokyo/A1302/A130204/13028856/
港区,南青山４丁目,-,東京都港区南青山4-26-12 ボ・アード青山 B１Ｆ,35.662188,139.718302,御料理 宮坂,懐石・会席料理、割烹・小料理、京料理,SILVER,,4.44,130 件,"￥30,000～￥39,999",,【掲載保留】休業期間が未確定、移転・閉店の事実確認ができない,https://tabelog.com/tokyo/A1306/A130602/13184986/
渋谷区,広尾５丁目,-,東京都渋谷区広尾5-1-32 ST広尾 2F,35.64917,139.718997,Ode（オード）,フレンチ,BRONZE,,3.92,246 件,"￥15,000～￥19,999","￥8,000～￥9,999",,https://tabelog.com/tokyo/A1307/A130703/13213368/
港区,西麻布１丁目,-,東京都港区西麻布1-4-44 シグマ西麻布Ⅱ１Ｆ,35.661866,139.725109,海鮮名菜　香宮（シャングウ）,中華料理、広東料理,BRONZE,,3.87,153 件,"￥20,000～￥29,999","￥5,000～￥5,999",【閉店】,https://tabelog.com/tokyo/A1307/A130701/13132399/
港区,南麻布４丁目,-,東京都港区南麻布4-5-66 2F,35.651092,139.723707,薫 HIROO,イノベーティブ・フュージョン、モダンフレンチ、イタリアン,BRONZE,,4.15,59 件,"￥40,000～￥49,999","￥40,000～￥49,999",,https://tabelog.com/tokyo/A1307/A130703/13238442/
