指標名,駅,,,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,,,
年次,2022/2/7取得,,,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,,,
備考,新幹線駅除く。,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,緯度,経度,乗降客数（2019年度）,駅コード（路線別）,駅コード（路線不問）
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町二丁目9,35.675441,139.763806,有楽町,山手線,東日本旅客鉄道株式会社,35.675441,139.763806,データなし,1130225,1130225
江東区,有明３丁目,-,東京都江東区有明２－５,35.63012,139.79212,有明,東京臨海新交通臨海線,ゆりかもめ,35.634596,139.793269,"5,818",9931112,9931112
江東区,有明１丁目,-,東京都江東区有明１丁目,35.63980,139.78934,有明テニスの森,東京臨海新交通臨海線,ゆりかもめ,35.639964,139.78888,"5,022",9931113,9931113
新宿区,上落合２丁目,-,東京都新宿区上落合２－１３－７,35.71127,139.68678,落合,東西線,東京地下鉄,35.710976,139.687284,"27,490",2800402,2800402
新宿区,西落合３丁目,-,東京都新宿区西落合３－１－１８,35.72412,139.67875,落合南長崎,大江戸線,東京都,35.723608,139.683303,"28,212",9930133,9930133
品川区,東大井２丁目,-,東京都品川区東大井２－２３－１,35.60024,139.74038,立会川,京急本線,京浜急行電鉄,35.598489,139.738886,"19,337",2700107,2700107
港区,赤坂２丁目,赤坂,東京都千代田区永田町２－１１－１,35.67079,139.74006,溜池山王,銀座線,東京地下鉄,35.673621,139.741419,"116,255",2800114,2800114
港区,赤坂２丁目,赤坂,東京都千代田区永田町２－１１－１,35.67079,139.74006,溜池山王,南北線,東京地下鉄,35.673621,139.741419,データなし,2800914,2800114
港区,六本木７丁目,六本木,東京都港区六本木６－１－２５,35.66418,139.72778,六本木,日比谷線,東京地下鉄,35.662836,139.731443,"133,164",2800318,2800318
港区,六本木７丁目,六本木,東京都港区六本木６－１－２５,35.66418,139.72778,六本木,大江戸線,東京都,35.663921,139.731567,"98,539",9930124,2800318
港区,六本木１丁目,虎ノ門,東京都港区六本木１－４－１,35.66504,139.74079,六本木一丁目,南北線,東京地下鉄,35.665595,139.739,"88,958",2800915,2800915
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門一丁目22-12,35.667444,139.747778,虎ノ門ヒルズ,日比谷線,東京地下鉄株式会社,35.667444,139.747778,データなし,2800322,2800113
