指標名,駅,,,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,,,
年次,2022/2/7取得,,,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,,,
備考,新幹線駅除く。,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,緯度,経度,乗降客数（2019年度）,駅コード（路線別）,駅コード（路線不問）
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町１１－１,35.69132,139.77855,小伝馬町,日比谷線,東京地下鉄,35.690737,139.778433,"41,132",2800308,2800308
新宿区,信濃町,-,東京都新宿区信濃町,35.68207,139.71982,信濃町,中央線,東日本旅客鉄道,35.680031,139.720729,"52,516",1131313,1131313
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋一丁目５－１３,35.66304,139.76046,新橋,東京臨海新交通臨海線,ゆりかもめ,35.665503,139.759644,"63,123",9931101,1130102
港区,新橋１丁目,虎ノ門広域,東京都港区新橋二丁目１７－５,35.66804,139.75803,新橋,銀座線,東京地下鉄,35.667434,139.758432,"247,103",2800112,1130102
港区,新橋２丁目,虎ノ門広域,東京都港区新橋二丁目17,35.666195,139.758587,新橋,ＪＲ京浜東北・根岸線,東日本旅客鉄道株式会社,35.666195,139.758587,データなし,1133224,1130102
港区,新橋２丁目,虎ノ門広域,東京都港区新橋二丁目17,35.666195,139.758587,新橋,山手線,東日本旅客鉄道株式会社,35.666195,139.758587,"542,056",1130226,1130102
港区,東新橋１丁目,虎ノ門広域,東京都港区新橋二丁目２１－１,35.66304,139.76046,新橋,浅草線,東京都,35.665577,139.759451,"100,183",9930210,1130102
港区,新橋２丁目,虎ノ門広域,東京都港区新橋二丁目１７,35.66691,139.75712,新橋,東海道線,東日本旅客鉄道,35.666195,139.758587,"563,942",1130102,1130102
港区,新橋２丁目,虎ノ門広域,東京都港区新橋二丁目１７,35.66691,139.75712,新橋,横須賀線,東日本旅客鉄道,35.666195,139.758587,データなし,1130102,1130102
千代田区,神田駿河台３丁目,-,東京都千代田区神田駿河台３丁目,35.69691,139.76482,新御茶ノ水,千代田線,東京地下鉄,35.698072,139.766014,"96,949",2800509,1131203
