指標名,コンビニ,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2022/2/2取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2020年度：2,130件、2021年度：2342件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,,区,軒数,セブン,ローソン,ファミリーマート,その他
江東区,猿江２丁目,-,東京都江東区猿江2-11-8,35.68711,139.815619,ローソン・スリーエフ 江東猿江店,,,,,,,
品川区,戸越４丁目,-,東京都品川区戸越4-3-28,35.612827,139.719317,ローソン・スリーエフ 戸越四丁目北店,,,,,,,
品川区,戸越３丁目,-,東京都品川区戸越3-1-18,35.615171,139.716856,ローソン・スリーエフ 戸越銀座店,,,,,,,
港区,六本木３丁目,六本木,東京都港区六本木3-17-10,35.661789,139.7369,ローソン 六本木三丁目店,,,,,,,
港区,赤坂２丁目,赤坂,東京都港区赤坂2-3-7先 溜池山王駅構内,35.671104,139.741847,ローソン 溜池山王メトロピア店,,,,,,,
江東区,有明３丁目,-,東京都江東区有明3-7-18,35.632058,139.793702,ローソン 有明セントラルタワー店,,,,,,,
江東区,有明１丁目,-,東京都江東区有明1-3-19,35.638551,139.790599,ローソン 有明コロシアム前店,,,,,,,
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-7-1,35.674507,139.761478,ローソン 有楽町一丁目店,,,,,,,
江東区,木場２丁目,-,東京都江東区木場2-8-3,35.669906,139.802633,ローソン 木場二丁目店,,,,,,,
江東区,木場３丁目,-,東京都江東区木場3-18-14,35.672628,139.806167,ローソン 木場公園店,,,,,,,
千代田区,外神田６丁目,-,東京都千代田区外神田6-14-2,35.703271,139.771429,ローソン 末広町駅前店,,,,,,,
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-7-8,35.661125,139.742214,ローソン 麻布台一丁目店,,,,,,,
港区,麻布十番３丁目,-,東京都港区麻布十番3-1-4-101,35.653404,139.736417,ローソン 麻布十番店,,,,,,,
港区,麻布十番１丁目,-,東京都港区麻布十番1-10-3,35.656239,139.736295,ローソン 麻布十番一丁目店,,,,,,,
港区,三田２丁目,-,東京都港区三田2-21-13,35.648543,139.7378,ローソン 麻布三ノ橋店,,,,,,,
江東区,亀戸１丁目,-,東京都江東区亀戸1-4-2,35.694403,139.820346,ローソン 墨東病院東店,,,,,,,
品川区,北品川１丁目,-,東京都品川区北品川1-13-7,35.624371,139.743112,ローソン 北品川一丁目店,,,,,,,
港区,北青山３丁目,-,東京都港区北青山3-6-19,35.66456,139.711608,ローソン 北青山三丁目店,,,,,,,
新宿区,北新宿１丁目,-,東京都新宿区北新宿1-29-10,35.701611,139.690789,ローソン 北新宿一丁目店,,,,,,,
渋谷区,千駄ケ谷４丁目,-,東京都渋谷区千駄ヶ谷4-3-1,35.679378,139.704472,ローソン 北参道駅前店,,,,,,,
江東区,豊洲１丁目,-,東京都江東区豊洲1-2-39,35.660074,139.792401,ローソン 豊洲一丁目店,,,,,,,
江東区,豊洲３丁目,-,東京都江東区豊洲3-2-20,35.656882,139.795608,ローソン 豊洲フロント店,,,,,,,
江東区,豊洲３丁目,-,東京都江東区豊洲3-3-3豊洲センタービル1F,35.655958,139.796198,ローソン 豊洲センタービル店,,,,,,,
港区,浜松町１丁目,-,東京都港区浜松町1-31-1,35.656906,139.757193,ローソン 文化放送メディアプラス店,,,,,,,
品川区,小山３丁目,-,東京都品川区小山3-15-1,35.619821,139.70461,ローソン 武蔵小山駅前店,,,,,,,
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷1-6-9,35.669084,139.689298,ローソン 富ヶ谷一丁目店,,,,,,,
品川区,西五反田５丁目,-,東京都品川区西五反田5-8-8,35.624754,139.713834,ローソン 不動前店,,,,,,,
港区,浜松町１丁目,-,東京都港区浜松町1-13-2,35.658481,139.756807,ローソン 浜松町一丁目店,,,,,,,
港区,港南５丁目,-,東京都港区港南5-4-38,35.627385,139.756497,ローソン 品川埠頭店,,,,,,,
品川区,南大井４丁目,-,東京都品川区南大井4-9-9,35.596241,139.736214,ローソン 品川南大井四丁目店,,,,,,,
品川区,南大井５丁目,-,東京都品川区南大井5-10-25,35.597471,139.734644,ローソン 品川南大井五丁目店,,,,,,,
品川区,東五反田２丁目,-,東京都品川区東五反田2-5-9,35.625154,139.728852,ローソン 品川東五反田二丁目店,,,,,,,
品川区,大井１丁目,-,東京都品川区大井1-28-1住友不動産大井町駅前ビル,35.606184,139.730816,ローソン 品川大井一丁目店,,,,,,,
港区,港南２丁目,-,東京都港区港南2-14-10,35.628679,139.742026,ローソン 品川駅中央口店,,,,,,,
港区,港南２丁目,-,東京都港区港南2-2-6,35.629343,139.742612,ローソン 品川駅港南口店,,,,,,,
品川区,荏原３丁目,-,東京都品川区荏原3-8-14,35.617474,139.706563,ローソン 品川荏原三丁目店,,,,,,,
品川区,東品川４丁目,-,東京都品川区東品川4-12-8,35.609312,139.748957,ローソン 品川シーサイドフォレスト店,,,,,,,
港区,港南２丁目,-,東京都港区港南2-16-3 品川グランドセントラルタワー1F,35.626604,139.740979,ローソン 品川グランパサージュ店,,,,,,,
新宿区,百人町２丁目,-,東京都新宿区百人町2-22-12,35.7043,139.697313,ローソン 百人町二丁目店,,,,,,,
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3-6-5,35.701635,139.746606,ローソン 飯田橋三丁目店,,,,,,,
新宿区,神楽坂１丁目,-,東京都新宿区神楽坂1-13,35.700332,139.742337,ローソン 飯田橋メトロピア店,,,,,,,
千代田区,富士見２丁目,-,東京都千代田区富士見2-10-2,35.699035,139.743801,ローソン 飯田橋サクラテラス店,,,,,,,
品川区,八潮３丁目,-,東京都品川区八潮3-2-38,35.593942,139.761059,ローソン 八潮三丁目店,,,,,,,
品川区,八潮５丁目,-,東京都品川区八潮5-10-27,35.600152,139.751254,ローソン 八潮五丁目店,,,,,,,
中央区,八丁堀２丁目,-,東京都中央区八丁堀2-24-2,35.676369,139.778288,ローソン 八丁堀二丁目店,,,,,,,
中央区,八重洲２丁目,日八京,東京都中央区八重洲2-6-21,35.678027,139.767861,ローソン 八重洲二丁目外堀通店,,,,,,,
中央区,八重洲２丁目,日八京,東京都中央区八重洲2-1八重洲地下街中3,35.679868,139.769608,ローソン 八重洲中央口店,,,,,,,
中央区,八重洲１丁目,日八京,東京都中央区八重洲1-3-7,35.682921,139.771838,ローソン 八重洲一丁目店,,,,,,,
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷2-49-3,35.679771,139.677088,ローソン 幡ヶ谷二丁目店,,,,,,,
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町18-10,35.680032,139.785104,ローソン 箱崎湊橋店,,,,,,,
港区,白金台２丁目,-,東京都港区白金台2-6-10,35.635697,139.731063,ローソン 白金台二丁目店,,,,,,,
港区,白金３丁目,-,東京都港区白金3-17-20,35.644107,139.727857,ローソン 白金三光店,,,,,,,
港区,白金１丁目,-,東京都港区白金1-27-6,35.643913,139.73417,ローソン 白金高輪駅前店,,,,,,,
中央区,日本橋馬喰町１丁目,-,東京都中央区日本橋馬喰町1-4-14,35.692925,139.781499,ローソン 馬喰町駅前店,,,,,,,
中央区,入船２丁目,-,東京都中央区入船2-10-7,35.671275,139.777685,ローソン 入船店,,,,,,,
中央区,日本橋本町２丁目,日八京,東京都中央区日本橋本町2-3-4,35.687573,139.775316,ローソン 日本橋本町二丁目店,,,,,,,
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-15-5,35.687596,139.786241,ローソン 日本橋浜町二丁目店,,,,,,,
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町27-2,35.680008,139.786957,ローソン 日本橋箱崎店,,,,,,,
中央区,日本橋３丁目,日八京,東京都中央区日本橋3-5-11,35.679007,139.772974,ローソン 日本橋三丁目店,,,,,,,
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-5-1,35.681368,139.77378,ローソン 日本橋高島屋三井ビルディング店,,,,,,,
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町2-13-11,35.678935,139.779829,ローソン 日本橋茅場町店,,,,,,,
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1-13-13,35.679752,139.781232,ローソン 日本橋茅場町一丁目店,,,,,,,
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-1-1,35.680677,139.783476,ローソン 日本橋蛎殻町店,,,,,,,
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-11-5,35.683763,139.781271,ローソン 日本橋蛎殻町一丁目店,,,,,,,
中央区,日本橋横山町,-,東京都中央区日本橋横山町3-4,35.691867,139.781755,ローソン 日本橋横山町店,,,,,,,
品川区,二葉１丁目,-,東京都品川区二葉1-4-27,35.60842,139.726692,ローソン 二葉店,,,,,,,
渋谷区,南平台町,-,東京都渋谷区南平台町3-7,35.655033,139.696687,ローソン 南平台店,,,,,,,
品川区,南品川６丁目,-,東京都品川区南品川6-8-25,35.610303,139.735785,ローソン 南品川六丁目店,,,,,,,
品川区,南品川１丁目,-,東京都品川区南品川1-6-12,35.614758,139.744765,ローソン 南品川一丁目店,,,,,,,
品川区,南大井６丁目,-,東京都品川区南大井6-11-13,35.590941,139.732575,ローソン 南大井六丁目店,,,,,,,
港区,南青山２丁目,-,東京都港区南青山2-14-17,35.670387,139.720248,ローソン 南青山二丁目店,,,,,,,
江東区,南砂２丁目,-,東京都江東区南砂2-38-3,35.669535,139.825517,ローソン 南砂日曹橋店,,,,,,,
江東区,南砂２丁目,-,東京都江東区南砂2-37-1,35.671751,139.825628,ローソン 南砂二丁目店,,,,,,,
江東区,南砂５丁目,-,東京都江東区南砂5-23-8,35.675967,139.833925,ローソン 南砂五丁目店,,,,,,,
江東区,南砂２丁目,-,東京都江東区南砂2-34-4,35.674734,139.826273,ローソン 南砂葛西橋通店,,,,,,,
千代田区,内神田２丁目,-,東京都千代田区内神田2-10-12,35.690781,139.767938,ローソン 内神田二丁目店,,,,,,,
千代田区,内神田３丁目,-,東京都千代田区内神田3-5-1,35.69055,139.769249,ローソン 内神田三丁目店,,,,,,,
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-3-3,35.669427,139.756979,ローソン 内幸町一丁目店,,,,,,,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-20-26,35.659316,139.696787,ローソン 道玄坂二丁目店,,,,,,,
江東区,東陽７丁目,-,東京都江東区東陽7-1-10,35.675592,139.816346,ローソン 東陽七丁目店,,,,,,,
江東区,東陽３丁目,-,東京都江東区東陽3-7-10,35.66952,139.809785,ローソン 東陽三丁目店,,,,,,,
江東区,塩浜２丁目,-,東京都江東区塩浜2-24-10-114,35.664029,139.814854,ローソン 東陽橋店,,,,,,,
港区,東麻布２丁目,-,東京都港区東麻布2-23-14,35.657117,139.739322,ローソン 東麻布二丁目店,,,,,,,
品川区,東品川３丁目,-,東京都品川区東品川3-24-16,35.611231,139.745729,ローソン 東品川三丁目店,,,,,,,
品川区,東品川３丁目,-,東京都品川区東品川3-7-10,35.616186,139.747401,ローソン 東品川海岸通店,,,,,,,
中央区,東日本橋２丁目,-,東京都中央区東日本橋2-4-3,35.691959,139.785635,ローソン 東日本橋二丁目店,,,,,,,
中央区,東日本橋２丁目,-,東京都中央区東日本橋2-24-14,35.694389,139.786766,ローソン 東日本橋京葉道路店,,,,,,,
江東区,大島７丁目,-,東京都江東区大島7-39-27,35.691004,139.844012,ローソン 東大島駅前店,,,,,,,
新宿区,新宿６丁目,-,東京都新宿区新宿6-24-16,35.69754,139.710393,ローソン 東大久保店,,,,,,,
品川区,東大井６丁目,-,東京都品川区東大井6-4-6,35.604498,139.735511,ローソン 東大井六丁目店,,,,,,,
品川区,東大井２丁目,-,東京都品川区東大井2-23-3,35.598418,139.738347,ローソン 東大井二丁目店,,,,,,,
品川区,東大井５丁目,-,東京都品川区東大井5-14-11,35.606176,139.736813,ローソン 東大井五丁目店,,,,,,,
新宿区,新宿７丁目,-,東京都新宿区新宿7-27-12,35.699137,139.708054,ローソン 東新宿明治通店,,,,,,,
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-3-1,35.664392,139.758906,ローソン 東新橋一丁目店,,,,,,,
中央区,銀座４丁目,-,東京都中央区銀座4-14-11,35.668836,139.768397,ローソン 東銀座駅前店,,,,,,,
中央区,日本橋１丁目,日八京,東京都中央区日本橋1-2-19,35.683512,139.772935,ローソン 東京日本橋店,,,,,,,
江東区,有明３丁目,-,東京都江東区有明3-11-1,35.630047,139.793752,ローソン 東京ビッグサイト南棟店,,,,,,,
江東区,有明３丁目,-,東京都江東区有明3-11-1,35.630047,139.793752,ローソン 東京ビッグサイトエントランス店,,,,,,,
中央区,新川１丁目,-,東京都中央区新川1-28-38,35.675205,139.784407,ローソン 東京ダイヤビルディング店,,,,,,,
