指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2022/2/2取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：609件、2021年度：668件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ
新宿区,北新宿１丁目,-,東京都新宿区北新宿1-24-12,35.69995,139.692483,日本ホーリネス教団 東京中央教会,教会
新宿区,下落合２丁目,-,東京都新宿区下落合2丁目7-12,35.716787,139.698962,氷川神社,神社
新宿区,百人町１丁目,-,東京都新宿区百人町1-11-16,35.701264,139.699502,皆中稲荷神社,神社
品川区,南大井１丁目,-,東京都品川区南大井1丁目4-1,35.597166,139.739,天祖・諏訪神社,神社
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-25-12,35.666126,139.702717,長泉寺,寺院
港区,赤坂７丁目,赤坂,東京都港区赤坂7丁目6-20,35.671088,139.732767,報土寺,寺院
江東区,富岡１丁目,-,東京都江東区富岡1丁目15-1,35.67202,139.798023,永代寺,寺院
新宿区,須賀町,-,東京都新宿区須賀町5-6,35.685302,139.72252,須賀神社,神社
江東区,南砂７丁目,-,東京都江東区南砂7丁目14-18,35.669574,139.83758,富賀岡八幡宮,神社
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-11-1,35.647201,139.707789,恵比寿神社,神社
江東区,亀戸９丁目,-,東京都江東区亀戸9-15-7,35.695826,139.844429,亀戸浅間神社,神社
新宿区,喜久井町,-,東京都新宿区喜久井町39,35.7036,139.720964,感通寺,寺院
港区,高輪２丁目,-,東京都港区高輪2丁目15-10,35.637439,139.739112,稲荷神社,神社
千代田区,九段北２丁目,-,東京都千代田区九段北2丁目4-1,35.695157,139.744554,シャルトル聖パウロ修道女会,教会
千代田区,外神田５丁目,-,東京都千代田区外神田5丁目5-3,35.704185,139.772729,天理教 分教会 東神長,教会
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町7-1,35.683817,139.7326,S.J.ハウス・イエズス会修道院,教会
新宿区,神楽坂６丁目,-,東京都新宿区神楽坂6丁目2,35.702498,139.738143,安養寺,寺院
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2丁目59-2,35.687301,139.788849,清正公寺,寺院
中央区,入船１丁目,-,東京都中央区入船1丁目6-8,35.673027,139.777543,救世軍京橋小隊,教会
千代田区,神田三崎町１丁目,-,東京都千代田区神田三崎町1丁目3-9,35.700616,139.756019,日本基督教団 三崎町教会,教会
新宿区,百人町１丁目,-,東京都新宿区百人町1-5-2,35.698425,139.701043,長光寺,寺院
港区,赤坂４丁目,赤坂,東京都港区赤坂4丁目3-5,35.67449,139.735686,浄土寺,寺院
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1丁目12-10,35.708808,139.707076,宗教法人玄國寺,寺院
千代田区,富士見１丁目,-,東京都千代田区富士見1丁目2-32,35.698715,139.747303,東京ルーテルセンター教会,教会
新宿区,下落合４丁目,-,東京都新宿区下落合4丁目8-2,35.717807,139.697593,薬王院,寺院
千代田区,富士見１丁目,-,東京都千代田区富士見1丁目2-32,35.698715,139.747303,日本ルーテル教団,教会
千代田区,外神田３丁目,-,東京都千代田区外神田3-4-10,35.701344,139.77026,真理舎,教会
港区,西麻布４丁目,-,東京都港区西麻布4丁目11-14,35.658175,139.722682,麻布霞町教会,教会
港区,東麻布２丁目,-,東京都港区東麻布2丁目13-6,35.657203,139.740083,カトリック・グアダルペ宣教会日本管区本部,教会
中央区,築地４丁目,-,東京都中央区築地4丁目12-9,35.66562,139.771011,円正寺,寺院
港区,南麻布４丁目,-,東京都港区南麻布4丁目5-6,35.650998,139.724499,日本基督教団 麻布南部坂教会,教会
