指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2022/1/17取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention-venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件、2020年度：199件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
千代田区,六番町,-,〒102-0085 東京都千代田区六番町15,35.6860110,139.7318750,主婦会館プラザエフ,http://www.plaza-f.or.jp
港区,赤坂７丁目,赤坂,〒107-8505 東京都港区赤坂7-2-21,35.6741290,139.7292280,草月ホール,http://www.sogetsu.or.jp
港区,六本木５丁目,六本木,〒106-0032 東京都港区六本木5-11-16,35.6585170,139.7334450,国際文化会館,http://www.i-house.or.jp
港区,六本木６丁目,六本木,〒106-6150 東京都港区六本木6-10-1 東京都六本木ヒルズ森タワー52F,35.6604160,139.7292480,東京シティビュー,http://www.roppongihills.com/tcv/
千代田区,紀尾井町,赤坂,〒116-8578 東京都千代田区紀尾井町4-1,35.6811750,139.7348720,ホテルニューオータニ,http://www.newotani.co.jp
千代田区,永田町２丁目,赤坂,〒100-0014 東京都千代田区永田町2-10-3,35.6738190,139.7410310,ザ・キャピトルホテル 東急,http://www.capitolhoteltokyu.com
港区,虎ノ門２丁目,虎ノ門,〒105-0001 東京都港区虎ノ門2-10-4,35.6668330,139.7442550,ホテルオークラ東京,http://www.hotelokura.co.jp/tokyo
港区,赤坂１丁目,虎ノ門,〒107-0052 東京都港区赤坂1-12-33,35.6682300,139.7410880,ANAインターコンチネンタルホテル東京,http://www.anaintercontinental-tokyo.jp
港区,六本木６丁目,六本木,〒106-0032 東京都港区六本木6-10-3,35.6599050,139.7283040,グランド ハイアット 東京,http://www.grand.hyatt.com
港区,赤坂９丁目,六本木,〒107-6245 東京都港区赤坂9-7-1東京ミッドタウン,35.6662010,139.7312340,ザ・リッツ・カールトン東京,http://www.ritzcarlton.com
千代田区,隼町,-,〒102-0092 東京都千代田区隼町1-1,35.6829420,139.7433150,ホテルグランドアーク半蔵門,http://www.grandarc.com
千代田区,平河町２丁目,-,〒102-0093 東京都千代田区平河町2-4-3,35.6817730,139.7386800,ホテル ルポール麹町,http://www.leport.jp
