指標名,ナイトライフ施設,,,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,,,
年次,2022/1/17,,,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,,,
備考,（2020年度：340件、2021年度：343件）,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,業種,ジャンル,電話,営業時間,定休日,キャパシティ,平均利用額,URL
渋谷区,宇田川町,-,東京都渋谷区宇田川町13-16 コクサイビルA館B1F,35.66142,139.69835,JUMANJI 33,CLUB,Allmix ･ House ･ HipHop ･ etc.,03-6452-5833,20:00-04:30 ※変動の可能性あり(ハッピーアワー 20:00-24:00),無し,200人未満,"3,000円前後",2018年7月26日
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-6-5 東静ビルB1F,35.65776,139.69923,OATH,バー,House ･ Techno,03-3461-1225,20:00-05:00,,,2500円,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-17-9 SKプラザビルB1F,35.65704,139.69707,LAUREL TOKYO,CLUB,HipHop ･ R&B･ Reggae ･ etc.,03-6277-5503,21:00-05:00※イベントにより変動の可能性あり,日曜,300名,"3,500円",2017年5月
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-23-12 フォンティスビル2F,35.66000,139.69593,Studio Freedom,イベントスペース,Dance ･ Live ･ Electro ･ Techno ･ House ･ HipHop ･ Others,03-5784-5496,スケジュールにより変動(レンタル: 日中 12:00-22:00 / 夜 23:00-05:00),不定,350人 / 面積:約207平米コインロッカー: 150,"3,000円前後 ※クラブイベントの場合(会場使用: 日中 18万円～ / 夜 10万円～)",http://studiofreedom.jp/
渋谷区,宇田川町,-,東京都渋谷区宇田川町12-3 ニュー渋谷コーポラス1F,35.66175,139.69804,CLUB VIZEL,CLUB,Allmix ･ HipHop ･ House ･ R&B ･ EDM ･ BlackMusic ･ Reggae ･ etc.,03-6455-3131,19:00-04:30 ※イベントにより変動,不定,約400人,"3,000円～",https://www.vizel.tokyo/
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-10-7 新大宗ビルB1F,35.65816,139.69718,SOUND MUSEUM VISION,CLUB,House ･ HipHop ･ Allmix ･ Techno ･ EDM ･ Live ･ Reggae ･ Electro ･ etc.,03-5728-2824,22:00-05:00 ※イベントにより変動,クラブ営業は金曜・土曜・祝前日を軸に開催,1000人 / 面積: 300坪GAIA: 500DEEP SPACE: 200D-LOUNGE: 80WHITE: 80D-BAR: 50,"5,000円",http://www.vision-tokyo.com/
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-22-12 長島第一ビルB1F,35.65657,139.69572,翠月,CLUB,House ･ Techno ･ Disco ･ Soul ･ Ambient ･ etc.,03-6455-0140,21:00-05:00 ※変動の可能性あり,日,100名,"3,000円～ 目安",http://mitsuki-tokyo.com/
渋谷区,宇田川町,-,東京都渋谷区宇田川町33-1 グランド東京渋谷ビルB1F-B2F,35.66074,139.69740,Veats Shibuya,ライブハウス,POPs ･ All Genre,03-5467-6390,スケジュールによる,不定,700名,,https://veats.jp/
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-19-17 GEMS神宮前 8F-9F,35.66366,139.70237,BLACK BOX,サウンド＆シーシャバー,All Genre,03-6712-6955,20:00-29:00,無し,100人,"5,000円",https://www.blackbox-shibuya.com/
渋谷区,東２丁目,-,東京都渋谷区東2-24-1 ※移転新住所: 東京都渋谷区道玄坂1-6-3 山路ビルB1F,35.65213,139.70876,ZUBAR,DJバー,HipHop ･ House ･ Techno ･ Allmix ･ Jazz ･ Disco ･ Lounge ･ Latin ･ etc.,03-6712-5050,18:00-24:00 ※深夜営業許可申請中の為、当面の間(ランチ: 12:00-15:00),日 ･ 祝,,2500円,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-20-9 道玄坂柳光ビル3F,35.65952,139.69590,RECORD BAR analog,バー,Popular Song ･ J-POP ･ HipHop ･ R&B ･ 80s ･ 90s,03-6416-1228,20:00-03:00,年末年始,30名未満 / 20坪,"2,900円(チャージ500円 / ドリンク1杯 1,000円前後)",
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-29-12 吉田ビルB1F,35.65956,139.69785,Yellow Blank Market (YBM),DJバー,BassMusic ･ Electro ･ Techno ･ House ･ etc.,不明,金･土 21:00-09:00 / 日 18:00-24:00※変更の可能性あり、要確認,,,"2,000円～",
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-13-5 B1F,35.65837,139.69565,beat cafe,ミュージックバー,80s ･ Rock ･ POPs ･ All Genre ･ etc.,,20:00-05:00,不定休,,,
渋谷区,宇田川町,-,東京都渋谷区宇田川町13-8 ちとせ会館B1F,35.66124,139.69854,TK NIGHTCLUB,CLUB,WORLD DANCE MUSIC,03-5456-2400,22:00-04:30,なし,1000人 / 20席,,2021年4月29日
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-2-3 渋谷フクラス(東急プラザ渋谷)17F-18F,35.65773,139.70015,CE LA VI TOKYO,レストラン ･ クラブ,House ･ Electro ･ etc.,"0800-111-3065
03-6864-0143 (VIP予約)",18:00-05:00 / 日 18:00-23:00 (セラヴィクラブラウンジ),不定※1月1日は休業の可能性あり,200名 / 56席 (CE LA VI CLUB LOUNGE)98席 (BAO by CE LA VI)116席 (CE LA VI RESTAURANT&SKY BAR),"クラブラウンジ 5,000円 ※目安レストラン ディナー 13,000円ランチ 4,000円",https://www.celavitokyo.com/
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-6-7 SUSAビル5F,35.65768,139.69910,Bar Music,カフェ ･ バー,Jazz ･ BlackMusic ･ Soul ･ Folk ･ Acoustic ･ Live ･ etc.,03-6416-3307,19:00～日 / 16:00-24:00,不定休,,2000円,
渋谷区,円山町,-,東京都渋谷区円山町5-3 荻原ビルB1F,35.65702,139.69554,Dimension,イベントスペース,Electro ･ All Genre ･ Others,03-6455-1239,※イベントによる,,,2500円,
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-15-16 ソシアルビル4F,35.66058,139.70288,BLOODY ANGLE,ミュージックバー,Popular Song ･ Rare groove ･ Afro Funk ･ POPs ･ Disco ･ Others,03-6427-5178,21:00-03:00,日 ･ 祝,20席前後,,
渋谷区,神南１丁目,-,東京都渋谷区神南1-23-10 マグネット内 7F,35.65973,139.70087,MAG7 (MAGNET by SHIBUYA109),飲食施設,House ･ Allmix ･ J-POP ･ Disco ･ BassMusic ･ Others,03-3477-5111,飲食店舗営業: 11:00-23:00(金曜: DJパーティ 20:30-22:30) ※要確認,MAGNETの営業日に準ずる,(イベントスペース: 立100名以上 ※目算),"1,000円～",2018年4月28日
渋谷区,神南１丁目,-,東京都渋谷区神南1-9-11 インタービルⅡB1F,35.66493,139.70155,Bar SUBTERRANEANS,バー,Techno ･ Live ･ Others,03-6416-3967,20:00-05:00,月,30人,3500円,
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-5-6 ラ･コリーナ渋谷B1F,35.66102,139.70603,INC COCKTAILS,バー,Jazz ･ Blues ･ Soul ･ etc.,03-6805-1774,19:00-03:00,無し,,"ドリンク: 1,200円前後",http://www.bar-inc.co.jp/
渋谷区,宇田川町,-,東京都渋谷区宇田川町32-12 アソルティ渋谷B1F,35.66106,139.69737,TAKE OFF 7,ライブハウス,POPs ･ Rock ･ Jazz ･ Acoustic ･ Folk ･ Blues ･ Live,03-3770-7755,※開始時間は公演により変動貸切 昼10:00-15:00 / 夜15:00-22:00,,200人,,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-18-3 プレミア道玄坂ビルB1F,35.65740,139.69695,SHIBUYA REX,ライブハウス,V-ROCK ･ HeavyMetal ･ POPs,03-5728-4911,※公演ごとに変動,,300名未満,,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-13-5 ハーベストビルB1F,35.65837,139.69565,SHIBUYA DESEO,ライブハウス,Live ･ Others ･ All Genre,03-5457-0303,イベント･スケジュールにより異なる,不定,ステージ: 33平米 / 客席フロア: 51平米 / ラウンジ: 36平米,,
渋谷区,円山町,-,東京都渋谷区円山町2-4 ドクタージーカンズビル4F-6F,35.65828,139.69531,ATOM TOKYO,CLUB ･ イベントスペース,Allmix ･ Electro ･ R&B ･ HipHop ･ House ･ Trance ･ J-POP,03-3464-0703,22:00-04:30 ※イベントにより変動,無休,1000名以上,"MEN : 3,500円～ / WOMEN : 1,500円～",2004年
渋谷区,宇田川町,-,東京都渋谷区宇田川町11-1 柳光ビル別館1F,35.66257,139.69734,rhythmcafe,バー,Soul ･ POPs ･ Others ･ 80s ･ Latin ･ Techno,03-3770-0244,18:00-02:00,"第1,3火曜",40人前後,3000円,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-17-2 トップ美奄B1F,35.65863,139.69659,THE WU DJ's bar,バー,Allmix ･ House ･ HipHop ･ POPs ･ Bass ･ R&B ･ Trap ･ A-POP ･ etc.,050-1037-1978,23:00-05:00,(火 ･ 水 ※祝前日を除く),20名未満 (18席),"2,000円～",
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-11-1 COI西青山bldg.B1F,35.66106,139.70446,THE GUINGUETTE by MOJA,バル,Live ･ Others ･ POPs ･ Electronic ･ Jazz ･ HipHop ･ etc.,03-6418-8984,17:00-02:00 / 週末 17:00-03:00 ※変動する場合あり,不定,100人,4000円,
渋谷区,神南１丁目,-,東京都渋谷区神南1-18-2 神南坂フレームB2/B3,35.66267,139.70006,Club Camelot,クラブ,House ･ R&B ･ EDM ･ Allmix ･ HipHop,03-5728-5613,金･土･日･祝前: 21:00-04:30月-木: 22:00-04:30※イベントにより変動※最新の情報とは異なる場合があります。必ず事前にご確認下さい。,無休,地下3階 800名地下2階 計400名以上地下1階 150名,"3,500円",2016年: 店舗の大規模リニューアル(4月にB2階、7月にB3階が再オープン)
渋谷区,宇田川町,-,東京都渋谷区宇田川町30-5 JOWビルB1F,35.66091,139.69797,Club Malcolm,DJ＆ライブスペース,All Genre ･ POPs ･ Live ･ A-POP,03-6455-0225,※イベントにより変わる(箱貸: 09:00-15:00 / 15:00-23:00 / 深夜 23:00-05:30)バー / 19:00-02:00 ※要確認,不定休,130人,3000円～,
渋谷区,宇田川町,-,東京都渋谷区宇田川町33-10 J+Rビル Jside 3F,35.66098,139.69669,MILLIBAR,ミュージックバー,Reggae ･ Soul ･ Rock ･ POPs ･ etc.,03-5458-0989,月-木･土 18:00-02:00金 18:00-04:00,日 ･ 祝,18人前後,,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-14-8 (O-EASTと同じ建物)5F,35.65868,139.69557,TSUTAYA O-Crest,ライブハウス,All Genre,03-3770-1095,18:00前後から ※スケジュールにより変動,不定,200～250名,"2,500円～",
渋谷区,円山町,-,"東京都渋谷区円山町2-4 Dr.ジーカンズ2,3F",35.65828,139.69531,HARLEM,CLUB,HipHop ･ Reggae ･ R&B,03-3461-8806,22:00～ ※イベントにより変動する,不定休,1000人,"3,800円",http://www.harlem.co.jp/
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-31 TRUNK HOTEL内1F,35.66449,139.70397,TRUNK (LOUNGE),バー＆カフェ (ホテル),HipHop ･ House ･ Chill out ･ Live ･ R&B ･ Disco ･ Acoustic,03-5766-3210 (※ホテル),09:00-23:00 / 金･土 09:00-24:00,無し,80席,"1,000円 (ノーチャージ)",
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-14-8 O-EASTビル1F,35.65868,139.69557,duo MUSIC EXCHANGE,ライブハウス,Jazz ･ Rock ･ POPs ･ Live ･ etc.,03-5459-8716,スケジュールにより異なる,不定,1000人前後,"3,500円",http://www.duomusicexchange.com/
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-19-3 ライオンズマンション道玄坂1F,35.65909,139.69634,Good Wood Terrace,カリブ料理屋,Reggae ･ HipHop ･ R&B ･ etc.,03-5728-7418,17:00-03:00 / ランチ 12:00-15:00,年始,15～20席,"昼 1,000円 / 夜 2,000円～",
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-7 トーセン宇田川ビル6F /7F,35.66249,139.69787,R Lounge,クラブ,House ･ Techno ･ Electronic ･ EDM ･ Allmix ･ Reggae ･ R&B ･ HipHop ･ TOP40,03-5459-7988,※イベントにより異なる,不定,,"3,000円",http://rlounge.jp/
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-16-8 常磐ビル2F,35.65653,139.69750,Music Bar Boogie Back,バー,HipHop ･ Jazz ･ Reggae ･ Soul ･ Funk ･ etc.,03-6427-0464,(20:00 又は 19:00から),(日 ※要確認),目算20名前後,"1,500円～",
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-19-11 中村ビル1F-2F,35.65945,139.69602,Mikkeller Tokyo,ビアバー,Others,03-6427-0793,平日 15:00-24:30金 15:00-25:30土 12:00-25:30日 12:00-24:30,無休,1階:30名程(スタンディング含め) ※目算,"3,000円ビア1杯: ハーフサイズ550円～ / パイント1,000円前後～",
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-15-2 MTエステートビル4F,35.65590,139.70550,POINT･66,サウンドバー,Allmix,03-3498-6113,19:00-05:00,日 ･ 祝,40人,3000円,
渋谷区,円山町,-,東京都渋谷区円山町2-3 6F-5F,35.65850,139.69534,TSUTAYA O-nest,ライブハウス,All Genre,03-3462-4420,※スケジュールによる,不定,250名,"2,500円～",
渋谷区,宇田川町,-,東京都渋谷区宇田川町3-10 いちごフィエスタ渋谷4F,35.66256,139.69873,gee-ge.,ライブバー,Acoustic ･ POPs ･ Folk ･ Rock,03-6416-3468,18:00～ ※ライブは日ごと変動バー 23:00-05:00,不定休,～100人,4000円,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-14-8 2F-4F,35.65868,139.69557,TSUTAYA O-EAST,ライブハウス,Live ･ All Genre ･ Others,03-5458-4681,イベント･スケジュールにより異なる,不定,1300人,,http://shibuya-o.com/
渋谷区,宇田川町,-,東京都渋谷区宇田川町3-7 ヒューリック渋谷公園通りビル1F,35.66254,139.69898,koe space (hotel koe tokyo),イベントスペース,Techno ･ House ･ HipHop ･ Electro ･ Funk ･ Disco ･ Soul ･ Live,"03-6712-7251 (hotel koe)
03-6712-7257 (koe lobby)",※催し物による (DJイベントの場合 20:00-24:00 が多い),無し,,2000円,
